CH_000	GAMMA
-20	0.000904761904761905
-20	0.000355311355311355
-35	-0.000168498168498169
-40	-0.000684981684981685
-50	-0.00119047619047619
-55	-0.00171428571428571
-75	-0.00220879120879121
-90	-0.00273626373626374
-110	-0.00324542124542124
-130	-0.00376556776556777
-160	-0.00430769230769231
-190	-0.0048021978021978
-225	-0.00531501831501832
-275	-0.00583516483516484
-320	-0.00633699633699634
-376	-0.00686080586080586
-436	-0.00735531135531136
-496	-0.00785714285714286
-526	-0.00815750915750916
-461	-0.00807692307692308
-341	-0.00757509157509158
-255	-0.00705494505494506
-180	-0.00655311355311355
-120	-0.00603296703296703
-75	-0.00552014652014652
-45	-0.00504029304029304
-25	-0.00451648351648352
-10	-0.00398901098901099
5	-0.00348351648351648
15	-0.00298168498168498
25	-0.00246520146520146
25	-0.00194139194139194
35	-0.00142490842490842
40	-0.000926739926739927
40	-0.000395604395604396
40	-9.15750915750916e-05
55	0.000227106227106227
70	0.00131501831501831
90	0.00241025641025641
130	0.00347985347985348
210	0.00453479853479854
310	0.00558241758241758
446	0.00663736263736264
681	0.00824175824175824
416	0.0093956043956044
421	0.00997802197802198
416	0.0110769230769231
416	0.0127362637362637
416	0.0138351648351648
421	0.0149194139194139
421	0.01603663003663
416	0.0165531135531136
381	0.0161538461538462
341	0.0150695970695971
315	0.013967032967033
290	0.0128644688644689
265	0.0117765567765568
245	0.0106703296703297
220	0.00957142857142857
195	0.00848717948717949
165	0.00740659340659341
110	0.00630769230769231
35	0.00522710622710623
-10	0.00421611721611722
-10	0.00310989010989011
-20	0.002
-30	0.000912087912087912
-40	-0.000183150183150183
-55	-0.00126739926739927
-75	-0.00231868131868132
-115	-0.00341391941391941
-170	-0.00450915750915751
-230	-0.0056007326007326
-320	-0.00666666666666667
-431	-0.00772893772893773
-541	-0.00880586080586081
-606	-0.00988278388278388
-656	-0.010967032967033
-696	-0.012043956043956
-736	-0.0131355311355311
-766	-0.0142380952380952
