CH_000	GAMMA
45	0.0269225787985348
25	0.0240035446630037
20	0.0220349044908425
10	0.0200680861831502
10	0.0181196214249084
5	0.0151749077362637
0	0.0132044264285714
-5	0.0112669699450549
-5	0.00928548035897436
-5	0.0063297583956044
-10	0.00437028536263736
-10	0.00240530819047619
-15	0.000429322743223443
-20	-0.00250438266959707
-20	-0.00445284742857143
-25	-0.00642883287545788
-30	-0.00834977694505495
-40	-0.0112779782197802
-45	-0.0132594678058608
-55	-0.015228107981685
-65	-0.0171729097362637
-75	-0.0201121192857143
-85	-0.0220550799047619
-85	-0.0240365694908425
-95	-0.0259886972527473
-105	-0.0288967231098901
-110	-0.0308672044212454
-115	-0.0328376857289377
-110	-0.033569736047619
-75	-0.0318689574871795
-50	-0.0299076433223443
-30	-0.0279885403846154
-15	-0.0250383225604396
-10	-0.0230678412490842
-5	-0.0211083682161172
0	-0.0191323827692308
0	-0.0162151897692308
0	-0.0142483714615385
5	-0.0122962436996337
5	-0.0103477789413919
0	-0.00743058594139194
5	-0.00550780073992674
5	-0.00353365642637363
5	-0.00160170408095238
5	-8.80662036630037e-05
5	0.000886166175457876
10	0.0028291267959707
10	0.00478309569230769
15	0.00770763396336996
20	0.00970379482783883
30	0.0116320841684982
35	0.0145914691355311
40	0.0165289256190476
45	0.0185214234798535
60	0.0204808965128205
70	0.0233980895128205
85	0.0254015956483516
95	0.0273500604065934
105	0.029331549992674
125	0.0322726006776557
130	0.0333844365018315
115	0.0330523471025641
80	0.0311038823443223
50	0.0281976976190476
40	0.0261831832087912
25	0.024214543032967
20	0.0222770865494505
10	0.0193305317289377
5	0.0173728998278388
5	0.0153895691098901
0	0.013468625040293
-5	0.0105202483479853
-5	0.00856627945054945
-5	0.006590294003663
-10	0.00465099638827839
-10	0.00166959486776557
-10	-0.000286215162271062
-15	-0.00226770474688645
-15	-0.00419231182051282
-20	-0.0071205130952381
-20	-0.00907632312454212
-25	-0.0110523085714286
-30	-0.0130172857435897
-40	-0.0159399828827839
-45	-0.0178994559157509
-50	-0.0198644330879121
-60	-0.0218128978461538
-65	-0.0247576115347985
-80	-0.0267446052564103
-85	-0.0286765576007326
-100	-0.0316322795677656
-110	-0.0335532236373626
-105	-0.0335752401868132
-75	-0.0321111395494506
-40	-0.0291609217216117
-25	-0.0272069528278388
-15	-0.0252291262454212
-10	-0.0232494777948718
0	-0.0203414519377289
0	-0.0183728117619048
0	-0.0164188428644689
0	-0.0144520245604396
5	-0.0115256644175824
0	-0.00954417483516483
5	-0.0075847017985348
5	-0.00564724531501831
5	-0.00270803576593407
5	-0.000770579283150183
5	-8.80662036630037e-05
5	0.00152464615274725
15	0.00738839397435897
20	0.0113935651135531
35	0.0153528812783883
45	0.0193323728608059
75	0.0252988581648352
100	0.0292489879267399
125	0.0332504960586081
220	0.056665097985348
230	0.0606500936996337
240	0.0646626101098901
230	0.0669468272893773
160	0.0644864776923077
115	0.0604189199267399
75	0.0564394283516483
55	0.052470945018315
30	0.0465044597435897
20	0.042519463992674
15	0.0385564848351648
10	0.0345549767032967
0	0.0286435327765568
0	0.0246310163663004
-5	0.0206790454725275
-5	0.0166830414761905
-5	0.0107275644468864
-5	0.00673890572161172
-10	0.00277958955641026
-15	-0.0012109103018315
-20	-0.00713886664468865
-30	-0.0110908375384615
-35	-0.0150373042930403
-45	-0.0189947793260073
-70	-0.0249227356666667
-85	-0.0289022272490842
-100	-0.032848694007326
-120	-0.0367841524908425
-140	-0.0427891667399267
-155	-0.0467723213553114
-170	-0.0506876043956044
-185	-0.0546560877289377
-210	-0.0605234985347985
-230	-0.0645286696703297
-235	-0.066935819010989
-175	-0.0646626101098901
-110	-0.0607528312087912
-60	-0.0568302221245421
-25	-0.0523993912454213
-10	-0.0484529244688645
0	-0.0425745053846154
5	-0.0386225345054945
5	-0.0346815718717949
5	-0.030733263981685
5	-0.0247961404981685
5	-0.0208203119194139
5	-0.0168316531941392
5	-0.0128301450622711
5	-0.00688383517216117
5	-0.00287866403553114
5	-7.15537904761905e-05
5	-1.46712791208791e-05
10	0.00589493151648352
15	0.0098872725054945
20	0.0138814353699634
25	0.0178389103992674
40	0.0237503543296703
45	0.0277151746336996
60	0.0316928250805861
70	0.0356282835604396
95	0.0415397274725275
110	0.0454256487179487
125	0.049432660989011
150	0.0553624584615385
175	0.0593749748717949
200	0.0633636336263736
220	0.0669468272893773
180	0.065735916959707
120	0.06173624996337
85	0.0577292376923077
55	0.0536983677655678
35	0.049751900989011
25	0.0438404570695971
15	0.0398517983516483
10	0.0358557943443223
0	0.0299590216959707
0	0.0259868753846154
-5	0.0220055426666667
-5	0.0179985303956044
-5	0.0120540616410256
-5	0.00806540291575092
-5	0.00410608675091575
-10	0.000110082754578755
-10	-0.00582337772527473
-15	-0.00980837344322344
-15	-0.0137823608901099
-20	-0.0177618524725275
-30	-0.0237063212271062
-40	-0.0276454427106227
-45	-0.0315937506007326
-60	-0.035567738047619
-75	-0.0415397274725275
-90	-0.0454972025274725
-110	-0.0494913653846154
-130	-0.0534121526007326
-170	-0.0593346047985348
-200	-0.0633140963736264
-225	-0.0669798520879121
-215	-0.0669798520879121
-120	-0.0618830205494505
-65	-0.0579585703663004
-30	-0.0540121035897436
-10	-0.0500766451282051
0	-0.0441963848717949
0	-0.0402297427106227
0	-0.0362227304358974
5	-0.0322707595421245
10	-0.0263317949267399
5	-0.0223467992051282
5	-0.0183544582124542
5	-0.0143602953516484
5	-0.00838280177289377
5	-0.00443083087545788
5	-0.00046234756996337
5	-8.25620659340659e-05
10	0.00536103015384615
15	0.010270721014652
20	0.0151198663589744
25	0.0199524992930403
40	0.0272399776520146
55	0.032123988959707
65	0.037042846959707
90	0.041919513003663
115	0.0492400161904762
135	0.0540726491208791
165	0.0589768358241758
210	0.0663303638461539
245	0.0713556416117216
260	0.0764488101465202
275	0.0813016184981685
295	0.0862168134798535
315	0.0934767711721612
330	0.0983424289377289
320	0.100802778498168
225	0.0972636179120879
155	0.0923814477655678
110	0.0873616741391941
70	0.0825400494871795
35	0.0750892881318681
20	0.070133723040293
15	0.0651855031868132
10	0.0602648040659341
-5	0.0529553091575092
0	0.0480015852014652
-5	0.0431029026007326
-5	0.0382097241758242
-10	0.030850692007326
-10	0.0259153215934066
-10	0.0210258061501831
-5	0.0161271235641026
-10	0.00877909968864469
-15	0.00388592124175824
-15	-0.00101092020915751
-15	-0.00591144392673993
-20	-0.0132429553919414
-20	-0.0181471421135531
-25	-0.0230623371135531
-35	-0.0279775321098901
-55	-0.0352980352967033
-65	-0.0402113891575092
-85	-0.0451119128937729
-105	-0.04995004996337
-145	-0.0572595448717949
-185	-0.0621141943589744
-225	-0.0669908603663004
-260	-0.071893205970696
-290	-0.0791935337362637
-315	-0.0841802825274725
-335	-0.0889853947619048
-350	-0.0938895815018315
-345	-0.100362447472527
-330	-0.10044500952381
-235	-0.0962893855311355
-160	-0.0913833576923077
-80	-0.0841142328571429
-45	-0.0791990378754579
-20	-0.074327875970696
0	-0.06785501
10	-0.0591089351282051
0	0
0	-0.0523608622710623
10	-0.0420240916117216
10	-0.0356227794249084
10	-0.0311809402710623
10	-0.0247300908461538
10	-0.0202937558315018
10	-0.0138374022673993
10	-0.0094230838021978
10	-0.00298874679047619
10	-7.52167941391941e-05
15	0.00155767097912088
15	0.00795532016117216
20	0.0124008223186813
25	0.018780117952381
25	0.0232274612454212
30	0.0296617982564103
35	0.034087124996337
50	0.0405104537362637
65	0.0449357804761905
75	0.051430663003663
95	0.0558504856043956
115	0.0621967564102564
145	0.0686219263003663
155	0.0731665029304029
190	0.0795953357875458
220	0.0840481832234432
255	0.0904990326373626
275	0.094869318021978
300	0.100747737106227
295	0.100709208131868
185	0.0956729221245421
120	0.0892275768131868
85	0.0847380415750916
50	0.0783018634432234
35	0.0737609497802198
20	0.0672330424542125
15	0.062776532014652
5	0.0562981619047619
0	0.0518820023076923
-5	0.0454641776923077
-5	0.0409911548351648
-5	0.0345953468021978
-5	0.0301590117875458
-5	0.0237466913260073
-5	0.0173270255897436
-5	0.0128741781648352
-5	0.0064581946996337
-5	0.00203653096227106
-5	-0.00439596491575092
-10	-0.00880111623809524
-10	-0.0152519656666667
-15	-0.0197048130915751
-15	-0.0261483172490843
-20	-0.0305644768461538
-30	-0.0369767972893773
-35	-0.0414773408424908
-50	-0.0478254527838828
-65	-0.0542029072893773
-75	-0.0586135627472527
-100	-0.0649965213919414
-120	-0.0694218481318681
-155	-0.0757754642124542
-185	-0.0803090325641026
-230	-0.0867672272527473
-265	-0.0911265043589744
-315	-0.0975553372161172
-325	-0.100428497106227
-275	-0.098826793040293
-170	-0.0924016231868132
-115	-0.0879891458241758
-60	-0.0816538832967033
-30	-0.0771955317582417
-10	-0.0707868742857143
-5	-0.0663578845421245
5	-0.0599620764835165
5	-0.055547758021978
5	-0.0491739665201465
5	-0.0447541439194139
5	-0.0382647655311355
10	-0.0338394387985348
5	-0.0274436307509157
5	-0.021023965014652
5	-0.0165674545824176
10	-0.0101386217106227
10	-0.00569494142124542
10	-5.50413772893773e-05
10	-5.32002432234432e-05
5	-4.95372395604396e-05
5	-7.15537904761905e-05
5	-5.8704380952381e-05
10	-6.60496527472527e-05
5	-5.50413772893773e-05
