CH_000	GAMMA1
-280	-0.0607509157509158
-325	-0.0664285714285714
-376	-0.0715567765567766
-426	-0.077051282051282
-481	-0.0821794871794872
-566	-0.0898717948717949
-626	-0.095
-626	-0.0979304029304029
-496	-0.0960989010989011
-336	-0.090970695970696
-235	-0.086025641025641
-165	-0.0807142857142857
-115	-0.0755860805860806
-80	-0.0702747252747253
-55	-0.06496336996337
-35	-0.0596520146520147
-10	-0.0517765567765568
5	-0.0462820512820513
10	-0.040970695970696
15	-0.0358424908424908
20	-0.0307142857142857
20	-0.0255860805860806
20	-0.0204578754578755
25	-0.0153296703296703
25	-0.0102014652014652
25	-0.00489010989010989
30	0.000421245421245421
25	0.0017032967032967
25	0.00152014652014652
25	0.0017032967032967
25	0.0017032967032967
25	0.00152014652014652
25	0.0017032967032967
25	0.00152014652014652
25	0.0017032967032967
25	0.00152014652014652
25	0.0017032967032967
