#CH_000	GAMMA1
-651	-0.00366666666666667
-766	-0.00384981684981685
-861	-0.00458241758241758
-941	-0.00498534798534798
-1002	-0.00553479853479854
-1057	-0.00608424908424908
-1137	-0.007
-1177	-0.00718315018315018
-1222	-0.00791575091575092
-1197	-0.00791575091575092
-1067	-0.00773626373626374
-851	-0.00736630036630037
-666	-0.00696336996336996
-481	-0.00623443223443223
-346	-0.00586813186813187
-240	-0.00546153846153846
-165	-0.00472893772893773
-120	-0.00436630036630037
-45	-0.00363003663003663
-20	-0.00326373626373626
10	-0.00271428571428571
35	-0.00234798534798535
55	-0.00198168498168498
45	-0.00143223443223443
95	-0.00106593406593407
115	-0.000516483516483516
115	-0.000333333333333333
135	3.2967032967033e-05
160	0.000582417582417583
175	0.000948717948717949
185	0.00131501831501831
255	0.00186080586080586
250	0.0025970695970696
265	0.00296336996336996
290	0.00332967032967033
336	0.00406227106227106
386	0.00442857142857143
446	0.00497802197802198
511	0.00552747252747253
586	0.00571062271062271
661	0.00626007326007326
741	0.00662637362637363
851	0.00754212454212454
826	0.00754212454212454
641	0.00717582417582418
466	0.00662637362637363
215	0.00571062271062271
140	0.00534432234432234
95	0.0047948717948718
60	0.00461172161172161
35	0.00406227106227106
10	0.00387912087912088
-20	0.00314652014652015
-45	0.00241391941391941
-65	0.00204761904761905
-85	0.00168131868131868
-100	0.00113186813186813
-120	0.000582417582417583
-135	0.000216117216117216
-150	-0.000516483516483516
-170	-0.000882783882783883
-190	-0.00143223443223443
-210	-0.0017985347985348
-240	-0.00234798534798535
-320	-0.0028974358974359
-381	-0.00363003663003663
-446	-0.003996336996337
-531	-0.00454212454212454
-601	-0.00491208791208791
-691	-0.00568498168498168
-781	-0.00605128205128205
-876	-0.0065970695970696
-971	-0.00696703296703297
-1057	-0.00773260073260073
-1142	-0.0081025641025641
-1037	-0.00791575091575092
-811	-0.00751648351648352
-606	-0.00696336996336996
-441	-0.00641391941391941
-310	-0.00582783882783883
-225	-0.00546153846153846
-155	-0.00472893772893773
-105	-0.00436263736263736
-60	-0.003996336996337
-30	-0.00344688644688645
-5	-0.00308058608058608
15	-0.00271428571428571
45	-0.00198168498168498
65	-0.00161538461538462
85	-0.00106593406593407
105	-0.000516483516483516
110	-0.00052014652014652
120	-0.00015018315018315
175	0.000945054945054945
235	0.00275457875457875
210	0.00296336996336996
290	0.00387912087912088
396	0.0047948717948718
611	0.0063003663003663
791	0.0073956043956044
941	0.00849450549450549
1047	0.00959340659340659
1127	0.0106923076923077
1197	0.0117545787545788
1247	0.0128534798534799
1292	0.0137692307692308
1332	0.0145018315018315
1367	0.0156007326007326
1297	0.0156007326007326
956	0.0148681318681319
661	0.0137692307692308
356	0.0126703296703297
220	0.0117545787545788
130	0.0108388278388278
70	0.00992307692307692
30	0.00864102564102564
30	0.00772527472527472
0	0.00662637362637363
-30	0.00552747252747253
-55	0.00461172161172161
-75	0.00351282051282051
-110	0.00241391941391941
-135	0.00149084249084249
-190	-3.66300366300366e-06
-240	-0.0011025641025641
-305	-0.00201831501831502
-391	-0.00293406593406593
-501	-0.00403296703296703
-626	-0.00513186813186813
-941	-0.00718315018315018
-1087	-0.00828205128205128
-1202	-0.0091978021978022
-1277	-0.0103040293040293
-1352	-0.011985347985348
-1387	-0.0129010989010989
-1402	-0.014
-1387	-0.0152820512820513
-1367	-0.0158315018315018
-1292	-0.0161941391941392
-1012	-0.0156117216117216
-701	-0.0146593406593407
-471	-0.0137069597069597
-300	-0.0127875457875458
-180	-0.0115054945054945
-115	-0.0105897435897436
-140	-0.0130586080586081
-15	-0.00820879120879121
5	-0.00710989010989011
35	-0.00674725274725275
50	-0.0050952380952381
70	-0.003996336996337
90	-0.00308058608058608
155	-0.00212820512820513
125	-0.00121245421245421
125	-0.000293040293040293
135	-0.000113553113553114
160	0.00135531135531136
175	0.00227106227106227
225	0.00336630036630037
220	0.00446520146520147
260	0.00538095238095238
310	0.0062967032967033
366	0.0073956043956044
431	0.00849450549450549
506	0.00977655677655678
596	0.0108791208791209
696	0.0117948717948718
796	0.0128901098901099
946	0.013989010989011
1037	0.0150879120879121
1052	0.0156373626373626
926	0.0154542124542125
606	0.0143186813186813
391	0.0135860805860806
250	0.0128534798534799
160	0.0119377289377289
100	0.0108388278388278
55	0.0102893772893773
50	0.00900732600732601
15	0.00717582417582418
-10	0.00626007326007326
-30	0.00534432234432234
-45	0.00442857142857143
-60	0.00314652014652015
-80	0.00204761904761905
-100	0.00113186813186813
-120	0.000216117216117216
-140	-0.000882783882783883
-165	-0.00198168498168498
-195	-0.0028974358974359
-225	-0.003996336996337
-290	-0.00564468864468864
-346	-0.00656043956043956
-401	-0.00765934065934066
-466	-0.00875824175824176
-541	-0.00949084249084249
-626	-0.0107875457875458
-726	-0.0119084249084249
-831	-0.0128241758241758
-941	-0.0139230769230769
-1042	-0.015032967032967
-1127	-0.0157912087912088
-1097	-0.0165238095238095
-706	-0.0152087912087912
-431	-0.0144358974358974
-285	-0.0133369963369963
-155	-0.0124212454212454
-120	-0.0111391941391941
-75	-0.0104065934065934
-50	-0.00930769230769231
-20	-0.00820879120879121
10	-0.0072967032967033
15	-0.00619413919413919
30	-0.0050952380952381
55	-0.00381318681318681
70	-0.00271428571428571
90	-0.0017985347985348
110	-0.000516483516483516
105	-0.000333333333333333
115	-0.00015018315018315
120	0.000399267399267399
125	0.000765567765567766
125	0.0015018315018315
130	0.00171062271062271
125	0.00227106227106227
160	0.003
170	0.00373260073260073
185	0.0040989010989011
200	0.00483150183150183
210	0.00501831501831502
210	0.00556410256410256
215	0.00611355311355311
230	0.00648351648351648
255	0.00702930402930403
275	0.00757875457875458
270	0.00776190476190476
165	0.00721245421245421
115	0.00666300366300366
95	0.0062967032967033
95	0.00593040293040293
60	0.00538095238095238
45	0.00483150183150183
25	0.00446520146520147
15	0.0041025641025641
5	0.00373260073260073
-5	0.003003663003663
-15	0.00263369963369963
-35	0.00208424908424908
-40	0.00153846153846154
-40	0.000985347985347985
-60	0.000622710622710623
-65	6.95970695970696e-05
-75	-0.000476190476190476
-85	-0.000846153846153846
-90	-0.0013956043956044
-105	-0.00194139194139194
-115	-0.00249084249084249
-125	-0.00304029304029304
-140	-0.00341025641025641
-165	-0.00414285714285714
-175	-0.00450915750915751
-185	-0.00487545787545788
-200	-0.00542490842490843
-220	-0.00597069597069597
-235	-0.00652014652014652
-260	-0.00706959706959707
-280	-0.00762271062271062
-305	-0.00817582417582418
-290	-0.00818315018315018
-110	-0.00748717948717949
-105	-0.00692307692307692
-80	-0.00655677655677656
-60	-0.00582417582417583
-40	-0.00527472527472527
-35	-0.00472527472527473
-20	-0.00435897435897436
-10	-0.00380952380952381
0	-0.00344322344322344
5	-0.00289010989010989
20	-0.00270695970695971
25	-0.00215750915750916
40	-0.00179120879120879
55	-0.00105860805860806
60	-0.000509157509157509
60	-0.00032967032967033
85	0.000406593406593407
130	0.00245421245421245
130	0.00446520146520147
220	0.0062967032967033
336	0.00849450549450549
476	0.0106923076923077
666	0.0127069597069597
876	0.0145421245421245
1112	0.0178351648351648
1182	0.0198131868131868
1212	0.0221941391941392
1217	0.024025641025641
1227	0.0262234432234432
1227	0.0284212454212454
1232	0.0302527472527473
1212	0.0324505494505495
1147	0.0324468864468864
616	0.0306190476190476
325	0.0286043956043956
180	0.0267728937728938
75	0.0236593406593407
30	0.0216446886446886
10	0.0198058608058608
0	0.0177838827838828
-30	0.0155787545787546
-45	0.0135604395604396
-55	0.0117289377289377
-70	0.00952747252747253
-90	0.00714285714285714
-110	0.00494505494505494
-140	0.00311355311355311
-185	-3.66300366300366e-06
-225	-0.00202197802197802
-280	-0.00403296703296703
-336	-0.00605128205128205
-406	-0.00842857142857143
-491	-0.0106263736263736
-591	-0.0126410256410256
-701	-0.0146593406593407
-806	-0.0166703296703297
-881	-0.0186849816849817
-946	-0.0210659340659341
-986	-0.0227179487179487
-1032	-0.0261941391941392
-1057	-0.0283919413919414
-1072	-0.0304065934065934
-1087	-0.0326043956043956
-1027	-0.0331538461538462
-611	-0.0316886446886447
-336	-0.0294908424908425
-220	-0.0276630036630037
-140	-0.0254652014652015
-105	-0.0236336996336996
-70	-0.0214358974358974
-45	-0.0192380952380952
-15	-0.0161208791208791
0	-0.0141062271062271
15	-0.0120952380952381
30	-0.00988644688644689
35	-0.00784615384615385
50	-0.00564468864468864
65	-0.00381318681318681
80	-0.00161904761904762
85	-0.000333333333333333
95	0.000216117216117216
115	0.00223076923076923
120	0.00424542124542124
160	0.00735897435897436
180	0.00955677655677656
220	0.0117545787545788
220	0.0135860805860806
265	0.0156007326007326
310	0.0176153846153846
366	0.0198131868131868
431	0.0221941391941392
501	0.0242087912087912
576	0.0262234432234432
656	0.0284212454212454
771	0.0313516483516484
771	0.0324505494505495
566	0.0319010989010989
275	0.0302527472527473
160	0.0280549450549451
100	0.0258571428571429
60	0.0242087912087912
40	0.0221941391941392
25	0.0198131868131868
10	0.0177985347985348
-10	0.0156007326007326
-20	0.0137692307692308
-30	0.0119377289377289
-40	0.00845787545787546
-55	0.00626007326007326
-65	0.00442857142857143
-75	0.00204761904761905
-90	3.2967032967033e-05
-105	-0.00216483516483517
-120	-0.003996336996337
-145	-0.00619413919413919
-170	-0.00839194139194139
-195	-0.0105897435897436
-230	-0.0127875457875458
-260	-0.0146190476190476
-330	-0.0173663003663004
-381	-0.0199340659340659
-441	-0.021974358974359
-511	-0.0241794871794872
-581	-0.0261941391941392
-671	-0.0283919413919414
-756	-0.0304065934065934
-841	-0.0326080586080586
-816	-0.0331538461538462
-441	-0.0318791208791209
-280	-0.0296776556776557
-190	-0.0278424908424908
-115	-0.0243663003663004
-85	-0.0223516483516484
-60	-0.0205201465201465
-45	-0.0181355311355311
-25	-0.0161172161172161
-15	-0.0140915750915751
0	-0.0122600732600733
10	-0.00987912087912088
20	-0.00804395604395605
30	-0.00582783882783883
45	-0.00363003663003663
60	-0.0006996336996337
55	-0.000333333333333333
55	-0.00015018315018315
55	-0.000333333333333333
55	-0.000333333333333333
50	-0.000333333333333333
75	0.0014981684981685
105	0.00552747252747253
140	0.0101062271062271
195	0.0141355311355311
240	0.0183479853479854
330	0.0227435897435897
546	0.0291538461538462
721	0.0331831501831502
861	0.0372124542124542
946	0.0417912087912088
1007	0.0458205128205128
1047	0.0496666666666667
1077	0.0536923076923077
1097	0.0580915750915751
1102	0.0623040293040293
1032	0.0652344322344322
811	0.0646849816849817
225	0.058967032967033
135	0.0545714285714286
80	0.0507252747252747
40	0.0466996336996337
20	0.0424835164835165
0	0.0382747252747253
-20	0.0340622710622711
-30	0.0302124542124542
-40	0.0256336996336996
-60	0.021970695970696
-70	0.0173919413919414
-80	0.0133663003663004
-100	0.00676923076923077
-115	0.00219413919413919
-135	-0.00183882783882784
-170	-0.00586813186813187
-210	-0.0100769230769231
-260	-0.0146556776556777
-325	-0.0186886446886447
-396	-0.0230842490842491
-476	-0.0274798534798535
-576	-0.0315054945054945
-661	-0.0359010989010989
-756	-0.0421318681318681
-811	-0.0461575091575092
-856	-0.0507399267399267
-891	-0.0547655677655678
-921	-0.0587985347985348
-951	-0.0633772893772894
-911	-0.0659413919413919
-701	-0.0657582417582418
-396	-0.0613589743589744
-225	-0.0571501831501832
-155	-0.0529377289377289
-100	-0.0489084249084249
-50	-0.0424981684981685
-20	-0.0382857142857143
0	-0.0340695970695971
15	-0.0298608058608059
30	-0.0254652014652015
45	-0.0214358974358974
50	-0.017040293040293
55	-0.013010989010989
60	-0.0087948717948718
70	-0.00458608058608059
80	-0.00036996336996337
85	0.000908424908424908
100	0.00512087912087912
115	0.0096996336996337
130	0.0137289377289377
150	0.0177582417582418
165	0.0225347985347985
190	0.0265641025641026
215	0.030956043956044
250	0.0348021978021978
270	0.0392014652014652
325	0.0434102564102564
411	0.0496410256410257
481	0.0534835164835165
556	0.0578827838827839
631	0.0619084249084249
666	0.0651941391941392
621	0.0651978021978022
235	0.0613479853479853
135	0.0573186813186813
90	0.0531098901098901
50	0.0488937728937729
30	0.0450476190476191
15	0.041018315018315
-5	0.0347912087912088
-15	0.0303956043956044
-30	0.0263699633699634
-35	0.021970695970696
-40	0.0175750915750916
-50	0.0133626373626374
-55	0.00952014652014652
-65	0.00475824175824176
-75	0.000545787545787546
-90	-0.00367032967032967
-95	-0.00788278388278388
-110	-0.0122783882783883
-140	-0.0183223443223443
-170	-0.0225347985347985
-205	-0.0267435897435897
-240	-0.0311391941391941
-280	-0.0355347985347985
-336	-0.0397509157509158
-386	-0.0437802197802198
-451	-0.047992673992674
-521	-0.0522051282051282
-591	-0.0564175824175824
-666	-0.0611758241758242
-751	-0.0648388278388278
-661	-0.0661208791208791
-325	-0.0617252747252747
-215	-0.0575164835164835
-150	-0.0531208791208791
-105	-0.0490915750915751
-70	-0.0448791208791209
-45	-0.0408498168498169
-20	-0.0364505494505495
-5	-0.0322417582417582
10	-0.0282087912087912
20	-0.0238131868131868
30	-0.0172197802197802
35	-0.0133736263736264
45	-0.00916117216117216
45	-0.00476923076923077
55	-0.000736263736263736
45	-0.00036996336996337
55	0.00127838827838828
60	0.00347252747252747
60	0.00530769230769231
65	0.00750549450549451
70	0.00988644688644689
80	0.0119010989010989
95	0.0148351648351648
100	0.01703663003663
110	0.0190512820512821
115	0.0214322344322344
125	0.0232637362637363
130	0.0254615384615385
140	0.0276593406593407
150	0.0296739926739927
165	0.0318717948717949
165	0.032970695970696
115	0.0322380952380952
50	0.0291245421245421
35	0.0272930402930403
20	0.0250952380952381
10	0.0232527472527472
0	0.0212380952380952
-5	0.0188571428571429
-10	0.0168424908424908
-15	0.0146446886446886
-20	0.0128131868131868
-25	0.0107985347985348
-25	0.00841758241758242
-30	0.00512087912087912
-35	0.00328937728937729
-35	0.0010952380952381
-40	-0.000923076923076923
-45	-0.00293406593406593
-50	-0.00495238095238095
-55	-0.00714652014652015
-55	-0.00934798534798535
-65	-0.0115457875457875
-70	-0.0133772893772894
-80	-0.0155714285714286
-95	-0.0188681318681319
-105	-0.0208681318681319
-120	-0.0226959706959707
-130	-0.0250695970695971
-145	-0.0270769230769231
-165	-0.0290915750915751
-180	-0.0314688644688645
-190	-0.0331208791208791
-180	-0.0329340659340659
-90	-0.0307435897435897
-60	-0.0290952380952381
-40	-0.0267179487179487
-20	-0.0236007326007326
-10	-0.0216007326007326
0	-0.0195934065934066
5	-0.0173956043956044
10	-0.0151978021978022
15	-0.0131868131868132
20	-0.0111684981684982
20	-0.00916117216117216
25	-0.00696336996336996
25	-0.00476556776556777
30	-0.00293406593406593
35	-0.000553113553113553
30	-0.000186813186813187
45	0.00549084249084249
60	0.0108021978021978
80	0.0159304029304029
100	0.0216080586080586
125	0.0265531135531135
175	0.0316813186813187
215	0.0366263736263736
265	0.0419377289377289
330	0.0470659340659341
396	0.0518278388278388
476	0.0573223443223443
611	0.0648315018315018
686	0.0701391941391941
756	0.0750842490842491
791	0.080032967032967
806	0.0853443223443223
821	0.0902857142857143
816	0.0957838827838828
761	0.097978021978022
451	0.0963333333333333
260	0.0912014652014652
170	0.0864395604395605
115	0.0813113553113553
55	0.0736227106227106
30	0.0684908424908425
15	0.0633626373626374
0	0.0584175824175824
-10	0.0531062271062271
-20	0.0481611721611722
-25	0.0432161172161172
-35	0.0375384615384615
-40	0.0327765567765568
-45	0.0274652014652015
-50	0.0221538461538461
-60	0.0142783882783883
-65	0.00897069597069597
-75	0.00383882783882784
-80	-0.00165567765567766
-100	-0.00696703296703297
-115	-0.0122783882783883
-135	-0.0168534798534799
-165	-0.0223516483516484
-200	-0.0276593406593407
-235	-0.032974358974359
-280	-0.0382857142857143
-320	-0.0430439560439561
-406	-0.0511062271062271
-466	-0.0562307692307692
-546	-0.0613626373626374
-626	-0.06703663003663
-671	-0.0721684981684982
-716	-0.0776593406593407
-746	-0.0831172161172161
-771	-0.0882454212454212
-791	-0.0937399267399267
-806	-0.0990512820512821
-751	-0.0996007326007326
-451	-0.0964908424908425
-255	-0.0887948717948718
-175	-0.0834835164835165
-130	-0.0781758241758242
-75	-0.0728608058608059
-50	-0.0675494505494506
-25	-0.0622380952380952
-5	-0.0569267399267399
10	-0.0517985347985348
20	-0.0468534798534799
25	-0.0415421245421245
30	-0.0364139194139194
40	-0.0285384615384615
40	-0.0232271062271062
45	-0.0179157509157509
50	-0.012974358974359
55	-0.00765934065934066
55	-0.00271428571428571
50	-0.000333333333333333
55	0.00167765567765568
65	0.00662637362637363
70	0.0124871794871795
