É¡2	É¡1	C2	C1=Cb
0.0171875	0.011338798	0.678947368	0.196946565
0.016629464	0.010655738	0.555263158	0.161068702
0.015625	0.009904372	0.438157895	0.127099237
0.014397321	0.008674863	0.288157895	0.083587786
0.012388393	0.007240437	0.159210526	0.046183206
0.009040179	0.005122951	0.034210526	0.009923664
0.008147321	0.004918033	0.035526316	0.010305344
0.008147321	0.004713115	0.035526316	0.010305344
0.008035714	0.004849727	0.035526316	0.010305344
0.008705357	0.005191257	0.178947368	0.051908397
0.009709821	0.005806011	0.296052632	0.085877863
0.008258929	0.008811475	0.434210526	0.125954198
0.015290179	0.007718579	0.688157895	0.199618321
0.016629464	0.010314208	0.956578947	0.277480916
0.017633929	0.011270492	1.102631579	0.319847328
0.01796875	0.011543716	1.155263158	0.335114504
0.018303571	0.012090164	1.215789474	0.352671756
0.018861607	0.012363388	1.292105263	0.37480916
0.019196429	0.012773224	1.348684211	0.391221374
0.019754464	0.013251366	1.414473684	0.410305344
0.021316964	0.01352459	1.481578947	0.429770992
0.021763393	0.014344262	1.544736842	0.448091603
0.021986607	0.014412568	1.494736842	0.433587786
0.023325893	0.015300546	1.573684211	0.45648855
0.004017857	0.002117486	0.028947368	0.008396947
0.00390625	0.002117486	0.028947368	0.008396947
0.004241071	0.001844262	0.027631579	0.008015267
0.004910714	0.002322404	0.113157895	0.032824427
0.005357143	0.002185792	0.156578947	0.045419847
0.00625	0.00273224	0.230263158	0.066793893
0.007589286	0.003620219	0.285526316	0.082824427
0.008705357	0.004030055	0.351315789	0.101908397
0.009933036	0.004918033	0.425	0.123282443
0.011607143	0.005327869	0.496052632	0.14389313
0.012834821	0.006147541	0.560526316	0.16259542
0.013839286	0.007035519	0.621052632	0.180152672
0.014732143	0.007581967	0.686842105	0.199236641
0.014508929	0.007650273	0.656578947	0.190458015
0.015848214	0.008333333	0.757894737	0.219847328
0.016071429	0.008401639	0.672368421	0.195038168
0.015736607	0.008196721	0.617105263	0.179007634
0.015513393	0.007991803	0.555263158	0.161068702
0.015290179	0.007718579	0.488157895	0.141603053
0.015178571	0.007377049	0.422368421	0.122519084
0.014732143	0.007240437	0.351315789	0.101908397
0.014285714	0.006967213	0.301315789	0.08740458
0.013727679	0.006557377	0.226315789	0.065648855
0.012834821	0.006010929	0.182894737	0.053053435
0.011049107	0.005532787	0.094736842	0.027480916
0.010602679	0.005191257	0.102631579	0.029770992
0.010491071	0.004986339	0.101315789	0.029389313
0.0109375	0.005122951	0.171052632	0.049618321
0.011830357	0.005806011	0.298684211	0.086641221
0.012946429	0.006420765	0.430263158	0.12480916
0.0140625	0.007445355	0.561842105	0.162977099
0.015290179	0.008128415	0.689473684	0.2
0.015959821	0.008606557	0.757894737	0.219847328
0.016852679	0.009084699	0.821052632	0.238167939
0.017633929	0.00976776	0.888157895	0.257633588
0.018303571	0.010245902	0.953947368	0.276717557
0.019084821	0.010860656	1.025	0.297328244
0.019642857	0.011338798	1.081578947	0.313740458
0.020424107	0.012021858	1.148684211	0.333206107
0.020647321	0.01284153	1.214473684	0.352290076
0.021316964	0.012636612	1.177631579	0.341603053
0.021986607	0.013046448	1.280263158	0.371374046
0.022767857	0.013661202	1.348684211	0.391221374
0.023549107	0.014071038	1.414473684	0.410305344
0.02421875	0.014480874	1.477631579	0.428625954
0.025223214	0.014959016	1.542105263	0.447328244
0.025111607	0.015027322	1.488157895	0.431679389
0.026116071	0.015710383	1.610526316	0.467175573
0.026450893	0.015505464	1.555263158	0.451145038
0.027678571	0.016256831	1.678947368	0.487022901
0.028125	0.016393443	1.642105263	0.476335878
0.027790179	0.016256831	1.627631579	0.472137405
0.028794643	0.016871585	1.740789474	0.504961832
0.029129464	0.016871585	1.7	0.493129771
0.02890625	0.016734973	1.686842105	0.489312977
0.030133929	0.017213115	1.803947368	0.523282443
0.030691964	0.017691257	1.736842105	0.503816794
0.03046875	0.017691257	1.723684211	0.5
0.030803571	0.017622951	1.697368421	0.492366412
0.032366071	0.018579235	1.865789474	0.541221374
0.032589286	0.018510929	1.734210526	0.503053435
0.032477679	0.018374317	1.725	0.500381679
0.032589286	0.018442623	1.710526316	0.496183206
0.032589286	0.018579235	1.7	0.493129771
0.032477679	0.018237705	1.605263158	0.465648855
0.032366071	0.017964481	1.475	0.427862595
0.03203125	0.017418033	1.338157895	0.388167939
0.031584821	0.017418033	1.201315789	0.348473282
0.031026786	0.017008197	1.076315789	0.31221374
0.03046875	0.016598361	0.943421053	0.273664122
0.029910714	0.016120219	0.813157895	0.235877863
0.028794643	0.015437158	0.688157895	0.199618321
0.027901786	0.014344262	0.556578947	0.161450382
0.026674107	0.013319672	0.422368421	0.122519084
0.024776786	0.012295082	0.292105263	0.084732824
0.022544643	0.010655738	0.156578947	0.045419847
0.020870536	0.009562842	0.094736842	0.027480916
0.016964286	0.008265027	0.013157895	0.003816794
0.016629464	0.007991803	0	0
0.016629464	0.007650273	0	0
0.016629464	0.007650273	0	0
