É¡2	É¡1	C2	C1=Cb
0.048111111	0.020454545	0.912345679	0.386910995
0.049333333	0.021090909	0.941975309	0.39947644
0.051555556	0.022	0.964197531	0.408900524
0.054888889	0.023363636	0.986419753	0.418324607
0.060666667	0.024909091	1.002469136	0.42513089
0.066777778	0.027	0.955555556	0.405235602
0.067888889	0.027363636	0.944444444	0.40052356
0.069444444	0.027818182	0.933333333	0.395811518
0.073333333	0.029181818	0.992592593	0.420942408
0.078666667	0.030363636	0.958024691	0.406282723
0.083888889	0.031272727	0.918518519	0.389528796
0.087666667	0.032181818	0.890123457	0.377486911
0.088666667	0.032363636	0.862962963	0.365968586
0.088888889	0.032363636	0.796296296	0.337696335
0.088666667	0.032272727	0.735802469	0.312041885
0.088555556	0.032090909	0.675308642	0.286387435
0.088555556	0.031727273	0.613580247	0.260209424
0.088111111	0.031636364	0.550617284	0.233507853
0.087777778	0.031454545	0.492592593	0.208900524
0.087222222	0.031090909	0.432098765	0.183246073
0.086555556	0.030545455	0.37037037	0.157068063
0.085222222	0.030090909	0.30617284	0.129842932
0.083444444	0.029636364	0.245679012	0.104188482
0.080777778	0.028818182	0.186419753	0.079057592
0.076888889	0.027727273	0.12345679	0.052356021
0.070555556	0.026	0.062962963	0.026701571
0.069777778	0.025727273	0.071604938	0.030366492
0.069777778	0.025727273	0.071604938	0.030366492
