ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,,PS2C1
66,42,40.14,1.97,0.02,0.09,1.74,-0.11,-0.25,0.84,0,0,0,36.5,6,0,815,1020,,40.14,,0.016778022,,42
67,37,38.41,1.91,0.01,0.1,1.63,-0.11,-0.27,0.79,0,0,0,34.5,5.5,0,815,1024,,38.41,,0.016043956,,37
68,37,36.29,1.92,0.01,0.09,1.48,-0.11,-0.28,0.73,0,0,0,33,5.5,0,815,1028,,36.29,,0.015107692,,37
69,34,34.85,1.81,0.01,0.09,1.39,-0.11,-0.29,0.7,0,0,0,32,5.5,0,815,1031,,34.85,,0.014523077,,34
70,30,32.83,1.82,0.01,0.09,1.29,-0.1,-0.3,0.65,0,0,0,29.5,4.5,0,815,1035,,32.83,,0.013630769,,30
71,26,31.31,1.71,0.02,0.1,1.21,-0.1,-0.3,0.62,0,0,0,28.5,4.5,0,815,1038,,31.31,,0.013010989,,26
72,22,29.06,1.7,0.02,0.09,1.12,-0.09,-0.31,0.56,0,0,0,26.5,4,0,815,1042,,29.06,,0.012026374,,22
73,16,26.39,1.61,0.01,0.09,1.01,-0.09,-0.32,0.5,0,0,0,24,4,0,815,1047,,26.39,,0.010892308,,16
74,10,23.75,1.48,0.01,0.09,0.9,-0.09,-0.32,0.45,0,0,0,21.5,3,0,815,1053,,23.75,,0.009789011,,10
75,6,20.57,1.39,0.02,0.08,0.78,-0.09,-0.32,0.4,0,0,0,19,3,0,815,1059,,20.57,,0.008430769,,6
76,2,17.79,1.28,0.02,0.1,0.67,-0.07,-0.33,0.32,0,0,0,16,3.5,0,815,1104,,17.79,,0.007257143,,2
77,7,17.41,1.25,0.01,0.09,0.65,-0.08,-0.32,0.33,0,0,0,16,3.5,0,815,1128,,17.41,,0.007103297,,7
78,15,19.05,1.27,0.01,0.09,0.66,-0.08,-0.32,0.33,0,0,0,18,3.5,0,815,1131,,19.05,,0.007815385,,15
79,21,20.51,1.38,0.01,0.09,0.66,-0.08,-0.32,0.35,0,0,0,19,3.5,0,815,1134,,20.51,,0.008408791,,21
80,32,23.77,1.49,0.01,0.11,0.72,-0.07,-0.31,0.41,0,0,0,22,4,0,815,1141,,23.77,,0.009793407,,32
81,37,26.09,1.53,0.02,0.1,0.79,-0.07,-0.31,0.47,0,0,0,24,4.5,0,815,1145,,26.09,,0.010795604,,37
82,42,28.12,1.61,0.01,0.1,0.87,-0.07,-0.31,0.52,0,0,0,25.5,6,0,815,1149,,28.12,,0.011652747,,42
83,46,30.33,1.72,0.03,0.09,0.95,-0.07,-0.3,0.57,0,0,0,27,6,0,815,1154,,30.33,,0.012575824,,46
84,49,32.14,1.7,0.02,0.1,1.03,-0.07,-0.3,0.63,0,0,0,29.5,6,0,815,1157,,32.14,,0.01338022,,49
85,61,36.97,1.92,0.03,0.1,1.23,-0.09,-0.31,0.74,0,0,0,34.5,6,0,815,1207,,36.97,,0.015406593,,61
86,63,40.62,2.03,0.02,0.1,1.39,-0.1,-0.31,0.83,0,0,0,38,7,0,815,1214,,40.62,,0.016962637,,63
87,71,43.51,2.13,0.02,0.09,1.51,-0.1,-0.31,0.91,0,0,0,40,6.5,0,815,1220,,43.51,,0.018189011,,71
88,76,45.33,2.12,0.02,0.1,1.61,-0.11,-0.32,0.96,0,0,0,42,7.5,0,815,1224,,45.33,,0.018993407,,76
89,79,48.02,2.23,0.01,0.09,1.74,-0.12,-0.3,1.02,0,0,0,44.5,6.5,0,815,1229,,48.02,,0.020127473,,79
90,85,50.9,2.33,0.02,0.09,1.89,-0.12,-0.31,1.11,0,0,0,47.5,8,0,815,1235,,50.9,,0.021349451,,85
91,89,53.11,2.34,0.01,0.08,2.03,-0.11,-0.31,1.16,0,0,0,49.5,8.5,0,815,1239,,53.11,,0.022316484,,89
92,95,56.57,2.45,0.02,0.09,2.21,-0.13,-0.32,1.26,0,0,0,52,9,0,815,1247,,56.57,,0.023789011,,95
93,97,58.3,2.55,0.03,0.11,2.29,-0.13,-0.32,1.29,0,0,0,53.5,9.5,0,815,1250,,58.3,,0.024505495,,97
94,101,59.75,2.54,0.03,0.1,2.35,-0.14,-0.32,1.35,0,0,0,55.5,9.5,0,815,1253,,59.75,,0.025147253,,101
95,106,63.49,2.69,0.02,0.1,2.52,-0.14,-0.31,1.43,0,0,0,59.5,10.5,0,815,1301,,63.49,,0.026725275,,106
96,110,67.07,2.86,0.02,0.1,2.68,-0.15,-0.31,1.55,0,0,0,63,10,0,815,1308,,67.07,,0.028224176,,110
97,113,70.05,2.97,0.02,0.09,2.79,-0.17,-0.31,1.61,0,0,0,66,10,0,815,1314,,70.05,,0.029485714,,113
98,120,77.2,3.32,0.02,0.09,3.09,-0.22,-0.32,1.78,0,0,0,72,12,0,815,1329,,77.2,,0.032474725,,120
99,124,83.95,3.5,0.01,0.09,3.37,-0.24,-0.33,1.95,0,0,0,78.5,12.5,0,815,1343,,83.95,,0.035362637,,124
100,128,90.82,3.5,0.02,0.08,3.71,-0.28,-0.32,2.12,0,0,0,85,14,0,815,1357,,90.82,,0.038382418,,128
101,136,97.23,3.83,0.02,0.09,4,-0.33,-0.32,2.29,0,0,0,91,15.5,0,815,1411,,97.23,,0.041054945,,136
102,141,102.69,4.13,0.02,0.09,4.26,-0.38,-0.32,2.44,0,0,0,96,15.5,0,815,1422,,102.69,,0.043323077,,141
103,144,109.02,4.24,0.02,0.09,4.5,-0.43,-0.32,2.6,0,0,0,101.5,16,0,815,1435,,109.02,,0.046057143,,144
104,149,114.27,4.44,0.03,0.09,4.66,-0.5,-0.32,2.74,0,0,0,107,16,0,815,1446,,114.27,,0.048276923,,149
105,151,115.59,4.53,0.02,0.09,4.71,-0.5,-0.32,2.77,0,0,0,108,17,0,815,1449,,115.59,,0.048817582,,151
106,140,116.36,4.78,0.01,0.07,4.77,-0.62,-0.3,2.79,0,0,0,108,17.5,0,815,1633,,116.36,,0.049046154,,140
107,130,115.07,4.77,0.01,0.1,4.77,-0.62,-0.29,2.78,0,0,0,106,17.5,0,815,1636,,115.07,,0.048483516,,130
108,124,113.71,4.76,0.02,0.09,4.79,-0.62,-0.29,2.76,0,0,0,105.5,16.5,0,815,1639,,113.71,,0.04789011,,124
109,121,112.63,4.67,0.01,0.1,4.8,-0.62,-0.29,2.73,0,0,0,104.5,16.5,0,815,1641,,112.63,,0.047454945,,121
110,115,110.98,4.66,0.02,0.1,4.79,-0.62,-0.28,2.7,0,0,0,103,16.5,0,815,1645,,110.98,,0.046734066,,115
111,111,108.94,4.63,0.01,0.09,4.79,-0.62,-0.28,2.65,0,0,0,101,15,0,815,1649,,108.94,,0.045850549,,111
112,103,106.68,4.54,0,0.08,4.71,-0.62,-0.29,2.57,0,0,0,99,14,0,815,1653,,106.68,,0.044896703,,103
113,101,104.86,4.51,0,0.09,4.64,-0.63,-0.3,2.52,0,0,0,97,14,0,815,1657,,104.86,,0.04410989,,101
114,95,102.29,4.44,0.01,0.08,4.55,-0.61,-0.3,2.46,0,0,0,94.5,14,0,815,1702,,102.29,,0.043010989,,95
115,90,100.06,4.34,0,0.09,4.45,-0.6,-0.29,2.39,0,0,0,92.5,14,0,815,1707,,100.06,,0.042074725,,90
116,85,97.52,4.32,-0.01,0.08,4.37,-0.61,-0.32,2.33,0,0,0,90.5,14,0,815,1712,,97.52,,0.040967033,,85
117,79,95.39,4.22,0,0.08,4.3,-0.61,-0.32,2.27,0,0,0,88,13.5,0,815,1716,,95.39,,0.040074725,,79
118,73,91.12,4.12,0.01,0.09,4.14,-0.59,-0.32,2.16,0,0,0,84.5,13,0,815,1724,,91.12,,0.038241758,,73
119,70,89.09,4.05,0,0.1,4.04,-0.59,-0.32,2.1,0,0,0,82,12.5,0,815,1728,,89.09,,0.03738022,,70
120,62,83.57,3.91,-0.01,0.07,3.73,-0.56,-0.32,1.95,0,0,0,77.5,13,0,815,1739,,83.57,,0.035015385,,62
121,59,82.31,3.91,0.01,0.09,3.67,-0.58,-0.33,1.92,0,0,0,75.5,13,0,815,1742,,82.31,,0.034461538,,59
122,56,79.99,3.81,0.01,0.09,3.53,-0.55,-0.33,1.86,0,0,0,74,12,0,815,1746,,79.99,,0.033485714,,56
123,51,76.31,3.71,0.01,0.08,3.3,-0.54,-0.35,1.76,0,0,0,70,12.5,0,815,1753,,76.31,,0.031912088,,51
124,44,71.39,3.49,0.01,0.09,2.98,-0.52,-0.35,1.63,0,0,0,65.5,11.5,0,815,1803,,71.39,,0.029846154,,44
125,38,69.85,3.49,0.01,0.09,2.88,-0.52,-0.36,1.6,0,0,0,64,10.5,0,815,1806,,69.85,,0.029169231,,38
126,32,64.94,3.29,0,0.08,2.61,-0.5,-0.37,1.47,0,0,0,59,8.5,0,815,1816,,64.94,,0.027098901,,32
127,29,61.95,3.19,0.02,0.09,2.44,-0.49,-0.37,1.38,0,0,0,56.5,9,0,815,1821,,61.95,,0.025828571,,29
128,24,58.79,3.07,0.01,0.1,2.26,-0.48,-0.38,1.3,0,0,0,53.5,8,0,815,1828,,58.79,,0.024492308,,24
129,21,55.13,2.87,0.01,0.09,2.09,-0.45,-0.39,1.18,0,0,0,50.5,8,0,815,1835,,55.13,,0.022971429,,21
130,14,51.67,2.76,0.02,0.09,1.92,-0.45,-0.4,1.09,0,0,0,47,8.5,0,815,1841,,51.67,,0.021498901,,14
131,11,49.12,2.66,0.01,0.09,1.81,-0.43,-0.41,1.02,0,0,0,45,7.5,0,815,1846,,49.12,,0.020421978,,11
132,4,44.17,2.45,0,0.09,1.59,-0.41,-0.42,0.89,0,0,0,40.5,6,0,815,1856,,44.17,,0.018338462,,4
133,-1,41.77,2.32,0,0.07,1.44,-0.4,-0.43,0.82,0,0,0,37.5,6.5,0,815,1900,,41.77,,0.017340659,,-1
134,-1,41.38,2.2,0.01,0.09,1.41,-0.39,-0.43,0.81,0,0,0,38,6,0,815,1928,,41.38,,0.017221978,,-1
135,17,43.02,2.35,0.02,0.08,1.41,-0.39,-0.43,0.81,0,0,0,40,7.5,0,815,1931,,43.02,,0.017876923,,17
136,23,44.75,2.44,0.01,0.08,1.41,-0.39,-0.43,0.86,0,0,0,41.5,7.5,0,815,1935,,44.75,,0.018597802,,23
137,30,47.34,2.55,0.02,0.09,1.45,-0.39,-0.43,0.92,0,0,0,44,8,0,815,1940,,47.34,,0.019687912,,30
138,37,50.22,2.67,0.02,0.09,1.52,-0.39,-0.43,1,0,0,0,46.5,9,0,815,1945,,50.22,,0.020901099,,37
