ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,
70,-117,-7.07,-0.24,-0.01,-0.2,-0.32,-0.05,-0.1,0.15,-1.34,-1.22,0,-0.7,-0.05,0,1014,732,,,,,
71,-141,-8.97,-0.34,0.1,-0.2,-0.36,-0.09,-0.1,0.18,-1.8,-1.66,0,-0.9,-0.15,0,1014,737,,,,,
72,-158,-10.77,-0.47,0.09,-0.32,-0.42,-0.12,-0.11,0.21,-2.3,-2.08,0,-1.05,-0.15,0,1014,742,,,,,
73,-176,-12.85,-0.7,0.18,-0.33,-0.47,-0.14,-0.13,0.23,-2.88,-2.62,0,-1.2,-0.1,0,1014,748,,,,,
74,-188,-14.75,-0.78,0.18,-0.31,-0.49,-0.16,-0.08,0.26,-3.38,-3.14,0,-1.4,-0.1,0,1014,753,,,,,
75,-198,-16.65,-0.99,0.2,-0.3,-0.5,-0.17,-0.03,0.28,-3.9,-3.6,0,-1.6,-0.05,0,1014,758,,,,,
76,-193,-17.88,-1.11,0.19,-0.32,-0.51,-0.2,0.01,0.3,-4.16,-3.8,0,-1.6,-0.15,0,1014,920,,,,,
77,-161,-15.89,-1,0.19,-0.31,-0.55,-0.18,-0.11,0.3,-3.66,-3.18,0,-1.45,-0.1,0,1014,925,,,,,
78,-129,-13.89,-0.87,0.19,-0.3,-0.58,-0.17,-0.21,0.29,-3.12,-2.62,0,-1.3,-0.1,0,1014,931,,,,,
79,-99,-11.9,-0.65,0.15,-0.29,-0.58,-0.14,-0.25,0.26,-2.64,-2.1,0,-1.15,-0.1,0,1014,935,,,,,
80,-68,-9.92,-0.56,0.08,-0.29,-0.56,-0.14,-0.27,0.22,-2.18,-1.64,0,-0.9,-0.05,0,1014,940,,,,,
81,-39,-7.91,-0.4,-0.02,-0.29,-0.49,-0.13,-0.25,0.17,-1.72,-1.22,0,-0.75,0,0,1014,945,,,,,
82,-13,-5.73,-0.35,-0.01,-0.29,-0.4,-0.11,-0.22,0.11,-1.26,-0.84,0,-0.5,-0.1,0,1014,951,,,,,
83,5,-4.13,-0.24,-0.01,-0.27,-0.35,-0.1,-0.19,0.06,-0.96,-0.64,0,-0.45,-0.1,0,1014,956,,,,,
84,21,-2.24,-0.14,-0.11,0,-0.25,-0.1,-0.13,0.02,-0.6,-0.4,0,-0.15,0.05,0,1014,1001,,,,,
85,31,-0.13,-0.13,-0.11,0.3,-0.19,-0.1,-0.11,0.01,-0.26,-0.22,0,-0.1,0,0,1014,1006,,,,,
86,40,2.02,-0.03,-0.11,0.5,-0.13,-0.08,-0.1,0.01,0.1,-0.04,0,0.15,0,0,1014,1011,,,,,
87,48,4.02,0.07,-0.11,0.71,-0.07,-0.07,-0.09,0,0.4,0.08,0,0.35,0,0,1014,1016,,,,,
88,59,5.92,0.09,-0.12,0.89,-0.02,-0.06,-0.08,0.03,0.76,0.32,0,0.5,0.05,0,1014,1021,,,,,
89,70,7.9,0.16,-0.11,1.02,0.03,-0.04,-0.08,0.03,1.08,0.52,0,0.7,0.05,0,1014,1026,,,,,
90,83,9.99,0.27,-0.12,1.01,0.1,-0.03,-0.07,0.02,1.42,0.76,0,0.95,0.1,0,1014,1031,,,,,
91,99,12,0.27,-0.12,1.05,0.15,-0.01,-0.04,0.04,1.74,0.98,0,1.15,0.15,0,1014,1036,,,,,
92,120,13.99,0.38,-0.1,1.13,0.2,0.02,-0.04,0.02,2,1.26,0,1.3,0.15,0,1014,1041,,,,,
93,141,15.98,0.38,-0.12,1.15,0.26,0.03,-0.04,0.03,2.24,1.48,0,1.45,0.15,0,1014,1046,,,,,
94,166,17.97,0.38,-0.14,1.12,0.31,0.06,-0.01,0.03,2.5,1.72,0,1.65,0.2,0,1014,1052,,,,,
95,191,19.77,0.49,-0.22,1.13,0.38,0.08,-0.02,0.03,2.7,1.92,0,1.8,0.25,0,1014,1057,,,,,
96,211,21.58,0.49,-0.22,1.23,0.41,0.12,-0.01,0.02,2.98,2.12,0,2.05,0.25,0,1014,1102,,,,,
97,196,22.06,0.56,-0.22,1.21,0.4,0.13,0,0.03,3.12,2.16,0,2,0.25,0,1014,1203,,,,,
98,145,20.19,0.59,-0.22,1.21,0.4,0.11,0.01,0.03,2.96,1.96,0,1.8,0.25,0,1014,1208,,,,,
99,103,18.25,0.58,-0.22,1.12,0.4,0.09,0.01,0.05,2.8,1.76,0,1.6,0.2,0,1014,1213,,,,,
100,70,16.26,0.58,-0.21,1.11,0.4,0.09,0.01,0.06,2.58,1.5,0,1.4,0.15,0,1014,1218,,,,,
101,46,14.36,0.48,-0.21,0.92,0.39,0.08,0.01,0.06,2.4,1.28,0,1.3,0.15,0,1014,1222,,,,,
102,27,12.18,0.47,-0.21,0.6,0.38,0.07,0.01,0.07,2.24,1.08,0,1.2,0.15,0,1014,1228,,,,,
103,12,10.28,0.36,-0.22,0.19,0.34,0.06,0.01,0.07,2.14,0.94,0,0.85,0.15,0,1014,1232,,,,,
104,3,8.86,0.37,-0.21,0.08,0.3,0.07,0.01,0.08,2.02,0.8,0,0.75,0.05,0,1014,1237,,,,,
105,-7,7.05,0.38,-0.21,-0.02,0.23,0.05,0.02,0.08,1.68,0.6,0,0.6,0.05,0,1014,1242,,,,,
106,-16,5.06,0.28,-0.19,-0.01,0.17,0.05,0.02,0.09,1.28,0.38,0,0.35,0,0,1014,1247,,,,,
107,-21,3.08,0.3,-0.2,-0.08,0.09,0.04,0.01,0.08,0.7,0.32,0,0.3,0.05,0,1014,1252,,,,,
108,-26,1.08,0.19,-0.2,-0.1,-0.01,0.02,0.01,0.08,0.14,0.24,0,-0.05,0,0,1014,1257,,,,,
109,-32,-0.82,0.09,-0.21,-0.09,-0.05,0.01,0.02,0.08,-0.18,0,0,-0.2,-0.05,0,1014,1301,,,,,
110,-45,-2.8,-0.04,-0.21,-0.22,-0.12,-0.01,0.01,0.08,-0.44,-0.38,0,-0.3,-0.05,0,1014,1306,,,,,
111,-62,-4.68,-0.16,-0.22,-0.19,-0.2,-0.02,0.02,0.08,-0.8,-0.68,0,-0.45,-0.05,0,1014,1311,,,,,
112,-83,-6.79,-0.37,-0.12,-0.22,-0.32,-0.04,-0.02,0.08,-1.22,-0.98,0,-0.7,-0.05,0,1014,1316,,,,,
113,-107,-8.6,-0.46,-0.01,-0.21,-0.39,-0.04,-0.07,0.07,-1.66,-1.34,0,-0.8,-0.05,0,1014,1321,,,,,
114,-130,-10.47,-0.55,-0.02,-0.2,-0.45,-0.05,-0.1,0.1,-2.12,-1.8,0,-1.1,-0.15,0,1014,1326,,,,,
115,-151,-12.18,-0.76,0.09,-0.2,-0.51,-0.1,-0.12,0.11,-2.58,-2.22,0,-1.2,-0.1,0,1014,1330,,,,,
116,-168,-13.8,-0.87,0.09,-0.19,-0.53,-0.12,-0.12,0.12,-3.02,-2.64,0,-1.4,-0.15,0,1014,1335,,,,,
117,-185,-15.59,-0.98,0.08,-0.19,-0.55,-0.14,-0.07,0.14,-3.52,-3.18,0,-1.5,-0.1,0,1014,1340,,,,,
118,-199,-17.5,-1.08,0.07,-0.2,-0.53,-0.17,0,0.15,-4.04,-3.68,0,-1.7,-0.2,0,1014,1345,,,,,
119,-197,-18.25,-1.19,0.08,-0.2,-0.5,-0.18,0.04,0.16,-4.16,-3.84,0,-1.7,-0.1,0,1014,1430,,,,,
120,-166,-16.35,-1.07,0.09,-0.18,-0.57,-0.19,-0.08,0.16,-3.66,-3.28,0,-1.5,-0.1,0,1014,1435,,,,,
121,-130,-14.18,-0.86,0.09,-0.18,-0.61,-0.17,-0.2,0.15,-3.12,-2.66,0,-1.4,-0.15,0,1014,1440,,,,,
122,-97,-12,-0.78,0.09,-0.2,-0.61,-0.18,-0.26,0.13,-2.6,-2.08,0,-1.1,-0.1,0,1014,1446,,,,,
123,-63,-9.81,-0.55,-0.01,-0.22,-0.59,-0.16,-0.27,0.09,-2.12,-1.58,0,-0.9,-0.1,0,1014,1451,,,,,
124,-33,-7.73,-0.48,-0.01,-0.21,-0.52,-0.15,-0.24,0.06,-1.64,-1.2,0,-0.75,-0.1,0,1014,1456,,,,,
125,-7,-5.45,-0.38,-0.12,-0.23,-0.46,-0.14,-0.22,0.05,-1.2,-0.82,0,-0.5,-0.05,0,1014,1502,,,,,
126,6,-4.03,-0.25,-0.11,-0.21,-0.36,-0.13,-0.18,0.03,-0.9,-0.62,0,-0.45,-0.1,0,1014,1507,,,,,
127,23,-2.14,-0.25,-0.11,-0.06,-0.26,-0.11,-0.13,0.01,-0.56,-0.42,0,-0.25,0,0,1014,1512,,,,,
128,30,-0.05,-0.15,-0.12,0.21,-0.2,-0.1,-0.1,0,-0.28,-0.24,0,-0.05,-0.05,0,1014,1517,,,,,
129,37,1.98,-0.06,-0.12,0.52,-0.16,-0.1,-0.1,0,0.08,-0.06,0,0.2,0,0,1014,1522,,,,,
130,45,3.93,-0.04,-0.12,0.72,-0.09,-0.09,-0.1,-0.01,0.4,0.12,0,0.3,0.05,0,1014,1527,,,,,
131,53,5.92,0.08,-0.11,0.85,-0.04,-0.06,-0.09,0.01,0.76,0.3,0,0.45,0.05,0,1014,1531,,,,,
132,64,7.93,0.15,-0.14,0.94,0,-0.04,-0.09,0.01,1.16,0.48,0,0.65,0.1,0,1014,1537,,,,,
133,75,9.9,0.18,-0.21,1.02,0.05,-0.02,-0.08,0.03,1.5,0.7,0,0.85,0.1,0,1014,1541,,,,,
134,86,11.8,0.28,-0.22,1.02,0.12,-0.02,-0.04,0.02,1.8,0.92,0,1.05,0.15,0,1014,1546,,,,,
135,104,13.88,0.27,-0.22,1.04,0.17,0.01,-0.03,0.03,2.1,1.16,0,1.2,0.15,0,1014,1552,,,,,
136,125,15.89,0.27,-0.22,1.13,0.22,0.03,-0.03,0.03,2.34,1.42,0,1.45,0.2,0,1014,1557,,,,,
137,147,17.89,0.37,-0.21,1.13,0.29,0.06,-0.02,0.02,2.58,1.66,0,1.65,0.2,0,1014,1602,,,,,
138,172,19.78,0.37,-0.22,1.12,0.34,0.08,-0.02,0.02,2.82,1.88,0,1.8,0.25,0,1014,1607,,,,,
139,197,21.59,0.39,-0.21,1.12,0.4,0.1,-0.02,0.02,3.06,2.08,0,1.95,0.25,0,1014,1612,,,,,
140,221,23.4,0.47,-0.21,1.24,0.44,0.12,0,0.03,3.34,2.3,0,2.15,0.25,0,1014,1617,,,,,
141,236,25.21,0.51,-0.21,1.23,0.49,0.14,0.01,0.03,3.66,2.54,0,2.3,0.3,0,1014,1622,,,,,
142,245,27.21,0.52,-0.21,1.23,0.56,0.16,0.03,0.04,4,2.72,0,2.6,0.35,0,1014,1628,,,,,
143,255,28.93,0.61,-0.21,1.21,0.62,0.18,0.04,0.03,4.3,2.92,0,2.7,0.35,0,1014,1633,,,,,
144,266,30.82,0.67,-0.32,1.23,0.67,0.2,0.06,0.03,4.62,3.14,0,2.85,0.35,0,1014,1638,,,,,
145,273,32.55,0.7,-0.32,1.23,0.7,0.21,0.05,0.03,4.92,3.36,0,3.1,0.4,0,1014,1643,,,,,
146,283,34.36,0.8,-0.33,1.23,0.74,0.24,0.06,0.04,5.18,3.6,0,3.35,0.4,0,1014,1648,,,,,
147,293,36.08,0.81,-0.32,1.23,0.8,0.25,0.07,0.03,5.44,3.84,0,3.45,0.45,0,1014,1653,,,,,
148,302,37.8,0.91,-0.34,1.23,0.84,0.28,0.08,0.04,5.66,4.1,0,3.65,0.55,0,1014,1658,,,,,
149,279,38.37,0.94,-0.42,1.26,0.82,0.3,0.07,0.03,5.78,4.22,0,3.55,0.5,0,1014,1729,,,,,
150,230,36.64,0.99,-0.43,1.24,0.83,0.29,0.09,0.03,5.64,4.06,0,3.45,0.4,0,1014,1734,,,,,
151,186,34.74,1.02,-0.42,1.23,0.83,0.27,0.09,0.02,5.48,3.88,0,3.2,0.45,0,1014,1738,,,,,
152,148,32.84,1.03,-0.42,1.23,0.83,0.24,0.1,0.03,5.3,3.62,0,3.05,0.35,0,1014,1743,,,,,
153,116,30.93,1.03,-0.42,1.23,0.84,0.24,0.08,0.04,5.14,3.4,0,2.8,0.4,0,1014,1748,,,,,
154,86,28.91,1.01,-0.42,1.13,0.85,0.23,0.1,0.05,4.9,3.14,0,2.6,0.35,0,1014,1753,,,,,
155,64,27.02,0.92,-0.43,1.12,0.87,0.21,0.09,0.07,4.72,2.94,0,2.45,0.35,0,1014,1758,,,,,
156,44,25.03,0.92,-0.41,1.05,0.87,0.2,0.08,0.09,4.54,2.74,0,2.25,0.3,0,1014,1802,,,,,
157,29,22.93,0.91,-0.42,0.81,0.83,0.18,0.08,0.09,4.36,2.54,0,2.05,0.3,0,1014,1808,,,,,
158,19,20.92,0.81,-0.42,0.51,0.78,0.17,0.08,0.09,4.18,2.38,0,1.9,0.25,0,1014,1812,,,,,
159,7,19.02,0.81,-0.42,0.12,0.73,0.17,0.08,0.1,4.02,2.24,0,1.65,0.25,0,1014,1817,,,,,
