ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,変位計1,,γ1-2,,,筋かい有
63,514,22.55,2,-0.1,0.27,0.31,-0.35,-0.15,-0.87,-0.24,0.56,7.54,20,3.5,825,812,5029,,,22.55,,0.009032967,,,514
64,526,23.32,2,-0.16,0.27,0.3,-0.36,-0.16,-0.93,-0.18,0.64,7.64,20,3.5,845,812,5030,,,23.32,,0.009371429,,,526
65,540,24.2,2.1,-0.21,0.27,0.27,-0.38,-0.17,-1.02,-0.16,0.72,7.7,21,3.5,865,812,5032,,,24.2,,0.009714286,,,540
66,554,24.96,2.1,-0.21,0.27,0.24,-0.39,-0.18,-1.08,-0.12,0.82,7.8,21,3.5,883,812,5034,,,24.96,,0.010048352,,,554
67,564,25.83,2.11,-0.21,0.27,0.21,-0.4,-0.19,-1.14,-0.08,0.92,7.88,22,3.5,903,812,5036,,,25.83,,0.010426374,,,564
68,578,26.6,2.21,-0.21,0.27,0.18,-0.41,-0.2,-1.19,-0.04,1.02,7.94,22.5,3.5,920,812,5037,,,26.6,,0.010720879,,,578
69,589,27.47,2.21,-0.22,0.27,0.15,-0.42,-0.21,-1.25,-0.02,1.1,8.02,23,3.5,940,812,5039,,,27.47,,0.011103297,,,589
70,598,28.23,2.22,-0.21,0.27,0.12,-0.43,-0.22,-1.3,0.02,1.2,8.08,23.5,4,955,812,5041,,,28.23,,0.011432967,,,598
71,592,28.71,2.31,-0.21,0.25,0.11,-0.44,-0.23,-1.37,0.1,1.34,8.08,24,3.5,928,812,5044,,,28.71,,0.011604396,,,592
72,558,28.73,2.32,-0.33,0.28,-0.02,-0.44,-0.24,-1.39,0.2,1.5,8.1,24,3,830,812,5115,,,28.73,,0.011608791,,,558
73,493,27.95,2.41,-0.33,0.26,-0.03,-0.44,-0.25,-1.36,0.36,1.64,8.08,22.5,2.5,763,812,5116,,,27.95,,0.011226374,,,493
74,450,27.07,2.41,-0.32,0.27,0.01,-0.45,-0.27,-1.25,0.54,1.84,8.04,23,3.5,683,812,5118,,,27.07,,0.01083956,,,450
75,407,26.23,2.42,-0.31,0.29,0.09,-0.45,-0.28,-1.16,0.7,1.98,7.96,23.5,4,608,812,5120,,,26.23,,0.010465934,,,407
76,370,25.48,2.42,-0.32,0.27,0.15,-0.46,-0.29,-1.09,0.86,2.12,7.86,22,3.5,548,812,5121,,,25.48,,0.010136264,,,370
77,328,24.71,2.42,-0.31,0.28,0.23,-0.46,-0.3,-1,1.04,2.3,7.74,21.5,3.5,480,812,5123,,,24.71,,0.009797802,,,328
78,289,24,2.42,-0.31,0.27,0.3,-0.46,-0.3,-0.91,1.24,2.46,7.58,21.5,3.5,413,812,5124,,,24,,0.009485714,,,289
79,246,23.23,2.43,-0.32,0.27,0.34,-0.46,-0.31,-0.83,1.4,2.64,7.4,21,3.5,343,812,5126,,,23.23,,0.009142857,,,246
80,203,22.36,2.42,-0.32,0.27,0.39,-0.45,-0.31,-0.77,1.58,2.8,7.14,20,3,268,812,5128,,,22.36,,0.008764835,,,203
81,165,21.58,2.43,-0.32,0.27,0.43,-0.43,-0.31,-0.7,1.78,2.98,6.86,19.5,3,205,812,5129,,,21.58,,0.008417582,,,165
82,131,20.81,2.43,-0.31,0.28,0.42,-0.41,-0.32,-0.65,1.96,3.12,6.48,19.5,2.5,155,812,5131,,,20.81,,0.008079121,,,131
83,100,19.74,2.42,-0.31,0.23,0.41,-0.39,-0.31,-0.61,2.18,3.34,5.64,18.5,2.5,123,812,5133,,,19.74,,0.007613187,,,100
84,85,18.88,2.31,-0.22,0.16,0.4,-0.37,-0.31,-0.57,2.38,3.54,4.8,18,1.5,103,812,5134,,,18.88,,0.007283516,,,85
85,70,18.01,2.31,-0.22,0.17,0.38,-0.36,-0.31,-0.52,2.46,3.58,4.26,17,2,65,812,5136,,,18.01,,0.006901099,,,70
86,51,17.24,2.33,-0.22,0.17,0.37,-0.34,-0.31,-0.47,2.46,3.58,3.92,17.5,2.5,38,812,5137,,,17.24,,0.006553846,,,51
87,32,16.47,2.22,-0.22,0.16,0.37,-0.32,-0.28,-0.45,2.38,3.42,3.78,15.5,2.5,10,812,5139,,,16.47,,0.006263736,,,32
88,14,15.59,2.19,-0.23,0.17,0.35,-0.32,-0.26,-0.43,2.32,3.24,3.5,15,1.5,-13,812,5140,,,15.59,,0.00589011,,,14
89,3,14.72,2.09,-0.22,0.14,0.33,-0.31,-0.25,-0.41,2.28,3.2,3.3,13.5,1,-18,812,5142,,,14.72,,0.005551648,,,3
90,8,14.63,2.11,-0.21,0.17,0.33,-0.3,-0.24,-0.39,2.28,3.18,3.32,15,1,8,812,5211,,,14.63,,0.005503297,,,8
