ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,
63,140,39.99,0.72,0,0.02,0.99,-0.01,-0.26,0.68,2.22,1.92,9.36,3.8,0.45,230,2711,4634,,,,,,,,,,
64,120,38.45,0.73,-0.01,0.03,0.93,-0.01,-0.26,0.68,2.14,1.88,9,3.65,0.35,178,2711,4638,,,,,,,,,,
65,101,36.34,0.69,0.01,0.03,0.81,0,-0.27,0.68,2.14,1.92,7.84,3.45,0.45,130,2711,4644,,,,,,,,,,
66,80,34.04,0.64,-0.01,0,0.7,0,-0.26,0.69,2.02,1.88,7.22,3.25,0.5,78,2711,4650,,,,,,,,,,
67,59,31.63,0.63,0,0.02,0.6,-0.01,-0.26,0.67,1.72,1.7,6.96,3.05,0.35,25,2711,4657,,,,,,,,,,
68,40,26.33,0.64,0.01,0.01,0.36,0,-0.25,0.63,1.4,1.44,5.82,2.45,0.3,3,2711,4711,,,,,,,,,,
69,19,16.64,0.4,0,0.02,0.04,0,-0.24,0.42,1.04,1.24,3.3,1.55,0.2,-3,2711,4736,,,,,,,,,,
70,10,10.09,0.39,0.01,0.02,-0.04,0,-0.18,0.27,1.04,1.2,1.18,0.95,0.1,0,2711,4753,,,,,,,,,,
71,0,5.69,0.31,0.01,0.01,-0.04,-0.01,-0.16,0.19,1.02,1.18,-0.16,0.55,0.1,-13,2711,4805,,,,,,,,,,
72,2,5.31,0.3,-0.01,0.01,-0.04,-0.01,-0.16,0.18,1,1.18,-0.2,0.5,0.05,-3,2711,4857,,,,,,,,,,
73,22,7.68,0.3,0,0,-0.04,-0.01,-0.12,0.18,1,1.16,0.44,0.75,0.1,0,2711,4905,,,,,,,,,,
74,37,13.97,0.37,0,0.02,0,-0.01,-0.12,0.27,1,1.14,2.6,1.3,0.2,3,2711,4922,,,,,,,,,,
75,62,23.82,0.52,-0.01,0.01,0.34,-0.01,-0.13,0.51,1.1,1.12,5.9,2.4,0.3,20,2711,4948,,,,,,,,,,
76,82,27.4,0.55,-0.01,-0.01,0.5,0,-0.14,0.54,1.28,1.32,6.78,2.6,0.3,80,2711,4958,,,,,,,,,,
77,101,29.8,0.56,0.01,0,0.57,0,-0.16,0.56,1.48,1.46,7.24,2.85,0.3,133,2711,5005,,,,,,,,,,
78,121,32.3,0.61,0,0.03,0.67,-0.01,-0.17,0.58,1.68,1.64,7.78,3.15,0.4,188,2711,5012,,,,,,,,,,
79,143,34.98,0.61,0,0.02,0.77,0,-0.19,0.62,1.72,1.62,8.68,3.4,0.45,253,2711,5020,,,,,,,,,,
80,161,36.45,0.62,0,0.03,0.83,0,-0.2,0.61,1.8,1.68,8.88,3.6,0.45,298,2711,5024,,,,,,,,,,
81,182,38.17,0.63,-0.01,0.01,0.9,0,-0.21,0.62,1.92,1.74,9.12,3.65,0.45,360,2711,5029,,,,,,,,,,
82,192,39.03,0.67,-0.01,0.01,0.94,0,-0.22,0.61,1.98,1.78,9.22,3.7,0.55,390,2711,5032,,,,,,,,,,
83,201,39.71,0.74,-0.01,0.01,0.97,0,-0.22,0.62,2.04,1.82,9.3,3.75,0.5,415,2711,5034,,,,,,,,,,
84,224,41.25,0.74,-0.01,0.01,1.04,0,-0.23,0.62,2.16,1.88,9.46,3.95,0.5,475,2711,5039,,,,,,,,,,
85,242,42.71,0.76,-0.02,0,1.08,-0.01,-0.24,0.63,2.26,1.96,9.58,4.15,0.5,533,2711,5044,,,,,,,,,,
86,260,44.14,0.74,-0.02,0,1.15,-0.02,-0.25,0.62,2.38,2.04,9.72,4.2,0.45,588,2711,5048,,,,,,,,,,
