ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,,,
24,271,28.15,0.56,0.01,0.02,1.16,0.05,0.11,0.17,1.54,1.98,3,2.7,0.2,680,2013,55,,,,,,,,,,,,,,,,
25,284,30.37,0.64,0.01,0.04,1.21,0.04,0.13,0.18,1.84,2.18,3.08,2.95,0.35,713,2013,102,,,,,,,,,,,,,,,,
26,300,33.33,0.68,0.02,0.11,1.3,0.05,0.11,0.18,2.26,2.5,3.18,3.2,0.4,753,2013,111,,,,,,,,,,,,,,,,
27,273,34.19,0.74,0.01,0.11,1.34,0.07,0.13,0.18,2.5,2.62,3.24,3.3,0.45,668,2013,420,,,,,,,,,,,,,,,,
28,296,35.16,0.75,0.01,0.11,1.36,0.05,0.12,0.18,2.52,2.68,3.28,3.4,0.3,748,2013,427,,,,,,,,,,,,,,,,
29,326,37.87,0.85,0.02,0.11,1.45,0.05,0.13,0.19,2.84,2.94,3.38,3.6,0.5,813,2013,435,,,,,,,,,,,,,,,,
30,343,41.83,0.86,0.02,0.1,1.56,0.04,0.13,0.18,3.42,3.32,3.52,4,0.55,858,2013,447,,,,,,,,,,,,,,,,
31,355,43.65,0.94,-0.02,0.13,1.64,0.05,0.13,0.19,3.64,3.52,3.6,4.15,0.5,883,2013,453,,,,,,,,,,,,,,,,
32,368,46.04,0.94,-0.08,0.1,1.71,0.06,0.13,0.19,3.88,3.8,3.7,4.3,0.55,913,2013,500,,,,,,,,,,,,,,,,
33,377,48.72,1.05,-0.09,0.11,1.77,0.06,0.13,0.18,4.16,4.12,3.8,4.65,0.6,903,2013,509,,,,,,,,,,,,,,,,
34,383,51.2,1.05,-0.08,0.1,1.89,0.04,0.14,0.2,4.26,4.3,4.52,4.9,0.65,958,2013,516,,,,,,,,,,,,,,,,
35,397,53.93,1.15,-0.19,0.09,1.96,0.05,0.14,0.18,4.62,4.6,4.6,5.15,0.65,985,2013,525,,,,,,,,,,,,,,,,
36,402,56.04,1.28,-0.18,0.1,2.02,0.06,0.16,0.17,4.92,4.9,4.7,5.35,0.7,1003,2013,532,,,,,,,,,,,,,,,,
37,373,56.98,1.35,-0.2,0.12,2.04,0.05,0.14,0.15,5.14,5.06,4.72,5.55,0.75,908,2013,653,,,,,,,,,,,,,,,,
38,392,57.95,1.38,-0.19,0.1,2.06,0.05,0.13,0.13,5.18,5.12,4.76,5.55,0.75,978,2013,701,,,,,,,,,,,,,,,,
39,413,59.58,1.37,-0.3,0.1,2.13,0.04,0.14,0.13,5.38,5.26,4.82,5.7,0.7,1025,2013,706,,,,,,,,,,,,,,,,
40,419,61.22,1.38,-0.3,0.11,2.19,0.06,0.15,0.13,5.58,5.32,5,5.9,0.75,1043,2013,711,,,,,,,,,,,,,,,,
41,431,63.52,1.49,-0.29,0.11,2.27,0.06,0.14,0.14,6,5.54,5.12,6.1,0.85,1063,2013,718,,,,,,,,,,,,,,,,
42,438,65.93,1.49,-0.3,0.11,2.34,0.07,0.15,0.13,6.46,5.72,5.16,6.35,0.8,1083,2013,726,,,,,,,,,,,,,,,,
43,449,68.26,1.6,-0.4,0.11,2.41,0.08,0.16,0.13,6.82,5.84,5.22,6.55,0.9,1105,2013,733,,,,,,,,,,,,,,,,
44,456,70.27,1.6,-0.4,0.1,2.47,0.09,0.15,0.1,7.12,6.06,5.32,6.7,0.9,1125,2013,740,,,,,,,,,,,,,,,,
45,470,73.06,1.7,-0.5,0.11,2.57,0.1,0.14,0.06,7.44,6.26,5.38,6.95,0.95,1163,2013,749,,,,,,,,,,,,,,,,
46,480,75.75,1.81,-0.61,0.13,2.65,0.12,0.18,0.06,7.78,6.56,5.52,7.25,0.95,1195,2013,758,,,,,,,,,,,,,,,,
47,490,78.25,1.91,-0.73,0.11,2.75,0.13,0.19,0.04,8.1,6.8,5.62,7.45,1,1223,2013,806,,,,,,,,,,,,,,,,
48,500,80.11,1.92,-0.7,0.11,2.8,0.14,0.19,0.02,8.32,6.94,5.7,7.6,1,1245,2013,813,,,,,,,,,,,,,,,,
49,505,81.85,2.02,-0.81,0.1,2.86,0.16,0.19,0,8.52,7.12,5.76,7.75,1,1255,2013,818,,,,,,,,,,,,,,,,
50,505,83.51,2.02,-0.81,0.1,2.93,0.16,0.19,0,8.64,7.4,5.78,7.85,1,1263,2013,824,,,,,,,,,,,,,,,,
51,510,85.36,2.05,-0.91,0.11,2.98,0.17,0.19,-0.02,8.78,7.78,5.84,8.15,1.05,1273,2013,830,,,,,,,,,,,,,,,,
52,514,87.17,2.12,-0.91,0.1,3.06,0.17,0.19,-0.03,8.9,8.22,5.86,8.35,1.05,1280,2013,836,,,,,,,,,,,,,,,,
53,519,89.6,2.12,-1.03,0.11,3.13,0.18,0.2,-0.04,9.02,8.68,5.9,8.55,1.1,1295,2013,844,,,,,,,,,,,,,,,,
54,523,91.53,2.22,-1.11,0.11,3.21,0.18,0.19,-0.04,9.18,9.1,5.94,8.7,1.15,1300,2013,851,,,,,,,,,,,,,,,,
55,526,93.56,2.25,-1.11,0.11,3.28,0.2,0.2,-0.06,9.28,9.58,5.98,8.85,1.15,1295,2013,858,,,,,,,,,,,,,,,,
56,532,95.21,2.33,-1.15,0.1,3.32,0.2,0.19,-0.06,9.36,9.9,6,9,1.15,1310,2013,903,,,,,,,,,,,,,,,,
57,537,97.25,2.32,-1.21,0.1,3.41,0.22,0.19,-0.07,9.5,10.34,6.06,9.25,1.25,1320,2013,910,,,,,,,,,,,,,,,,
58,397,98.91,2.53,-1.22,0.1,3.4,0.22,0.23,0.15,9.3,12.44,6.26,9.35,1.25,870,2013,915,,,,,,,,,,,,,,,,
59,398,101.04,2.65,-1.22,0.11,3.44,0.22,0.23,0.19,9.32,13.26,6.26,9.6,1.3,850,2013,922,,,,,,,,,,,,,,,,
60,351,102.73,2.78,-1.21,0.12,3.47,0.23,0.24,0.26,9.3,14.46,6.18,9.7,1.3,735,2013,1313,,,,,,,,,,,,,,,,
61,365,103.6,2.77,-1.22,0.13,3.48,0.26,0.25,0.25,9.3,14.68,6.18,9.8,1.35,773,2013,1439,,,,,,,,,,,,,,,,
62,382,107.29,2.88,-1.21,0.11,3.65,0.24,0.24,0.29,9.3,15.92,6.18,10.1,1.3,788,2013,1450,,,,,,,,,,,,,,,,
63,385,109.33,2.87,-1.22,0.12,3.73,0.25,0.24,0.32,9.28,16.66,6.18,10.35,1.4,780,2013,1457,,,,,,,,,,,,,,,,
64,384,111.39,2.99,-1.21,0.12,3.82,0.26,0.25,0.36,9.3,17.44,6.18,10.6,1.55,768,2013,1503,,,,,,,,,,,,,,,,
65,384,113.85,2.99,-1.22,0.11,3.9,0.26,0.26,0.4,9.3,18.32,6.18,10.8,1.5,758,2013,1511,,,,,,,,,,,,,,,,
66,385,115.61,2.99,-1.21,0.11,3.96,0.27,0.29,0.44,9.3,19,6.16,10.95,1.5,753,2013,1516,,,,,,,,,,,,,,,,
67,388,118.27,3.09,-1.22,0.1,4.07,0.29,0.27,0.46,9.3,19.92,6.18,11.15,1.5,750,2013,1525,,,,,,,,,,,,,,,,
68,385,121,3.18,-1.23,0.11,4.16,0.31,0.27,0.51,9.3,20.98,6.2,11.4,1.6,728,2013,1533,,,,,,,,,,,,,,,,
69,382,124.15,3.21,-1.22,0.12,4.27,0.3,0.27,0.56,9.26,22.14,6.18,11.75,1.65,715,2013,1543,,,,,,,,,,,,,,,,
70,384,128.27,3.3,-1.21,0.11,4.41,0.31,0.28,0.67,9.28,23.68,6.24,12.15,1.7,690,2013,1556,,,,,,,,,,,,,,,,
71,380,130.24,3.41,-1.22,0.11,4.49,0.32,0.31,0.71,9.24,24.38,6.2,12.4,1.7,685,2013,1602,,,,,,,,,,,,,,,,
72,380,132.71,3.41,-1.22,0.11,4.57,0.33,0.29,0.74,9.24,25.3,6.22,12.65,1.65,665,2013,1610,,,,,,,,,,,,,,,,
73,377,135.18,3.52,-1.18,0.12,4.67,0.33,0.29,0.79,9.24,26.24,6.24,12.8,1.75,653,2013,1618,,,,,,
74,375,137.46,3.53,-1.21,0.12,4.77,0.34,0.29,0.83,9.22,27.1,6.24,13,1.8,638,2013,1625,,,,,,
75,371,140.13,3.63,-1.23,0.11,4.87,0.35,0.29,0.88,9.2,28.12,6.26,13.3,1.85,615,2013,1633,,,,,,
76,367,143.11,3.73,-1.23,0.12,4.96,0.34,0.29,0.93,9.18,29.22,6.28,13.55,1.85,595,2013,1642,,,,,,
77,367,145.21,3.74,-1.22,0.13,5.02,0.34,0.29,1,9.18,29.98,6.3,13.7,1.9,590,2013,1648,,,,,,
78,365,147.69,3.85,-1.21,0.12,5.09,0.35,0.3,1.06,9.16,30.92,6.32,13.95,1.95,573,2013,1656,,,,,,
79,365,150.19,3.94,-1.21,0.11,5.17,0.37,0.34,1.11,9.14,31.82,6.36,14.25,1.95,563,2013,1704,,,,,,
80,343,150.87,3.97,-1.22,0.12,5.18,0.34,0.3,1.14,9.08,32.18,6.34,14.3,1.95,523,2013,1749,,,,,,
81,339,150.87,4.06,-1.2,0.11,5.16,0.35,0.32,1.14,9.06,32.22,6.34,14.3,2,518,2013,1822,,,,,,
82,327,150.95,4.04,-1.22,0.12,5.13,0.33,0.27,1.14,9,32.34,6.34,14.3,2,493,2013,2147,,,,,,
83,353,154.35,4.16,-1.21,0.11,5.24,0.36,0.27,1.16,9,33.44,6.36,14.65,2,535,2013,2159,,,,,,
84,355,159.28,4.24,-1.21,0.1,5.45,0.34,0.29,1.27,9,35.3,6.4,15.1,2,513,2013,2215,,,,,,
85,356,162.48,4.27,-1.21,0.12,5.59,0.35,0.29,1.33,9,36.42,6.42,15.35,2.1,498,2013,2224,,,,,,
86,356,164.42,4.3,-1.22,0.11,5.67,0.38,0.27,1.39,9,37.1,6.42,15.6,2.2,493,2013,2230,,,,,,
87,355,169.36,4.38,-1.22,0.11,5.8,0.38,0.29,1.49,8.98,38.88,6.46,16.05,2.25,470,2013,2245,,,,,,
88,354,173.86,4.46,-1.22,0.11,5.93,0.38,0.29,1.57,8.96,40.5,6.52,16.55,2.3,448,2013,2259,,,,,,
89,357,179.44,4.68,-1.22,0.1,6.08,0.37,0.26,1.65,8.94,42.42,6.56,17.1,2.4,433,2013,2316,,,,,,
90,358,184.38,4.79,-1.22,0.11,6.26,0.38,0.29,1.78,8.92,44.14,6.58,17.55,2.5,423,2013,2331,,,,,,
91,360,189.36,4.89,-1.23,0.13,6.39,0.37,0.26,1.86,8.9,45.86,6.68,18,2.55,410,2013,2346,,,,,,
92,362,194.42,4.99,-1.32,0.11,6.52,0.36,0.35,1.96,8.86,47.6,6.82,18.5,2.6,405,2013,2402,,,,,,
93,363,199.39,5.11,-1.33,0.11,6.66,0.36,0.33,2.07,8.84,49.24,6.82,18.95,2.6,395,2013,2417,,,,,,
94,368,204.14,5.27,-1.32,0.14,6.88,0.38,0.3,2.14,8.82,50.84,6.84,19.35,2.7,393,2013,2431,,,,,,
95,372,209.44,5.43,-1.33,0.1,7.05,0.38,0.32,2.24,8.84,52.58,6.9,19.9,2.75,378,2013,2447,,,,,,
96,364,214.44,5.53,-1.32,0.11,7.18,0.38,0.28,2.36,8.78,54.34,7.24,20.35,2.85,353,2013,2503,,,,,,
97,364,219.3,5.63,-1.31,0.1,7.31,0.38,0.27,2.46,8.76,56.04,7.72,20.75,2.95,330,2013,2518,,,,,,
98,366,224.31,5.83,-1.32,0.1,7.49,0.37,0.25,2.55,8.76,57.72,8.18,21.3,3,328,2013,2533,,,,,,
99,366,229.35,5.95,-1.32,0.12,7.68,0.37,0.25,2.7,8.74,59.42,8.78,21.75,3,308,2013,2549,,,,,,
100,361,234.4,6.06,-1.32,0.1,7.76,0.36,0.22,2.8,8.66,61.2,9.02,22.15,3.05,280,2013,2604,,,,,,
101,355,239.35,6.2,-1.33,0.11,7.94,0.36,0.2,2.92,8.62,63.02,9.52,22.6,3.2,250,2013,2619,,,,,,
102,352,244.36,6.36,-1.34,0.11,8.08,0.34,0.13,3.04,8.6,64.96,10.22,23.15,3.25,220,2013,2635,,,,,,
103,349,248.01,6.47,-1.3,0.13,8.19,0.36,0.13,3.13,8.54,66.2,10.34,23.4,3.3,210,2013,2646,,,,,,
104,339,248.02,6.44,-1.33,0.11,8.16,0.35,0.09,3.12,8.5,66.28,9.98,23.45,3.25,200,2013,2657,,,,,,
105,334,248.2,6.56,-1.34,0.11,8.16,0.35,0.08,3.13,8.46,66.44,9.96,23.45,3.25,198,2013,2732,,,,,,
106,346,254.53,6.71,-1.31,0.1,8.34,0.36,0.08,3.25,8.44,68.6,9.94,24,3.35,193,2013,2751,,,,,,
107,349,259.38,6.81,-1.31,0.11,8.48,0.36,0.04,3.38,8.4,70.4,9.94,24.45,3.4,183,2013,2806,,,,,,
108,354,264.39,6.92,-1.32,0.12,8.61,0.34,0,3.48,8.38,72.22,9.94,24.9,3.5,173,2013,2821,,,,,,
109,356,267.93,7.02,-1.31,0.1,8.7,0.36,-0.02,3.55,8.38,73.5,9.9,25.25,3.55,173,2013,2832,,,,,,
110,360,274.12,7.23,-1.3,0.11,8.88,0.34,-0.08,3.69,8.38,75.76,9.78,25.75,3.65,173,2013,2851,,,,,,
111,362,279.39,7.33,-1.39,0.12,9,0.36,-0.1,3.8,8.4,77.72,9.58,26.25,3.6,165,2013,2907,,,,,,
112,364,283.27,7.47,-1.41,0.11,9.1,0.33,-0.16,3.91,8.38,79.16,9.48,26.75,3.7,165,2013,2920,,,,,,
113,366,289.43,7.63,-1.43,0.12,9.31,0.36,-0.18,4.03,8.38,81.34,9.44,27.2,3.8,163,2013,2939,,,,,,
114,337,290.13,7.84,-1.43,0.11,9.18,0.31,-0.26,4.04,8.24,81.74,9.4,27.2,3.75,145,2013,3403,,,,,,
115,309,288.93,7.84,-1.43,0.12,8.98,0.31,-0.28,4.06,8.16,81.72,9.36,27.1,3.75,75,2013,3409,,,,,,
116,267,285.04,7.85,-1.43,0.12,8.85,0.35,-0.27,4.07,8.14,81.5,8.72,26.55,3.7,3,2013,3416,,,,,,
117,236,278.3,7.75,-1.42,0.12,8.55,0.35,-0.24,4.02,7.98,81,7.18,26.05,3.65,-33,2013,3425,,,,,,
118,206,271.77,7.66,-1.42,0.1,8.28,0.33,-0.25,3.99,7.88,79.32,7.08,25.4,3.55,-53,2013,3433,,,,,,
119,190,265.66,7.54,-1.43,0.11,8,0.34,-0.22,3.9,7.78,77.32,7.08,24.85,3.5,-48,2013,3441,,,,,,
120,180,259.66,7.55,-1.43,0.12,7.74,0.33,-0.21,3.82,7.74,75.28,7.3,24.35,3.4,-35,2013,3448,,,,,,
121,158,251.87,7.42,-1.42,0.1,7.43,0.3,-0.2,3.7,7.72,72.76,7.3,23.55,3.3,-35,2013,3458,,,,,,
122,148,245.05,7.31,-1.41,0.11,7.16,0.32,-0.18,3.6,7.7,70.52,7.3,22.95,3.2,-38,2013,3507,,,,,,
123,135,238.76,7.23,-1.31,0.11,6.93,0.32,-0.17,3.5,7.66,68.32,7.2,22.25,3.1,-48,2013,3514,,,,,,
124,119,230.42,7.02,-1.31,0.1,6.62,0.3,-0.16,3.39,7.66,65.62,7.2,21.45,2.95,-55,2013,3525,,,,,,
125,103,223.13,6.91,-1.32,0.11,6.35,0.29,-0.14,3.3,7.66,63.3,7.18,20.8,2.9,-58,2013,3534,,,,,,
126,87,214.91,6.69,-1.22,0.11,6.05,0.27,-0.12,3.19,7.5,60.9,7.16,20.05,2.8,-70,2013,3544,,,,,,
127,68,206.15,6.55,-1.22,0.12,5.81,0.26,-0.11,3.12,7.4,58.46,7.1,19.2,2.65,-88,2013,3555,,,,,,
128,47,198.36,6.37,-1.11,0.1,5.55,0.22,-0.1,3.11,7.34,56.42,7.02,18.5,2.55,-118,2013,3604,,,,,,
129,30,190.29,6.17,-1.11,0.11,5.28,0.25,-0.08,3.13,7.2,54.46,6.94,17.7,2.45,-135,2013,3614,,,,,,
130,21,180.59,5.94,-1.01,0.11,4.94,0.22,-0.07,3.28,7.08,51.94,6.86,16.75,2.35,-135,2013,3626,,,,,,
131,8,173.18,5.75,-1.01,0.11,4.76,0.21,-0.05,3.82,6.98,50.36,6.86,16.05,2.3,-143,2013,3636,,,,,,
132,0,166.23,5.55,-0.9,0.11,4.59,0.17,-0.05,4.43,6.86,49.06,6.82,15.35,2.15,-150,2013,3644,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
