ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,γ,θ,γ0,γ1-2,,変位計1
74,262,20.83,0.55,0.33,-0.01,0.11,-0.09,-0.09,0.05,-0.38,-1.34,6.08,20.5,-0.5,583,2710,4651,,0.01037037,-0.000226667,0.010143704,0.008362887,262,20.83
75,218,20.07,0.68,0.32,-0.02,0.11,-0.1,-0.1,0.07,-0.26,-1.18,5.98,19.5,0,490,2710,4652,,0.00962963,-0.000226667,0.009402963,0.007995876,218,20.07
76,190,19.31,0.65,0.32,0,0.11,-0.09,-0.11,0.08,-0.16,-1.06,5.82,19.5,0,410,2710,4654,,0.00962963,-0.000213333,0.009416296,0.007694845,190,19.31
77,162,18.53,0.6,0.32,-0.01,0.11,-0.09,-0.12,0.09,-0.06,-0.92,5.64,18.5,0,338,2710,4655,,0.009135802,-0.00022,0.008915802,0.007393814,162,18.53
78,135,17.66,0.55,0.33,-0.01,0.1,-0.08,-0.12,0.1,0.06,-0.72,5.42,17,0.5,260,2710,4657,,0.008148148,-0.000226667,0.007921481,0.00705567,135,17.66
79,110,16.86,0.55,0.33,0,0.12,-0.07,-0.12,0.1,0.18,-0.56,5.12,16.5,0.5,200,2710,4658,,0.007901235,-0.00022,0.007681235,0.006725773,110,16.86
80,88,16.03,0.54,0.32,-0.01,0.12,-0.08,-0.12,0.1,0.32,-0.4,4.66,16,0.5,150,2710,4700,,0.007654321,-0.00022,0.007434321,0.006387629,88,16.03
81,67,15.15,0.56,0.31,-0.01,0.11,-0.07,-0.09,0.1,0.42,-0.24,4.38,15,1.5,98,2710,4701,,0.006666667,-0.000213333,0.006453333,0.006016495,67,15.15
82,51,14.28,0.56,0.32,-0.01,0.11,-0.06,-0.07,0.11,0.52,-0.08,4.02,14,0.5,58,2710,4703,,0.006666667,-0.00022,0.006446667,0.005657732,51,14.28
83,37,13.41,0.55,0.31,-0.01,0.11,-0.06,-0.06,0.11,0.6,0.06,3.52,13,0,35,2710,4704,,0.006419753,-0.000213333,0.00620642,0.005303093,37,13.41
84,26,12.54,0.52,0.32,-0.01,0.11,-0.07,-0.05,0.11,0.66,0.18,2.96,12.5,-0.5,18,2710,4706,,0.006419753,-0.00022,0.006199753,0.004956701,26,12.54
85,18,11.68,0.43,0.32,-0.01,0.11,-0.08,-0.05,0.11,0.76,0.34,2.4,12,-0.5,3,2710,4707,,0.00617284,-0.00022,0.00595284,0.004639175,18,11.68
86,10,10.71,0.45,0.33,0,0.1,-0.07,-0.04,0.1,0.84,0.44,1.84,11,-0.5,-5,2710,4709,,0.005679012,-0.00022,0.005459012,0.004230928,10,10.71
87,6,10.05,0.44,0.32,0.01,0.09,-0.07,-0.04,0.1,0.86,0.5,1.66,11.5,-1,-13,2710,4711,,0.00617284,-0.000206667,0.005966173,0.003962887,6,10.05
88,19,10.26,0.43,0.34,0,0.1,-0.07,-0.04,0.11,0.82,0.48,2.18,11.5,-1.5,18,2710,5028,,0.006419753,-0.000226667,0.006193086,0.004053608,19,10.26
89,34,11.17,0.43,0.35,0,0.1,-0.07,-0.02,0.1,0.78,0.4,2.82,12.5,0,45,2710,5030,,0.00617284,-0.000233333,0.005939506,0.004428866,34,11.17
90,48,11.97,0.43,0.33,-0.01,0.11,-0.07,-0.01,0.11,0.72,0.34,3.44,14,1.5,80,2710,5031,,0.00617284,-0.000226667,0.005946173,0.004758763,48,11.97
91,65,12.84,0.44,0.32,0,0.11,-0.06,0,0.1,0.58,0.14,3.82,13.5,1.5,133,2710,5033,,0.005925926,-0.000213333,0.005712593,0.005113402,65,12.84
92,92,13.71,0.45,0.33,-0.01,0.12,-0.06,0.01,0.11,0.46,0,4.14,15,1.5,198,2710,5034,,0.006666667,-0.000226667,0.00644,0.005468041,92,13.71
93,116,14.48,0.54,0.32,-0.01,0.13,-0.05,0.02,0.1,0.34,-0.14,4.4,16,0,263,2710,5036,,0.007901235,-0.00022,0.007681235,0.005748454,116,14.48
94,136,15.33,0.54,0.32,-0.01,0.12,-0.06,0.01,0.1,0.22,-0.34,4.64,16.5,1,323,2710,5037,,0.007654321,-0.00022,0.007434321,0.006098969,136,15.33
95,159,16.11,0.55,0.33,0,0.12,-0.06,0,0.1,0.12,-0.48,4.92,16.5,1,380,2710,5039,,0.007654321,-0.00022,0.007434321,0.006416495,159,16.11
96,183,16.97,0.55,0.34,0,0.12,-0.06,-0.03,0.11,0.02,-0.64,5.2,17.5,1.5,438,2710,5040,,0.007901235,-0.000226667,0.007674568,0.006771134,183,16.97
97,204,17.75,0.55,0.33,0,0.12,-0.06,-0.04,0.11,-0.08,-0.8,5.42,19,1.5,498,2710,5042,,0.008641975,-0.00022,0.008421975,0.007092784,204,17.75
98,225,18.53,0.54,0.32,0,0.13,-0.06,-0.05,0.11,-0.16,-0.94,5.58,19.5,2,553,2710,5043,,0.008641975,-0.000213333,0.008428642,0.007418557,225,18.53
99,245,19.39,0.54,0.33,0,0.12,-0.07,-0.07,0.11,-0.24,-1.06,5.76,19.5,2,610,2710,5045,,0.008641975,-0.00022,0.008421975,0.007773196,245,19.39
100,267,20.18,0.54,0.39,0,0.13,-0.07,-0.07,0.11,-0.3,-1.2,5.88,21,2.5,668,2710,5046,,0.009135802,-0.00026,0.008875802,0.008098969,267,20.18
101,288,20.93,0.54,0.43,-0.01,0.13,-0.08,-0.08,0.11,-0.34,-1.26,6.02,21.5,3,720,2710,5048,,0.009135802,-0.000293333,0.008842469,0.008408247,288,20.93
102,311,21.71,0.58,0.43,0,0.13,-0.09,-0.09,0.11,-0.38,-1.32,6.16,22.5,3,763,2710,5049,,0.00962963,-0.000286667,0.009342963,0.008713402,311,21.71
103,325,22.59,0.67,0.44,-0.02,0.13,-0.08,-0.09,0.11,-0.38,-1.36,6.28,23,3.5,795,2710,5051,,0.00962963,-0.000306667,0.009322963,0.009039175,325,22.59
104,332,23.26,0.65,0.43,-0.01,0.14,-0.09,-0.09,0.11,-0.36,-1.4,6.4,23.5,3.5,820,2710,5052,,0.009876543,-0.000293333,0.00958321,0.009323711,332,23.26
105,344,24.02,0.66,0.43,-0.01,0.13,-0.1,-0.11,0.1,-0.38,-1.4,6.5,24.5,3,843,2710,5054,,0.010617284,-0.000293333,0.010323951,0.00963299,344,24.02
106,350,24.8,0.65,0.43,0,0.13,-0.1,-0.11,0.1,-0.34,-1.44,6.58,25,2.5,865,2710,5055,,0.011111111,-0.000286667,0.010824444,0.009958763,350,24.8
107,362,25.66,0.75,0.42,-0.01,0.13,-0.11,-0.12,0.1,-0.3,-1.42,6.66,26,3,888,2710,5057,,0.011358025,-0.000286667,0.011071358,0.010272165,362,25.66
108,371,26.45,0.66,0.43,-0.01,0.13,-0.1,-0.12,0.11,-0.28,-1.42,6.76,26.5,3.5,908,2710,5058,,0.011358025,-0.000293333,0.011064691,0.010635052,371,26.45
109,379,27.21,0.65,0.43,-0.02,0.13,-0.1,-0.12,0.11,-0.22,-1.42,6.82,28,3.5,930,2710,5100,,0.012098765,-0.0003,0.011798765,0.010952577,379,27.21
110,388,28,0.65,0.52,0,0.13,-0.1,-0.13,0.11,-0.16,-1.42,6.9,28.5,2.5,948,2710,5101,,0.012839506,-0.000346667,0.01249284,0.011278351,388,28
111,395,28.86,0.75,0.54,0,0.13,-0.11,-0.14,0.1,-0.12,-1.4,6.98,29.5,2.5,970,2710,5103,,0.013333333,-0.00036,0.012973333,0.011591753,395,28.86
112,402,29.65,0.75,0.54,0,0.13,-0.11,-0.14,0.1,-0.08,-1.4,7.08,30,2.5,990,2710,5105,,0.013580247,-0.00036,0.013220247,0.011917526,402,29.65
113,415,30.51,0.75,0.54,0,0.13,-0.11,-0.14,0.1,-0.02,-1.46,7.12,31.5,2.5,1010,2710,5106,,0.014320988,-0.00036,0.013960988,0.012272165,415,30.51
114,425,31.27,0.73,0.55,0,0.13,-0.11,-0.14,0.1,0.02,-1.42,7.22,31.5,2.5,1028,2710,5108,,0.014320988,-0.000366667,0.013954321,0.012593814,425,31.27
115,429,32.14,0.75,0.55,0.01,0.14,-0.12,-0.15,0.09,0.08,-1.42,7.26,32,2,1048,2710,5109,,0.014814815,-0.00036,0.014454815,0.01294433,429,32.14
116,437,32.89,0.76,0.54,0,0.15,-0.1,-0.14,0.1,0.12,-1.42,7.32,33.5,2.5,1068,2710,5111,,0.015308642,-0.00036,0.014948642,0.013249485,437,32.89
117,444,33.69,0.75,0.65,0,0.15,-0.12,-0.14,0.1,0.2,-1.38,7.4,33.5,2.5,1083,2710,5112,,0.015308642,-0.000433333,0.014875309,0.013583505,444,33.69
118,454,34.46,0.86,0.65,0,0.16,-0.12,-0.15,0.1,0.24,-1.38,7.46,35.5,2.5,1100,2710,5114,,0.016296296,-0.000433333,0.015862963,0.01385567,454,34.46
119,461,35.25,0.85,0.65,-0.01,0.17,-0.11,-0.14,0.11,0.3,-1.38,7.5,35.5,3.5,1120,2710,5115,,0.015802469,-0.00044,0.015362469,0.014185567,461,35.25
120,468,35.98,0.86,0.65,0,0.16,-0.11,-0.14,0.11,0.36,-1.34,7.54,36,3.5,1135,2710,5117,,0.016049383,-0.000433333,0.015616049,0.014482474,468,35.98
121,480,36.69,0.85,0.64,-0.01,0.17,-0.1,-0.14,0.11,0.42,-1.3,7.6,37.5,3.5,1153,2710,5118,,0.016790123,-0.000433333,0.01635679,0.014779381,480,36.69
122,483,37.47,0.86,0.64,0,0.18,-0.11,-0.15,0.1,0.44,-1.28,7.68,37,3.5,1170,2710,5120,,0.01654321,-0.000426667,0.016116543,0.015096907,483,37.47
123,486,38.24,0.86,0.69,-0.01,0.18,-0.11,-0.16,0.11,0.52,-1.28,7.7,39,4,1185,2710,5121,,0.017283951,-0.000466667,0.016817284,0.015414433,486,38.24
