ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,
58,-5,1.09,0,0,-0.03,0.1,0.02,0.04,-0.04,-1.84,-0.08,0,0,0.5,0,710,2557,,,,,,
59,-9,-0.42,-0.12,-0.01,-0.03,0.05,0.01,0.04,-0.03,-1.94,-0.08,0,-0.5,0,0,710,2602,,,,,,
60,-11,-1.17,-0.11,-0.01,-0.04,0.03,0,0.03,-0.02,-2.02,-0.12,0,-1,0.5,0,710,2605,,,,,,
61,-16,-2.01,-0.13,0.05,-0.04,0.02,-0.01,0.03,-0.01,-2.1,-0.18,0,-1.5,0.5,0,710,2608,,,,,,
62,-25,-3.17,-0.23,0.09,-0.06,-0.02,-0.04,0.03,0.01,-2.22,-0.26,0,-2.5,1,0,710,2611,,,,,,
63,-31,-4.03,-0.34,0.2,-0.08,-0.06,-0.06,0.02,0.03,-2.3,-0.28,0,-3,0.5,0,710,2614,,,,,,
64,-40,-5.44,-0.44,0.51,-0.06,-0.07,-0.05,0.02,0.08,-2.4,-0.3,0,-4,0,0,710,2619,,,,,,
65,-49,-6.95,-0.56,0.71,-0.05,-0.1,-0.06,0.01,0.13,-2.44,-0.3,0,-6,0,0,710,2624,,,,,,
66,-62,-8.48,-0.64,1.11,-0.03,-0.12,-0.06,0.02,0.18,-2.52,-0.32,0,-7,0.5,0,710,2629,,,,,,
67,-77,-10.09,-0.82,1.52,-0.03,-0.14,-0.06,0.02,0.25,-2.5,-0.32,0,-8.5,0,0,710,2635,,,,,,
68,-92,-11.6,-0.95,1.86,-0.01,-0.18,-0.09,0.02,0.3,-2.52,-0.28,0,-10,-2,0,710,2639,,,,,,
69,-105,-12.65,-1.06,1.94,-0.02,-0.22,-0.13,-0.01,0.32,-2.52,-0.28,0,-11,-0.5,0,710,2642,,,,,,
70,-103,-13.03,-1.06,2.06,0.01,-0.24,-0.14,-0.02,0.32,-2.54,-0.28,0,-11.5,-2,0,710,2711,,,,,,
71,-65,-11.63,-0.95,1.86,0,-0.24,-0.12,-0.04,0.33,-2.56,-0.28,0,-10,-2,0,710,2715,,,,,,
72,-43,-9.91,-0.73,1.31,0,-0.24,-0.11,-0.04,0.3,-2.64,-0.32,0,-8,-1.5,0,710,2720,,,,,,
73,-30,-8.57,-0.63,0.91,-0.02,-0.23,-0.1,-0.04,0.26,-2.62,-0.32,0,-7,0,0,710,2723,,,,,,
74,-20,-7.43,-0.53,0.6,0,-0.23,-0.11,-0.05,0.19,-2.64,-0.34,0,-6,0,0,710,2726,,,,,,
75,-10,-6.1,-0.42,0.29,-0.01,-0.23,-0.11,-0.05,0.15,-2.62,-0.34,0,-5,-0.5,0,710,2730,,,,,,
76,3,-4.69,-0.22,0.09,-0.01,-0.2,-0.1,-0.06,0.11,-2.54,-0.32,0,-3.5,0.5,0,710,2733,,,,,,
77,9,-3.36,-0.33,0.1,-0.05,-0.16,-0.06,-0.06,0.08,-2.32,-0.28,0,-2,1,0,710,2739,,,,,,
78,21,-0.8,-0.12,0.1,-0.05,-0.08,-0.03,-0.06,0.04,-2.18,-0.22,0,0.5,1.5,0,710,2746,,,,,,
79,28,0.81,-0.12,-0.01,-0.07,-0.03,-0.02,-0.04,0.01,-2.14,-0.24,0,2,1.5,0,710,2751,,,,,,
80,28,0.81,-0.12,0,-0.05,-0.02,-0.01,-0.05,0,-2.14,-0.2,0,1.5,1.5,0,710,2757,,,,,,
81,39,2.24,-0.02,-0.01,-0.05,0.03,0,-0.02,0,-2.16,-0.2,0,4.5,2,0,710,2802,,,,,,
82,47,3.66,-0.01,-0.01,-0.03,0.08,0.01,0,-0.01,-2.16,-0.2,0,4,1,0,710,2808,,,,,,
83,65,5.12,0.1,0,-0.03,0.12,0.03,0,-0.02,-2.14,-0.2,0,6,2,0,710,2813,,,,,,
84,79,6.78,0.09,-0.1,-0.06,0.18,0.05,0.02,-0.03,-2.18,-0.12,0,8,2.5,0,710,2817,,,,,,
85,92,7.73,0.12,-0.11,-0.07,0.2,0.06,0.03,-0.04,-2.18,-0.08,0,9.5,3,0,710,2820,,,,,,
86,101,8.49,0.19,-0.11,-0.06,0.23,0.07,0.03,-0.05,-2.16,-0.02,0,10,3,0,710,2823,,,,,,
87,115,9.44,0.19,-0.12,-0.06,0.26,0.07,0.05,-0.05,-2.16,0.02,0,10.5,3,0,710,2826,,,,,,
88,123,10.2,0.19,-0.13,-0.05,0.3,0.09,0.05,-0.05,-2.16,0.1,0,11,3.5,0,710,2828,,,,,,
89,130,11.06,0.2,-0.12,-0.05,0.34,0.1,0.05,-0.05,-2.16,0.2,0,12,3,0,710,2831,,,,,,
90,141,12.95,0.31,-0.12,-0.05,0.4,0.12,0.06,-0.03,-2.16,0.38,0,13.5,3,0,710,2837,,,,,,
91,150,13.99,0.3,-0.11,-0.05,0.47,0.13,0.06,-0.03,-2.18,0.52,0,15,4,0,710,2841,,,,,,
92,158,16.08,0.4,-0.21,-0.01,0.56,0.16,0.06,0,-2.16,0.78,0,17.5,3.5,0,710,2848,,,,,,
93,166,17.5,0.41,-0.21,-0.04,0.61,0.17,0.07,0.02,-2.1,1,0,18,3.5,0,710,2853,,,,,,
94,176,18.93,0.43,-0.22,-0.01,0.68,0.19,0.06,0.04,-2.1,1.24,0,19.5,2,0,710,2858,,,,,,
95,184,20.26,0.53,-0.22,-0.02,0.75,0.21,0.06,0.07,-2.1,1.46,0,21.5,3,0,710,2903,,,,,,
96,188,21.68,0.54,-0.22,0,0.83,0.22,0.07,0.08,-2,1.66,0,21.5,2.5,0,710,2907,,,,,,
97,196,23.11,0.54,-0.22,0.02,0.92,0.25,0.07,0.11,-1.84,1.92,0,23.5,2.5,0,710,2912,,,,,,
98,200,23.87,0.61,-0.23,-0.02,0.97,0.24,0.06,0.12,-1.74,2.06,0,24.5,2.5,0,710,2915,,,,,,
99,187,24.72,0.63,-0.21,-0.03,1.03,0.26,0.06,0.14,-1.74,2.24,0,24.5,3,0,710,2942,,,,,,
100,146,23.77,0.61,-0.21,-0.05,0.98,0.26,0.06,0.15,-1.78,2.22,0,23.5,4,0,710,2946,,,,,,
