ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,
177,269,66.1,0.61,0.05,-0.07,0.41,0.11,0.21,0.03,0.31,0.4,-2.98,66.5,7,435,515,2320,,,,,,
178,267,67,0.62,0.05,-0.07,0.41,0.11,0.21,0.03,0.31,0.39,-2.94,68,7.5,425,515,2331,,,,,,
179,267,68,0.62,0.06,-0.07,0.42,0.11,0.21,0.03,0.3,0.39,-2.9,68.5,7.5,415,515,2342,,,,,,
180,266,68.8,0.63,0.05,-0.07,0.42,0.11,0.22,0.04,0.3,0.39,-2.87,69,7.5,405,515,2353,,,,,,
181,258,70.1,0.63,0.06,-0.08,0.43,0.11,0.22,0.04,0.3,0.39,-2.82,69,8,403,515,2408,,,,,,
182,233,70.3,0.64,0.06,-0.06,0.44,0.12,0.22,0.04,0.3,0.38,-2.77,68.5,7.5,353,515,4743,,,,,,
183,246,70.9,0.64,0.06,-0.06,0.45,0.12,0.23,0.04,0.29,0.38,-2.76,70,8,383,515,4802,,,,,,
184,251,71.5,0.64,0.06,-0.07,0.45,0.12,0.23,0.04,0.29,0.38,-2.75,70,8,390,515,4810,,,,,,
185,251,72.1,0.64,0.06,-0.07,0.45,0.12,0.23,0.04,0.3,0.38,-2.72,70.5,8.5,390,515,4818,,,,,,
186,253,73.1,0.65,0.06,-0.07,0.45,0.12,0.23,0.04,0.29,0.38,-2.69,70.5,8,390,515,4832,,,,,,
187,254,74.1,0.65,0.06,-0.07,0.45,0.12,0.23,0.04,0.3,0.38,-2.66,73.5,9,388,515,4846,,,,,,
188,257,75,0.65,0.06,-0.06,0.46,0.12,0.23,0.04,0.3,0.38,-2.62,73.5,8.5,383,515,4901,,,,,,
189,261,76,0.65,0.06,-0.06,0.46,0.12,0.22,0.05,0.29,0.38,-2.59,74,8.5,388,515,4915,,,,,,
190,262,77.1,0.65,0.06,-0.06,0.46,0.12,0.22,0.05,0.29,0.38,-2.55,76,9,385,515,4930,,,,,,
191,264,78,0.65,0.06,-0.06,0.46,0.12,0.23,0.05,0.29,0.38,-2.51,75.5,8.5,380,515,4944,,,,,,
192,263,79,0.66,0.06,-0.06,0.46,0.12,0.22,0.05,0.29,0.38,-2.47,78,9,373,515,4959,,,,,,
193,262,80.1,0.66,0.06,-0.06,0.47,0.12,0.23,0.05,0.3,0.38,-2.43,79,9.5,365,515,5014,,,,,,
194,236,79.9,0.66,0.06,-0.07,0.48,0.12,0.23,0.06,0.3,0.38,-2.4,78,9.5,343,515,5416,,,,,,
195,237,79.9,0.66,0.06,-0.06,0.48,0.12,0.23,0.05,0.29,0.38,-2.4,80,9.5,328,515,5559,,,,,,
196,243,80.7,0.66,0.06,-0.06,0.47,0.12,0.23,0.05,0.29,0.38,-2.39,79.5,9.5,338,515,5615,,,,,,
197,248,81.3,0.66,0.06,-0.06,0.47,0.12,0.23,0.05,0.29,0.38,-2.38,81,10,343,515,5622,,,,,,
198,251,82,0.67,0.06,-0.06,0.47,0.12,0.23,0.05,0.29,0.38,-2.35,81.5,9.5,340,515,5634,,,,,,
199,252,83,0.68,0.06,-0.07,0.47,0.12,0.23,0.06,0.29,0.38,-2.31,82,9,335,515,5647,,,,,,
200,254,84.1,0.67,0.06,-0.07,0.47,0.12,0.23,0.06,0.29,0.38,-2.27,83.5,10,330,515,5702,,,,,,
201,255,85.1,0.67,0.06,-0.07,0.48,0.12,0.23,0.06,0.29,0.38,-2.23,84.5,10.5,323,515,5716,,,,,,
202,253,86.1,0.67,0.06,-0.07,0.48,0.12,0.23,0.06,0.29,0.38,-2.19,85,10,313,515,5731,,,,,,
203,252,87.2,0.67,0.06,-0.07,0.48,0.12,0.23,0.06,0.29,0.38,-2.14,86,10.5,305,515,5746,,,,,,
204,252,88.1,0.68,0.06,-0.07,0.49,0.12,0.23,0.07,0.29,0.38,-2.11,87,10.5,298,515,5758,,,,,,
205,248,89.1,0.68,0.06,-0.07,0.49,0.12,0.23,0.07,0.29,0.38,-2.07,88,11,290,515,5812,,,,,,
206,248,90,0.69,0.06,-0.06,0.49,0.12,0.23,0.07,0.28,0.38,-2.03,88.5,10.5,278,515,5826,,,,,,
207,233,90.3,0.68,0.06,-0.06,0.5,0.12,0.23,0.07,0.28,0.38,-2,89.5,10.5,260,515,5937,,,,,,
208,225,90.3,0.69,0.06,-0.07,0.5,0.13,0.24,0.07,0.28,0.37,-2,87,11,253,516,114,,,,,,
209,231,91,0.69,0.06,-0.07,0.51,0.13,0.24,0.07,0.28,0.37,-1.97,89.5,11,263,516,136,,,,,,
210,234,92.1,0.7,0.06,-0.07,0.51,0.13,0.24,0.07,0.28,0.37,-1.93,90.5,11,255,516,150,,,,,,
211,234,93.1,0.69,0.06,-0.07,0.51,0.13,0.24,0.08,0.28,0.37,-1.89,90.5,11,248,516,203,,,,,,
212,233,94,0.69,0.06,-0.06,0.51,0.13,0.24,0.08,0.28,0.37,-1.85,92,12,240,516,217,,,,,,
213,236,94.9,0.69,0.06,-0.06,0.52,0.13,0.24,0.08,0.28,0.37,-1.81,93.5,11.5,235,516,229,,,,,,
214,234,96.1,0.69,0.06,-0.06,0.52,0.13,0.24,0.08,0.27,0.37,-1.77,94.5,12,228,516,245,,,,,,
215,233,97.1,0.71,0.06,-0.07,0.52,0.13,0.24,0.08,0.27,0.37,-1.73,94,11,220,516,258,,,,,,
216,233,98,0.7,0.06,-0.07,0.53,0.13,0.24,0.08,0.27,0.37,-1.69,96,11.5,218,516,312,,,,,,
217,234,99.1,0.7,0.06,-0.06,0.53,0.13,0.24,0.08,0.27,0.36,-1.64,97.5,12,213,516,327,,,,,,
218,235,100.1,0.7,0.06,-0.06,0.53,0.13,0.24,0.09,0.27,0.37,-1.61,98.5,12,208,516,340,,,,,,
219,224,100.1,0.71,0.06,-0.06,0.54,0.13,0.24,0.09,0.27,0.36,-1.59,98.5,12.5,195,516,542,,,,,,
