ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,γ1-2,3BS1C1,,変位計1
153,21,16.7,0.86,0,0.02,0.06,-0.08,-0.09,-0.04,1.6,1.82,0.84,16.5,5,10,2610,4813,,0.005679012,0.006531959,28,,16.7
154,18,15.85,0.85,0,0.02,0.05,-0.09,-0.09,-0.04,1.68,1.88,0.32,15.5,5,3,2610,4815,,0.005185185,0.006185567,25,,15.85
155,15,14.78,0.85,0,0.03,0.05,-0.08,-0.09,-0.03,1.76,1.94,-0.14,15,5,3,2610,4816,,0.004938272,0.00574433,22,,14.78
156,11,13.69,0.85,0,0.02,0.04,-0.08,-0.09,-0.04,1.8,1.98,-0.56,13.5,4,0,2610,4818,,0.004691358,0.005294845,18,,13.69
157,9,12.9,0.76,-0.01,0.02,0.03,-0.1,-0.09,-0.03,1.84,2,-0.9,12.5,4.5,-3,2610,4819,,0.003950617,0.005006186,16,,12.9
158,7,11.91,0.75,-0.39,-0.01,0.03,-0.09,-0.09,-0.04,1.84,2,-1.18,12.5,3.5,-5,2610,4821,,0.004444444,0.004602062,14,,11.91
159,7,11.5,0.74,0,-0.4,0.04,-0.07,-0.08,-0.03,1.84,2.02,-1.28,11.5,3.5,-3,2610,4829,,0.003950617,0.004437113,14,,11.5
160,3,10.77,0.74,-0.01,0.01,0.01,-0.08,-0.09,-0.03,1.84,2.04,-1.58,10.5,4,-3,2610,4831,,0.003209877,0.004136082,10,,10.77
161,-2,9.86,0.73,0,0,0.02,-0.08,-0.09,-0.04,1.82,2.02,-1.7,10.5,2,-5,2610,4833,,0.004197531,0.003764948,5,,9.86
162,8,10.08,0.72,-0.02,0,0.02,-0.08,-0.09,-0.04,1.84,2.02,-1.46,11.5,0,5,2610,4913,,0.005679012,0.003859794,15,,10.08
163,16,10.97,0.74,0,0.01,0.04,-0.08,-0.08,-0.03,1.82,2.02,-0.98,12,1.5,10,2610,4915,,0.005185185,0.004218557,23,,10.97
164,23,11.92,0.73,-0.01,0.01,0.05,-0.07,-0.07,-0.03,1.78,2,-0.52,13.5,1.5,13,2610,4916,,0.005925926,0.004614433,30,,11.92
165,28,12.89,0.73,-0.01,0,0.07,-0.07,-0.06,-0.03,1.74,1.96,0,14.5,1.5,20,2610,4918,,0.006419753,0.005014433,35,,12.89
166,34,13.85,0.74,-0.01,0,0.09,-0.06,-0.06,-0.03,1.64,1.9,0.56,15,1.5,30,2610,4919,,0.006666667,0.005406186,41,,13.85
167,39,14.82,0.84,-0.01,0.01,0.11,-0.07,-0.06,-0.04,1.56,1.84,1.12,16,2.5,40,2610,4921,,0.006666667,0.005764948,46,,14.82
168,46,15.88,0.84,-0.01,0.01,0.12,-0.06,-0.05,-0.03,1.46,1.74,1.74,17.5,2,48,2610,4923,,0.007654321,0.006202062,53,,15.88
169,55,16.84,0.85,0,0,0.14,-0.05,-0.04,-0.03,1.36,1.66,2.36,18,2.5,60,2610,4924,,0.007654321,0.006593814,62,,16.84
170,60,17.81,0.85,0,0.01,0.16,-0.04,-0.03,-0.03,1.28,1.56,2.94,19,3.5,73,2610,4926,,0.007654321,0.006993814,67,,17.81
171,67,18.68,0.85,-0.01,0.01,0.17,-0.03,-0.02,-0.03,1.18,1.44,3.52,19.5,3,88,2610,4927,,0.008148148,0.007352577,74,,18.68
172,77,19.57,0.96,-0.01,0.02,0.18,-0.03,-0.03,-0.03,1.04,1.3,3.94,20.5,3,125,2610,4929,,0.008641975,0.007674227,84,,19.57
173,94,20.51,0.96,0,0.01,0.2,-0.03,-0.03,-0.02,0.9,1.12,4.38,21.5,4,165,2610,4930,,0.008641975,0.008061856,101,,20.51
174,108,21.46,0.95,-0.01,0.02,0.2,-0.02,-0.03,-0.01,0.74,0.96,4.76,23,4.5,213,2610,4932,,0.009135802,0.008457732,115,,21.46
175,126,22.34,0.96,0.01,0.02,0.21,-0.03,-0.02,-0.03,0.58,0.78,5.14,23,5,258,2610,4934,,0.008888889,0.008816495,133,,22.34
176,143,23.23,0.96,0,0.02,0.22,-0.03,-0.02,-0.03,0.44,0.62,5.44,24,5,305,2610,4935,,0.009382716,0.009183505,150,,23.23
177,158,24.11,0.96,0,0.02,0.21,-0.03,-0.04,-0.03,0.3,0.48,5.72,25,5,350,2610,4937,,0.009876543,0.009546392,165,,24.11
178,176,25.02,0.97,0.02,0.03,0.22,-0.03,-0.05,-0.03,0.16,0.32,5.98,25.5,5.5,398,2610,4938,,0.009876543,0.009917526,183,,25.02
179,193,25.92,0.96,0,0.02,0.22,-0.02,-0.06,-0.03,0.06,0.2,6.2,26,5.5,443,2610,4940,,0.010123457,0.010292784,200,,25.92
180,209,26.78,1.06,0,0.01,0.22,-0.03,-0.08,-0.03,-0.06,0.06,6.42,27,5,493,2610,4941,,0.010864198,0.010606186,216,,26.78
181,225,27.66,1.06,0.01,0.03,0.23,-0.02,-0.1,-0.03,-0.16,-0.04,6.58,27.5,6,535,2610,4943,,0.010617284,0.010969072,232,,27.66
182,239,28.53,1.07,-0.05,0.02,0.22,-0.05,-0.11,-0.03,-0.22,-0.12,6.74,29,5.5,578,2610,4944,,0.011604938,0.011323711,246,,28.53
183,257,29.4,1.06,-0.1,0.01,0.23,-0.07,-0.13,-0.03,-0.32,-0.2,6.9,29.5,6,620,2610,4946,,0.011604938,0.011686598,264,,29.4
184,273,30.27,1.07,-0.11,0.01,0.23,-0.09,-0.13,-0.03,-0.38,-0.26,7.02,31,6,660,2610,4947,,0.012345679,0.012041237,280,,30.27
185,290,31.23,1.07,-0.11,0.02,0.23,-0.1,-0.13,-0.03,-0.46,-0.32,7.16,31.5,5.5,703,2610,4949,,0.012839506,0.012437113,297,,31.23
186,302,32.11,1.06,-0.1,0.01,0.23,-0.13,-0.15,-0.03,-0.48,-0.38,7.3,33.5,6.5,740,2610,4951,,0.013333333,0.012804124,309,,32.11
187,314,32.97,1.06,-0.1,0.02,0.23,-0.15,-0.15,-0.03,-0.54,-0.4,7.44,34,6.5,770,2610,4952,,0.013580247,0.013158763,321,,32.97
188,325,33.84,1.06,-0.12,0.01,0.22,-0.18,-0.18,-0.03,-0.56,-0.38,7.52,34,6,795,2610,4954,,0.01382716,0.013517526,332,,33.84
189,335,34.71,1.06,-0.11,0.02,0.24,-0.18,-0.17,-0.05,-0.56,-0.4,7.62,35.5,6.5,815,2610,4955,,0.014320988,0.013876289,342,,34.71
190,347,35.68,1.17,-0.16,0.01,0.25,-0.2,-0.17,-0.06,-0.56,-0.4,7.72,36.5,5.5,835,2610,4957,,0.015308642,0.014230928,354,,35.68
191,354,36.62,1.17,-0.22,0.01,0.27,-0.24,-0.18,-0.05,-0.56,-0.4,7.82,37,5,853,2610,4959,,0.015802469,0.014618557,361,,36.62
192,364,37.51,1.16,-0.22,0,0.29,-0.27,-0.2,-0.06,-0.52,-0.38,7.88,38,4.5,873,2610,5000,,0.01654321,0.014989691,371,,37.51
193,370,38.3,1.16,-0.32,0.01,0.29,-0.3,-0.19,-0.07,-0.5,-0.34,7.94,39,5,888,2610,5002,,0.016790123,0.015315464,377,,38.3
194,374,39.16,1.26,-0.32,0.01,0.3,-0.33,-0.21,-0.07,-0.48,-0.3,8,40,5.5,903,2610,5003,,0.017037037,0.015628866,381,,39.16
195,382,40.04,1.27,-0.42,0.01,0.31,-0.36,-0.21,-0.07,-0.44,-0.26,8.06,41,5.5,915,2610,5005,,0.017530864,0.015987629,389,,40.04
196,388,40.92,1.26,-0.42,0.01,0.33,-0.38,-0.21,-0.07,-0.42,-0.22,8.12,40,5.5,933,2610,5006,,0.017037037,0.016354639,395,,40.92
197,396,41.69,1.28,-0.43,0.02,0.34,-0.41,-0.22,-0.06,-0.36,-0.18,8.2,41.5,6,948,2610,5008,,0.017530864,0.016663918,403,,41.69
198,401,42.67,1.38,-0.53,0.02,0.35,-0.43,-0.23,-0.06,-0.3,-0.1,8.24,43.5,7,960,2610,5009,,0.018024691,0.017026804,408,,42.67
199,410,43.43,1.37,-0.52,0.01,0.37,-0.47,-0.23,-0.07,-0.28,-0.08,8.3,43.5,6.5,975,2610,5011,,0.018271605,0.01734433,417,,43.43
200,417,44.32,1.37,-0.53,0,0.39,-0.49,-0.23,-0.08,-0.24,0,8.36,44.5,6,988,2610,5013,,0.019012346,0.01771134,424,,44.32
201,423,45.18,1.37,-0.63,0.01,0.39,-0.52,-0.24,-0.08,-0.2,0.06,8.4,45.5,6.5,1000,2610,5014,,0.019259259,0.018065979,430,,45.18
202,430,46.06,1.46,-0.73,0.01,0.41,-0.55,-0.24,-0.08,-0.14,0.08,8.46,46,6,1013,2610,5016,,0.019753086,0.018391753,437,,46.06
203,434,46.94,1.48,-0.73,0.01,0.42,-0.57,-0.25,-0.08,-0.1,0.14,8.52,47.5,7,1028,2610,5017,,0.02,0.018746392,441,,46.94
204,442,47.82,1.46,-0.76,0.01,0.43,-0.6,-0.25,-0.09,-0.06,0.2,8.58,47.5,7,1040,2610,5019,,0.02,0.019117526,449,,47.82
205,445,48.69,1.61,-0.84,0.02,0.44,-0.63,-0.26,-0.08,-0.02,0.26,8.62,49,6.5,1055,2610,5020,,0.020987654,0.019414433,452,,48.69
