ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,
62,350,46.63,0.84,0.41,0.01,1.66,0.45,0,-0.08,2.68,4.4,4.22,4.65,0.55,855,2717,738,,,,
63,360,49.04,0.94,0.53,0.01,1.75,0.46,-0.01,-0.12,2.94,4.7,4.26,4.85,0.6,880,2717,747,,,,
64,370,51.65,0.94,0.62,0.02,1.8,0.49,-0.02,-0.14,3.18,4.98,4.3,5.05,0.6,905,2717,756,,,,
65,380,54.34,1.05,0.74,0.01,1.92,0.51,-0.03,-0.18,3.46,5.3,4.34,5.3,0.55,935,2717,807,,,,
66,390,56.96,1.16,0.82,0.01,2,0.53,-0.05,-0.21,3.7,5.6,4.4,5.55,0.65,958,2717,817,,,,
67,399,59.72,1.18,1.01,0.02,2.08,0.54,-0.06,-0.22,3.98,5.94,4.46,5.9,0.6,985,2717,828,,,,
68,410,62.99,1.26,1.13,0.01,2.18,0.56,-0.08,-0.28,4.26,6.38,4.5,6.15,0.8,1010,2717,840,,,,
69,419,65.99,1.38,1.34,0.02,2.28,0.58,-0.12,-0.32,4.5,6.8,4.56,6.45,0.8,1038,2717,852,,,,
70,429,68.57,1.48,1.44,0.01,2.35,0.6,-0.13,-0.35,4.68,7.18,4.64,6.65,0.85,1060,2717,902,,,,
71,433,69.62,1.49,1.44,0.01,2.39,0.6,-0.14,-0.37,4.76,7.34,4.62,6.85,0.85,1070,2717,906,,,,
72,438,71.25,1.47,1.55,0.01,2.44,0.61,-0.15,-0.38,4.86,7.58,4.68,6.95,0.85,1083,2717,912,,,,
73,443,72.8,1.62,1.63,0.01,2.48,0.62,-0.17,-0.4,4.98,7.82,4.66,7.15,0.9,1095,2717,918,,,,
74,450,75.4,1.59,1.75,0.01,2.57,0.63,-0.18,-0.43,5.16,8.24,4.7,7.35,0.9,1113,2717,928,,,,
75,442,75.8,1.66,1.76,-0.01,2.59,0.64,-0.18,-0.44,5.18,8.34,4.7,7.4,0.9,1090,2717,932,,,,
76,421,75.88,1.69,1.85,0.01,2.57,0.65,-0.21,-0.45,5.2,8.44,4.72,7.4,0.95,1030,2717,1005,,,,
77,397,75,1.69,1.84,0.01,2.39,0.65,-0.24,-0.46,5.16,8.44,4.72,7.3,0.9,953,2717,1010,,,,
78,383,74.43,1.69,1.85,0.01,2.35,0.65,-0.25,-0.46,5.16,8.4,4.7,7.25,0.9,913,2717,1012,,,,
79,346,72.77,1.68,1.85,0.02,2.26,0.65,-0.25,-0.46,5.04,8.3,4.7,7.05,0.85,813,2717,1018,,,,
80,297,70.39,1.71,1.85,0.01,2.15,0.65,-0.24,-0.46,4.88,8.14,4.7,6.85,0.85,673,2717,1025,,,,
