ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,167,30.25,0.71,-0.13,-0.02,0.37,0.03,-0.19,0.22,1.54,3.12,4.74,3,0.6,320,2514,319
110,186,31.78,0.82,-0.13,-0.01,0.42,0.01,-0.18,0.22,1.68,3.32,4.92,3.1,0.6,373,2514,324
111,207,33.3,0.82,-0.14,-0.02,0.45,0.01,-0.19,0.22,1.78,3.52,4.8,3.3,0.55,430,2514,329
112,223,34.84,0.82,-0.12,-0.03,0.49,0,-0.2,0.22,1.88,3.7,4.92,3.4,0.65,480,2514,334
113,242,36.45,0.84,-0.12,-0.02,0.53,0,-0.19,0.23,1.96,3.84,5.24,3.45,0.65,538,2514,339
114,262,37.87,0.83,-0.12,-0.01,0.55,-0.01,-0.19,0.21,1.98,3.96,5.18,3.7,0.6,590,2514,344
115,281,39.25,0.84,-0.1,0,0.59,0,-0.19,0.23,2.06,4.1,5.4,3.8,0.65,645,2514,349
116,296,40.64,0.85,-0.13,0.01,0.62,-0.01,-0.2,0.23,2.12,4.24,5.38,4,0.5,693,2514,354
117,313,42.05,0.85,-0.13,0,0.64,0.01,-0.19,0.23,2.18,4.42,5.6,4.05,0.55,730,2514,359
118,323,43.36,0.94,-0.13,-0.01,0.67,-0.01,-0.2,0.24,2.28,4.64,5.54,4.25,0.55,755,2514,403
119,321,44.75,0.95,-0.1,0.01,0.71,0,-0.2,0.28,2.32,5.06,5.62,4.4,0.6,745,2514,408
120,330,46.11,0.94,-0.09,-0.01,0.74,0,-0.2,0.29,2.36,5.4,5.68,4.45,0.65,765,2514,413
121,339,47.43,0.94,-0.08,0.01,0.77,0,-0.2,0.32,2.42,5.7,5.68,4.65,0.65,785,2514,418
122,346,48.78,0.92,-0.09,-0.01,0.81,0.01,-0.2,0.32,2.5,6,5.62,4.75,0.65,800,2514,423
123,328,49.53,0.92,-0.09,-0.02,0.81,0.01,-0.2,0.36,2.52,6.58,5.48,4.9,0.75,740,2514,426
124,251,50.5,1.13,-0.08,0,0.95,0.05,-0.22,0.51,2.56,8.3,5.74,4.95,0.7,480,2514,429
125,255,52.41,1.15,-0.08,0,0.96,0.05,-0.23,0.53,2.54,8.94,5.58,5.2,0.75,493,2514,435
126,262,53.75,1.15,-0.09,0,0.96,0.05,-0.24,0.55,2.56,9.42,5.56,5.25,0.9,503,2514,440
127,269,55.2,1.14,-0.09,-0.02,1,0.06,-0.25,0.57,2.54,9.86,5.44,5.4,0.85,523,2514,445
128,277,56.82,1.13,-0.1,-0.02,1.03,0.05,-0.25,0.59,2.54,10.4,5.26,5.65,0.9,535,2514,451
129,284,58.36,1.16,-0.12,-0.01,1.05,0.06,-0.26,0.6,2.52,10.96,5.32,5.75,0.9,545,2514,456
130,285,59.7,1.26,-0.16,-0.02,1.08,0.07,-0.26,0.63,2.52,11.48,5.3,5.85,0.9,543,2514,501
131,289,61.09,1.25,-0.14,-0.01,1.12,0.08,-0.26,0.66,2.52,11.96,5.38,6.05,0.9,543,2514,506
132,291,62.59,1.25,-0.14,-0.01,1.16,0.09,-0.27,0.68,2.54,12.5,5.5,6.2,0.9,548,2514,511
133,296,64.04,1.29,-0.11,-0.01,1.2,0.1,-0.28,0.71,2.56,13.02,5.58,6.3,0.9,543,2514,516
134,296,65.39,1.36,-0.11,0,1.24,0.12,-0.28,0.75,2.54,13.52,5.66,6.4,0.95,543,2514,521
135,298,66.85,1.37,-0.11,0.01,1.29,0.12,-0.29,0.77,2.54,14.06,5.68,6.45,0.9,540,2514,526
136,298,68.28,1.37,-0.11,0.01,1.36,0.13,-0.29,0.8,2.54,14.56,5.64,6.65,1,533,2514,531
137,300,69.73,1.47,-0.09,0,1.46,0.14,-0.29,0.83,2.54,15.08,5.64,6.8,1,528,2514,536
138,300,71.22,1.45,-0.09,-0.01,1.53,0.14,-0.3,0.85,2.54,15.64,5.5,6.95,1.05,520,2514,542
139,302,72.63,1.46,-0.1,-0.01,1.61,0.16,-0.3,0.87,2.52,16.12,5.58,7.1,1.05,520,2514,547
140,302,74.09,1.55,-0.1,-0.02,1.66,0.16,-0.31,0.89,2.5,16.6,5.4,7.2,1.1,513,2514,552
141,303,75.44,1.57,-0.1,0,1.77,0.17,-0.31,0.91,2.52,17.14,5.74,7.35,1.05,505,2514,556
142,304,76.8,1.58,-0.11,0.02,1.84,0.17,-0.32,0.94,2.52,17.66,5.64,7.45,1.1,503,2514,601
143,303,78.45,1.66,-0.1,-0.01,1.89,0.2,-0.32,0.97,2.5,18.26,5.58,7.65,1.15,490,2514,607
144,300,79.9,1.67,-0.1,-0.02,1.94,0.21,-0.33,1,2.5,18.86,5.56,7.8,1.15,473,2514,612
145,298,80.69,1.67,-0.1,-0.01,1.98,0.22,-0.33,1.02,2.5,19.14,5.62,7.85,1.2,465,2514,615
146,299,81.27,1.67,-0.1,-0.01,2,0.22,-0.35,1.02,2.44,19.4,5.46,7.95,1.2,460,2514,617
147,298,82.54,1.67,-0.11,0,2.04,0.23,-0.35,1.06,2.48,19.86,5.46,8.05,1.2,453,2514,622
148,297,84.19,1.76,-0.15,-0.02,2.08,0.25,-0.36,1.08,2.48,20.48,5.24,8.2,1.3,440,2514,627
149,294,85.85,1.76,-0.1,0,2.15,0.25,-0.38,1.13,2.46,21.1,5.56,8.35,1.25,428,2514,633
150,293,87.31,1.87,-0.1,-0.01,2.19,0.27,-0.39,1.16,2.46,21.66,5.52,8.55,1.25,413,2514,638
151,293,88.77,1.86,-0.13,-0.02,2.24,0.29,-0.39,1.2,2.44,22.22,5.38,8.6,1.3,403,2514,643
152,290,90.32,1.87,-0.14,-0.03,2.29,0.3,-0.41,1.23,2.42,22.8,5.3,8.8,1.3,388,2514,649
153,286,91.7,1.95,-0.1,-0.01,2.34,0.32,-0.41,1.28,2.42,23.42,5.58,8.95,1.3,363,2514,654
154,277,92.87,1.99,-0.1,0.01,2.38,0.35,-0.42,1.3,2.38,23.84,5.68,9,1.35,335,2514,701
155,258,92.87,2.09,-0.09,0.01,2.38,0.38,-0.47,1.28,2.32,24,5.72,8.95,1.3,303,2514,939
156,259,92.86,2.1,-0.1,0,2.38,0.37,-0.48,1.31,2.34,24.04,5.88,9,1.4,318,2514,951
157,275,94.48,2.09,-0.1,-0.01,2.39,0.38,-0.48,1.32,2.3,24.5,5.66,9.3,1.4,338,2514,957
158,279,95.9,2.09,-0.1,-0.01,2.45,0.38,-0.48,1.35,2.3,25,5.74,9.35,1.45,338,2514,1002
159,279,97.58,2.19,-0.11,-0.02,2.49,0.38,-0.5,1.37,2.26,25.58,5.36,9.45,1.5,325,2514,1008
160,278,99.12,2.19,-0.1,-0.02,2.55,0.4,-0.49,1.41,2.26,26.18,5.48,9.7,1.55,310,2514,1013
161,276,101.3,2.17,-0.11,-0.02,2.64,0.42,-0.49,1.46,2.24,26.94,5.58,10,1.55,293,2514,1020
162,277,102.81,2.2,-0.11,-0.02,2.68,0.44,-0.48,1.5,2.22,27.48,5.54,10.05,1.6,283,2514,1025
163,270,104.41,2.3,-0.12,-0.02,2.74,0.44,-0.49,1.52,2.22,28.12,5.84,10.2,1.55,253,2514,1031
164,268,106.04,2.29,-0.13,0,2.78,0.47,-0.49,1.56,2.18,28.68,5.78,10.35,1.6,243,2514,1036
165,268,107.75,2.3,-0.12,-0.01,2.82,0.48,-0.5,1.6,2.14,29.28,5.8,10.5,1.65,230,2514,1042
166,268,109.16,2.41,-0.12,-0.01,2.86,0.49,-0.5,1.64,2.16,29.82,5.94,10.6,1.65,223,2514,1047
