ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,γ1-2,PS1C1,,,AS1C1,,変位計1
220,22.8,6.72,0.21,0,-0.03,0.08,-0.01,-0.09,0,0,0,0,6.5,0,0,1816,5408,,0.003209877,0.002684536,22.8,,0.018024691,233,,6.72
221,25.4,7.49,0.22,0.02,-0.03,0.09,0,-0.1,0,0,0,0,7,0,0,1816,5409,,0.00345679,0.002997938,25.4,,0.017777778,211,,7.49
222,29,8.45,0.25,0.02,-0.03,0.1,-0.01,-0.1,0.01,0,0,0,9,1,0,1816,5411,,0.003950617,0.003381443,29,,0.017283951,197,,8.45
223,31,9.22,0.34,0.01,-0.03,0.12,-0.01,-0.1,0.02,0,0,0,9,0.5,0,1816,5412,,0.004197531,0.003661856,31,,0.017037037,182,,9.22
224,33,9.99,0.31,0,-0.04,0.15,-0.02,-0.12,0.02,0,0,0,9.5,1,0,1816,5413,,0.004197531,0.003991753,33,,0.01654321,159,,9.99
225,33.4,10.86,0.32,0,-0.04,0.17,-0.01,-0.11,0.02,0,0,0,10.5,1,0,1816,5415,,0.004691358,0.004346392,33.4,,0.01654321,140,,10.86
226,35.8,11.72,0.3,-0.01,-0.05,0.2,0,-0.12,0.02,0,0,0,12.5,1,0,1816,5416,,0.005679012,0.004709278,35.8,,0.016296296,120,,11.72
227,38,12.49,0.31,0,-0.05,0.23,-0.01,-0.13,0.03,0,0,0,12,1.5,0,1816,5418,,0.005185185,0.00502268,38,,0.014814815,101,,12.49
228,39.8,13.26,0.44,0,-0.04,0.25,-0.01,-0.12,0.03,0,0,0,13,2,0,1816,5419,,0.005432099,0.005286598,39.8,,0.013580247,80,,13.26
229,38.8,13.35,0.45,0,-0.03,0.25,0,-0.12,0.04,0,0,0,13,1.5,0,1816,5436,,0.005679012,0.005319588,38.8,,0.013333333,59,,13.35
230,36.8,12.97,0.42,0,-0.04,0.26,0,-0.13,0.05,0,0,0,12,1,0,1816,5437,,0.005432099,0.005175258,36.8,,0.010617284,40,,12.97
231,33.8,12.15,0.3,-0.01,-0.05,0.24,-0.01,-0.13,0.04,0,0,0,10,1,0,1816,5438,,0.004444444,0.004886598,33.8,,0.006666667,19,,12.15
232,31.2,11.34,0.31,-0.01,-0.04,0.25,-0.01,-0.12,0.04,0,0,0,10,1,0,1816,5440,,0.004444444,0.004548454,31.2,,0.004197531,10,,11.34
233,28.4,10.57,0.3,-0.01,-0.05,0.25,-0.01,-0.12,0.04,0,0,0,9.5,0.5,0,1816,5441,,0.004444444,0.004235052,28.4,,0.002222222,0,,10.57
234,26.4,9.82,0.33,-0.01,-0.05,0.23,-0.01,-0.12,0.03,0,0,0,8.5,0.5,0,1816,5442,,0.003950617,0.003913402,26.4,,0.002222222,2,,9.82
235,24.4,8.94,0.29,-0.02,-0.05,0.21,-0.02,-0.12,0.01,0,0,0,7.5,0.5,0,1816,5443,,0.00345679,0.00356701,24.4,,0.003209877,22,,8.94
236,23.2,8.17,0.29,-0.01,-0.05,0.18,-0.02,-0.11,0,0,0,0,7.5,0,0,1816,5445,,0.003703704,0.003249485,23.2,,0.005432099,37,,8.17
237,19.8,7.31,0.19,-0.01,-0.06,0.15,-0.01,-0.1,-0.01,0,0,0,6,0.5,0,1816,5446,,0.002716049,0.002936082,19.8,,0.01037037,62,,7.31
238,17.4,6.54,0.2,-0.01,-0.05,0.14,-0.01,-0.09,0.01,0,0,0,5,0.5,0,1816,5447,,0.002222222,0.002614433,17.4,,0.011358025,82,,6.54
239,15.6,5.67,0.2,-0.01,-0.05,0.13,-0.02,-0.08,0,0,0,0,4.5,-0.5,0,1816,5449,,0.002469136,0.00225567,15.6,,0.012592593,101,,5.67
240,12.8,4.8,0.23,0.01,-0.06,0.12,-0.01,-0.07,0,0,0,0,3.5,0,0,1816,5450,,0.001728395,0.001884536,12.8,,0.013580247,121,,4.8
241,10,3.94,0.21,0.01,-0.05,0.11,-0.01,-0.06,-0.01,0,0,0,3,0.5,0,1816,5452,,0.001234568,0.001538144,10,,0.014567901,143,,3.94
242,7.4,3.07,0.14,0,-0.04,0.1,-0.03,-0.05,0,0,0,0,2.5,-0.5,0,1816,5453,,0.001481481,0.001208247,7.4,,0.015555556,161,,3.07
243,4.2,2.21,0.11,0,-0.04,0.1,-0.01,-0.03,-0.01,0,0,0,1.5,-0.5,0,1816,5454,,0.000987654,0.000865979,4.2,,0.015802469,182,,2.21
244,1.2,1.35,0.1,0,-0.04,0.09,0,-0.02,-0.01,0,0,0,1,-0.5,0,1816,5456,,0.000740741,0.000515464,1.2,,0.015555556,192,,1.35
245,-1.6,0.67,0.13,0,-0.04,0.09,-0.02,-0.01,-0.01,0,0,0,0.5,-0.5,0,1816,5457,,0.000493827,0.00022268,-1.6,,0.016049383,201,,0.67
246,-2,0.58,0.11,0,-0.04,0.09,-0.01,-0.02,0,0,0,0,0.5,-1,0,1816,5530,,0.000740741,0.000193814,-2,,0.017037037,224,,0.58
247,2,0.87,0.09,-0.02,-0.06,0.09,-0.01,-0.02,-0.01,0,0,0,1.5,0.5,0,1816,5531,,0.000493827,0.000321649,2,,0.018024691,242,,0.87
248,6.6,1.73,0.07,-0.02,-0.06,0.08,-0.01,-0.05,-0.01,0,0,0,2.5,0.5,0,1816,5533,,0.000987654,0.000684536,6.6,,0.018518519,260,,1.73
249,10.2,2.59,0.08,-0.02,-0.05,0.08,0,-0.05,-0.01,0,0,0,3,1,0,1816,5534,,0.000987654,0.001035052,10.2,,0.019012346,282,,2.59
250,13.2,3.36,0.07,-0.01,-0.06,0.08,-0.01,-0.07,-0.02,0,0,0,4,0.5,0,1816,5535,,0.001728395,0.001356701,13.2,,0.019506173,302,,3.36
251,16,4.23,0.08,-0.01,-0.06,0.08,-0.01,-0.08,-0.02,0,0,0,4.5,1,0,1816,5537,,0.001728395,0.00171134,16,,0.020740741,322,,4.23
252,18.6,5.08,0.17,-0.02,-0.05,0.09,-0.02,-0.09,-0.01,0,0,0,5.5,1,0,1816,5538,,0.002222222,0.002024742,18.6,,0.022469136,338,,5.08
253,21.2,5.92,0.18,-0.02,-0.06,0.08,-0.01,-0.1,-0.02,0,0,0,5.5,1.5,0,1816,5539,,0.001975309,0.00236701,21.2,,0.024691358,319,,5.92
254,23.4,6.82,0.17,-0.02,-0.06,0.08,-0.02,-0.1,-0.01,0,0,0,7,0.5,0,1816,5541,,0.003209877,0.002742268,23.4,,0.024938272,308,,6.82
255,25.8,7.58,0.19,-0.02,-0.04,0.09,-0.02,-0.11,0,0,0,0,7.5,1,0,1816,5542,,0.003209877,0.003047423,25.8,,0.02617284,297,,7.58
256,28.8,8.46,0.24,-0.02,-0.06,0.1,-0.02,-0.11,0,0,0,0,9,1.5,0,1816,5544,,0.003703704,0.003389691,28.8,,0.026666667,286,,8.46
257,30.6,9.32,0.29,0,-0.05,0.13,-0.01,-0.12,0,0,0,0,9.5,1.5,0,1816,5545,,0.003950617,0.003723711,30.6,,0.02691358,283,,9.32
258,33.2,10.17,0.28,-0.01,-0.05,0.16,-0.01,-0.12,0,0,0,0,10,1,0,1816,5546,,0.004444444,0.004078351,33.2,,0.027160494,292,,10.17
259,34,11.15,0.31,-0.01,-0.05,0.19,-0.01,-0.12,0.03,0,0,0,11.5,1,0,1816,5548,,0.005185185,0.004470103,34,,0.027407407,305,,11.15
260,36.6,12,0.3,0,-0.04,0.21,-0.01,-0.13,0.03,0,0,0,12,1.5,0,1816,5549,,0.005185185,0.004824742,36.6,,0.027654321,291,,12
261,38.6,12.88,0.34,-0.01,-0.05,0.24,0,-0.13,0.03,0,0,0,13,2,0,1816,5551,,0.005432099,0.005171134,38.6,,0.027654321,308,,12.88
262,41.2,13.64,0.42,0,-0.06,0.26,-0.01,-0.14,0.04,0,0,0,13.5,1.5,0,1816,5552,,0.005925926,0.005451546,41.2,,0.028148148,324,,13.64
263,42.8,14.5,0.42,0,-0.05,0.29,-0.01,-0.14,0.06,0,0,0,15,1.5,0,1816,5553,,0.006666667,0.005806186,42.8,,0.028395062,341,,14.5
264,44.4,15.18,0.38,-0.02,-0.06,0.32,-0.01,-0.14,0.05,0,0,0,15,1,0,1816,5555,,0.00691358,0.006103093,44.4,,0.029135802,360,,15.18
265,45.8,15.94,0.42,0,-0.06,0.35,-0.01,-0.13,0.08,0,0,0,16,2,0,1816,5556,,0.00691358,0.0064,45.8,,0.030123457,380,,15.94
266,47.2,16.76,0.42,0,-0.05,0.4,-0.01,-0.14,0.09,0,0,0,17,2,0,1816,5558,,0.007407407,0.006738144,47.2,,0.031111111,395,,16.76
267,48.6,17.38,0.43,0.01,-0.04,0.43,0,-0.13,0.12,0,0,0,17,2,0,1816,5559,,0.007407407,0.006989691,48.6,,0.031604938,402,,17.38
268,49.6,18.16,0.53,0,-0.04,0.46,0,-0.14,0.11,0,0,0,17.5,2,0,1816,5600,,0.007654321,0.007270103,49.6,,0.031604938,366,,18.16
269,45.8,18.06,0.55,0,-0.04,0.46,-0.01,-0.14,0.1,0,0,0,17.5,2,0,1816,5729,,0.007654321,0.007220619,45.8,,0.031111111,333,,18.06
270,43.8,17.68,0.54,-0.01,-0.04,0.46,-0.01,-0.15,0.11,0,0,0,16,1,0,1816,5732,,0.007407407,0.007068041,43.8,,0.03037037,297,,17.68
271,40.6,16.71,0.54,0,-0.04,0.46,-0.01,-0.15,0.11,0,0,0,16,1.5,0,1816,5733,,0.007160494,0.006668041,40.6,,0.029876543,249,,16.71
272,37.6,15.8,0.54,0,-0.05,0.46,-0.01,-0.14,0.08,0,0,0,14.5,1,0,1816,5735,,0.006666667,0.006292784,37.6,,0.028641975,196,,15.8
273,36,14.9,0.53,0.01,-0.06,0.44,-0.02,-0.14,0.07,0,0,0,13.5,1.5,0,1816,5736,,0.005925926,0.005925773,36,,0.027407407,148,,14.9
274,33.6,14.02,0.4,-0.02,-0.06,0.4,-0.02,-0.14,0.05,0,0,0,13,1.5,0,1816,5738,,0.005679012,0.005616495,33.6,,0.025679012,112,,14.02
275,30.8,13.26,0.38,-0.02,-0.06,0.34,-0.02,-0.14,0.04,0,0,0,12,1,0,1816,5739,,0.005432099,0.00531134,30.8,,0.024938272,99,,13.26
276,29.4,12.39,0.39,-0.02,-0.06,0.32,-0.02,-0.14,0.03,0,0,0,11.5,1,0,1816,5740,,0.005185185,0.004948454,29.4,,0.022962963,66,,12.39
277,26.6,11.53,0.39,-0.02,-0.06,0.27,-0.03,-0.14,0.02,0,0,0,10,1,0,1816,5742,,0.004444444,0.004593814,26.6,,0.021975309,61,,11.53
278,25.4,10.76,0.39,-0.01,-0.06,0.24,-0.02,-0.13,0.01,0,0,0,10,1,0,1816,5743,,0.004444444,0.004276289,25.4,,0.019012346,50,,10.76
279,24.2,9.89,0.38,-0.01,-0.05,0.22,-0.03,-0.13,0,0,0,0,8.5,1,0,1816,5744,,0.003703704,0.003921649,24.2,,0.017283951,40,,9.89
280,21.4,9.12,0.29,-0.02,-0.07,0.18,-0.03,-0.11,0,0,0,0,8.5,1,0,1816,5746,,0.003703704,0.003641237,21.4,,0.015308642,40,,9.12
281,20,8.26,0.28,-0.03,-0.07,0.17,-0.04,-0.11,-0.01,0,0,0,7.5,1,0,1816,5747,,0.003209877,0.003290722,20,,0.01308642,30,,8.26
282,16.8,7.39,0.29,-0.02,-0.06,0.15,-0.04,-0.11,-0.01,0,0,0,7,1,0,1816,5749,,0.002962963,0.002927835,16.8,,0.011358025,11,,7.39
283,14.4,6.45,0.29,-0.02,-0.06,0.13,-0.04,-0.08,-0.02,0,0,0,6,1,0,1816,5750,,0.002469136,0.002540206,14.4,,0.010123457,4,,6.45
284,12.6,5.67,0.22,-0.02,-0.06,0.12,-0.03,-0.08,-0.02,0,0,0,5.5,0.5,0,1816,5751,,0.002469136,0.002247423,12.6,,0.00962963,-1,,5.67
285,10.6,4.9,0.19,-0.02,-0.06,0.11,-0.03,-0.07,-0.02,0,0,0,4.5,0.5,0,1816,5753,,0.001975309,0.001942268,10.6,,0.009876543,4,,4.9
286,8.4,4.03,0.22,-0.02,-0.06,0.11,-0.04,-0.06,-0.04,0,0,0,3.5,0.5,0,1816,5754,,0.001481481,0.001571134,8.4,,0.011604938,41,,4.03
287,5.4,3.17,0.19,-0.02,-0.06,0.1,-0.04,-0.05,-0.03,0,0,0,3,0,0,1816,5755,,0.001481481,0.001228866,5.4,,0.013580247,50,,3.17
288,2.2,2.31,0.18,-0.03,-0.06,0.1,-0.04,-0.04,-0.03,0,0,0,2,0,0,1816,5757,,0.000987654,0.000878351,2.2,,0.015555556,57,,2.31
289,-0.4,1.54,0.08,-0.27,-0.05,0.09,-0.04,-0.03,-0.03,0,0,0,2,0,0,1816,5758,,0.000987654,0.000602062,-0.4,,0.018518519,72,,1.54
