ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,,,,,,,,,,,,,
73,287,135.25,3.47,-0.36,0.09,2.92,0.02,-0.8,1.84,5.9,29.22,7.26,128,18,195,1917,3541,,,,,,,,,,,,,,,,,,,,
74,273,139.33,3.51,-0.38,0.08,3.03,0.02,-0.8,1.94,5.78,30.96,7.3,131.5,18.5,148,1917,3552,,,,,,,,,,,,,,,,,,,,
75,269,140.92,3.52,-0.39,0.09,3.05,0.03,-0.79,1.99,5.78,31.58,7.3,132,17.5,135,1917,3556,,,,,,,,,,,,,,,,,,,,
76,257,141.02,3.58,-0.41,0.08,3.08,0.07,-0.85,1.99,5.66,31.74,7.28,132.5,18.5,125,1917,3702,,,,,,,,,,,,,,,,,,,,
77,253,141.02,3.6,-0.41,0.09,3.09,0.08,-0.85,1.99,5.64,31.78,7.28,132,18.5,123,1917,3752,,,,,,,,,,,,,,,,,,,,
78,250,141.03,3.66,-0.41,0.08,3.06,0.07,-0.86,2,5.62,31.84,7.28,132,18.5,115,1917,3934,,,,,,,,,,,,,,,,,,,,
79,251,142.89,3.69,-0.37,0.08,3.09,0.09,-0.85,2.05,5.58,32.62,7.3,135,18.5,98,1917,3943,,,,,,,,,,,,,,,,,,,,
80,256,147.72,3.71,-0.41,0.09,3.21,0.06,-0.9,2.14,5.54,34.36,7.3,139,19.5,75,1917,3955,,,,,,,,,,,,,,,,,,,,
81,265,153.59,3.8,-0.42,0.07,3.4,0.11,-0.91,2.26,5.52,36.36,7.3,145.5,20.5,70,1917,4011,,,,,,,,,,,,,,,,,,,,
82,269,157.69,3.8,-0.43,0.07,3.53,0.11,-0.93,2.33,5.54,37.88,7.3,149,21,65,1917,4023,,,,,,,,,,,,,,,,,,,,
83,274,163.45,3.94,-0.38,0.09,3.72,0.15,-0.96,2.44,5.44,40,7.3,153.5,20.5,63,1917,4038,,,,,,,,,,,,,,,,,,,,
84,278,167.64,4.03,-0.4,0.09,3.85,0.21,-0.99,2.53,5.44,41.52,7.3,158,22.5,60,1917,4049,,,,,,,,,,,,,,,,,,,,
85,282,173.57,4.05,-0.4,0.07,4.03,0.24,-1.03,2.63,5.4,43.78,7.3,163.5,23,53,1917,4106,,,,,,,,,,,,,,,,,,,,
