ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,γ3-4,γreal,
56,15,13.56,0.96,0.1,-0.01,0.49,-0.1,0.12,0.09,0,0,0,13.5,1,0,915,3110,,13.56,,0.005538462,-4.74138E-05,0.005491048,15
57,9,11.71,0.96,0.1,0,0.43,-0.1,0.12,0.07,0,0,0,12,0.5,0,915,3114,,11.71,,0.004725275,-4.31034E-05,0.004682171,9
58,0,9.29,0.85,0.1,-0.01,0.36,-0.11,0.12,0.05,0,0,0,10,0.5,0,915,3119,,9.29,,0.00370989,-4.74138E-05,0.003662476,0
59,-1,8.6,0.74,0.1,0,0.35,-0.1,0.11,0.05,0,0,0,10,0.5,0,915,3139,,8.6,,0.003454945,-4.31034E-05,0.003411842,-1
60,12,10.06,0.85,0.1,0,0.34,-0.1,0.11,0.05,0,0,0,11,1,0,915,3142,,10.06,,0.004048352,-4.31034E-05,0.004005248,12
61,22,11.81,0.87,0.1,0,0.37,-0.09,0.13,0.06,0,0,0,12.5,1,0,915,3145,,11.81,,0.004808791,-4.31034E-05,0.004765688,22
62,26,13.18,0.95,0.1,-0.01,0.42,-0.1,0.12,0.08,0,0,0,13.5,1,0,915,3148,,13.18,,0.005375824,-4.74138E-05,0.00532841,26
63,30,14.32,0.96,0.1,-0.01,0.46,-0.09,0.14,0.1,0,0,0,14.5,1.5,0,915,3150,,14.32,,0.005872527,-4.74138E-05,0.005825114,30
64,38,16.45,1.06,0.1,0,0.52,-0.1,0.15,0.15,0,0,0,17,1.5,0,915,3155,,16.45,,0.006764835,-4.31034E-05,0.006721732,38
65,42,17.71,1.06,0.09,0,0.57,-0.1,0.16,0.18,0,0,0,18,2,0,915,3157,,17.71,,0.007318681,-3.87931E-05,0.007279888,42
66,45,19.55,1.16,0.1,0,0.63,-0.11,0.16,0.21,0,0,0,19.5,2,0,915,3201,,19.55,,0.008083516,-4.31034E-05,0.008040413,45
67,51,21.76,1.26,0.1,0,0.73,-0.11,0.17,0.27,0,0,0,21,2.5,0,915,3205,,21.76,,0.009010989,-4.31034E-05,0.008967886,51
68,56,23.58,1.31,0.1,-0.01,0.79,-0.1,0.18,0.31,0,0,0,22.5,3,0,915,3209,,23.58,,0.009789011,-4.74138E-05,0.009741597,56
69,60,25.52,1.37,0.1,-0.01,0.87,-0.11,0.19,0.35,0,0,0,25,3,0,915,3213,,25.52,,0.010615385,-4.74138E-05,0.010567971,60
70,66,27.93,1.48,0.18,-0.01,0.94,-0.12,0.19,0.41,0,0,0,27.5,3.5,0,915,3217,,27.93,,0.011626374,-8.18966E-05,0.011544477,66
71,70,29.57,1.58,0.2,-0.01,1.01,-0.11,0.21,0.45,0,0,0,29,2.5,0,915,3221,,29.57,,0.012303297,-9.05172E-05,0.012212779,70
72,76,32.17,1.59,0.21,-0.01,1.1,-0.11,0.22,0.51,0,0,0,31.5,3.5,0,915,3226,,32.17,,0.013441758,-9.48276E-05,0.013346931,76
73,80,33.9,1.71,0.2,0,1.14,-0.11,0.22,0.56,0,0,0,32.5,4.5,0,915,3229,,33.9,,0.014149451,-8.62069E-05,0.014063244,80
74,88,36.88,1.8,0.21,0,1.25,-0.12,0.23,0.62,0,0,0,35.5,4,0,915,3235,,36.88,,0.01541978,-9.05172E-05,0.015329263,88
75,89,38.51,1.9,0.2,0,1.3,-0.11,0.24,0.66,0,0,0,37.5,4.5,0,915,3239,,38.51,,0.016092308,-8.62069E-05,0.016006101,89
76,98,41.4,2.01,0.28,0,1.42,-0.11,0.25,0.72,0,0,0,40,5,0,915,3245,,41.4,,0.017314286,-0.00012069,0.017193596,98
77,100,42.55,2,0.31,0,1.46,-0.11,0.25,0.74,0,0,0,41.5,5,0,915,3247,,42.55,,0.017824176,-0.000133621,0.017690555,100
78,105,45.44,2.12,0.32,-0.01,1.55,-0.11,0.27,0.81,0,0,0,44,5,0,915,3253,,45.44,,0.019041758,-0.000142241,0.018899517,105
79,110,48.7,2.21,0.32,-0.01,1.66,-0.11,0.29,0.89,0,0,0,46.5,5.5,0,915,3300,,48.7,,0.020435165,-0.000142241,0.020292923,110
80,115,52.45,2.44,0.31,-0.01,1.79,-0.11,0.31,0.98,0,0,0,51,5.5,0,915,3307,,52.45,,0.021982418,-0.000137931,0.021844487,115
81,120,54.76,2.54,0.34,-0.01,1.87,-0.1,0.33,1.02,0,0,0,53,6.5,0,915,3312,,54.76,,0.022953846,-0.000150862,0.022802984,120
82,125,58.89,2.64,0.41,-0.01,2,-0.1,0.35,1.12,0,0,0,56.5,7.5,0,915,3320,,58.89,,0.024725275,-0.000181034,0.02454424,125
83,130,61.68,2.8,0.4,-0.01,2.1,-0.12,0.38,1.19,0,0,0,59,7.5,0,915,3326,,61.68,,0.025881319,-0.000176724,0.025704595,130
84,135,65.24,2.96,0.4,-0.02,2.21,-0.12,0.4,1.24,0,0,0,62.5,8,0,915,3333,,65.24,,0.027375824,-0.000181034,0.02719479,135
85,142,68.31,3.07,0.41,-0.01,2.34,-0.12,0.43,1.32,0,0,0,65.5,8.5,0,915,3340,,68.31,,0.028676923,-0.000181034,0.028495889,142
86,145,71.78,3.24,0.48,0,2.46,-0.14,0.44,1.39,0,0,0,68.5,9,0,915,3347,,71.78,,0.030127473,-0.000206897,0.029920576,145
87,149,74.67,3.31,0.52,-0.01,2.57,-0.14,0.46,1.45,0,0,0,71.5,10,0,915,3353,,74.67,,0.031367033,-0.000228448,0.031138585,149
88,145,75.16,3.45,0.56,-0.01,2.58,-0.15,0.48,1.47,0,0,0,71,9,0,915,3417,,75.16,,0.031520879,-0.00024569,0.031275189,145
89,140,73.89,3.38,0.51,-0.01,2.54,-0.15,0.47,1.46,0,0,0,69.5,9,0,915,3420,,73.89,,0.030993407,-0.000224138,0.030769269,140
90,130,71.5,3.37,0.5,-0.01,2.56,-0.15,0.46,1.42,0,0,0,67,8.5,0,915,3424,,71.5,,0.029947253,-0.000219828,0.029727425,130
91,120,68.98,3.27,0.53,0,2.55,-0.16,0.46,1.37,0,0,0,66,9,0,915,3429,,68.98,,0.028883516,-0.000228448,0.028655068,120
92,115,66.97,3.16,0.52,-0.01,2.54,-0.16,0.45,1.32,0,0,0,62.5,8,0,915,3433,,66.97,,0.028048352,-0.000228448,0.027819903,115
93,109,65.33,3.17,0.51,-0.01,2.51,-0.15,0.44,1.28,0,0,0,62,8,0,915,3437,,65.33,,0.027323077,-0.000224138,0.027098939,109
94,105,63.5,3.07,0.51,-0.01,2.44,-0.16,0.42,1.24,0,0,0,59.5,7,0,915,3440,,63.5,,0.026562637,-0.000224138,0.026338499,105
95,100,62.24,3.06,0.51,0,2.4,-0.17,0.43,1.21,0,0,0,58,7.5,0,915,3443,,62.24,,0.026013187,-0.000219828,0.025793359,100
96,94,60.14,2.96,0.52,-0.01,2.33,-0.17,0.41,1.18,0,0,0,56.5,6.5,0,915,3447,,60.14,,0.025134066,-0.000228448,0.024905618,94
97,90,58.79,2.96,0.52,-0.01,2.28,-0.16,0.41,1.14,0,0,0,55.5,7,0,915,3450,,58.79,,0.024540659,-0.000228448,0.024312211,90
98,84,56.49,2.87,0.41,-0.01,2.21,-0.17,0.4,1.09,0,0,0,53.5,6.5,0,915,3454,,56.49,,0.023569231,-0.000181034,0.023388196,84
99,80,54.95,2.85,0.4,-0.01,2.14,-0.17,0.39,1.05,0,0,0,52,6.5,0,915,3457,,54.95,,0.022901099,-0.000176724,0.022724375,80
100,76,53.22,2.75,0.41,-0.01,2.08,-0.18,0.38,1.01,0,0,0,50.5,6,0,915,3501,,53.22,,0.022184615,-0.000181034,0.022003581,76
101,71,51,2.64,0.42,0,1.97,-0.17,0.37,0.95,0,0,0,48.5,5.5,0,915,3505,,51,,0.021257143,-0.000181034,0.021076108,71
102,60,46.97,2.53,0.42,-0.02,1.79,-0.18,0.34,0.87,0,0,0,45,5,0,915,3513,,46.97,,0.019534066,-0.000189655,0.019344411,60
103,50,42.46,2.33,0.31,0,1.58,-0.18,0.32,0.76,0,0,0,40.5,5,0,915,3522,,42.46,,0.01763956,-0.000133621,0.01750594,50
104,46,39.66,2.23,0.31,-0.01,1.44,-0.18,0.31,0.7,0,0,0,38,5,0,915,3527,,39.66,,0.016452747,-0.000137931,0.016314816,46
105,42,37.55,2.22,0.32,0,1.33,-0.18,0.29,0.65,0,0,0,35.5,4,0,915,3531,,37.55,,0.01552967,-0.000137931,0.015391739,42
106,35,35.04,2.12,0.31,-0.01,1.22,-0.16,0.28,0.58,0,0,0,34,4,0,915,3536,,35.04,,0.01447033,-0.000137931,0.014332399,35
107,30,31.87,2.02,0.21,0,1.07,-0.15,0.26,0.51,0,0,0,30.5,3.5,0,915,3542,,31.87,,0.013120879,-9.05172E-05,0.013030362,30
108,26,29.58,1.91,0.21,0,0.96,-0.14,0.25,0.46,0,0,0,28,3,0,915,3547,,29.58,,0.012162637,-9.05172E-05,0.01207212,26
109,21,27.25,1.8,0.19,-0.01,0.85,-0.13,0.25,0.4,0,0,0,26,3,0,915,3552,,27.25,,0.011186813,-8.62069E-05,0.011100606,21
110,14,24.36,1.7,0.19,-0.02,0.73,-0.11,0.23,0.32,0,0,0,23.5,2.5,0,915,3557,,24.36,,0.00996044,-9.05172E-05,0.009869922,14
111,11,22.05,1.59,0.1,-0.01,0.65,-0.09,0.22,0.27,0,0,0,21,2,0,915,3602,,22.05,,0.008993407,-4.74138E-05,0.008945993,11
112,7,20.69,1.48,0.11,0,0.6,-0.08,0.2,0.23,0,0,0,20,1.5,0,915,3605,,20.69,,0.008443956,-4.74138E-05,0.008396542,7
113,0,18.29,1.39,0.09,-0.02,0.54,-0.05,0.21,0.18,0,0,0,18,1.5,0,915,3609,,18.29,,0.007428571,-4.74138E-05,0.007381158,0
114,4,17.8,1.38,0.11,-0.01,0.52,-0.03,0.2,0.17,0,0,0,18,1.5,0,915,3633,,17.8,,0.007217582,-5.17241E-05,0.007165858,4
115,18,19.82,1.44,0.09,-0.01,0.54,-0.04,0.22,0.2,0,0,0,20,2.5,0,915,3637,,19.82,,0.008079121,-4.31034E-05,0.008036017,18
116,21,21.36,1.49,0.09,0,0.58,-0.05,0.23,0.24,0,0,0,21.5,2.5,0,915,3640,,21.36,,0.008734066,-3.87931E-05,0.008695273,21
117,26,22.82,1.59,0.09,-0.01,0.63,-0.06,0.23,0.28,0,0,0,22.5,3,0,915,3643,,22.82,,0.009331868,-4.31034E-05,0.009288765,26
118,30,24.74,1.59,0.1,0.01,0.69,-0.07,0.26,0.32,0,0,0,24.5,3,0,915,3647,,24.74,,0.010175824,-3.87931E-05,0.010137031,30
119,36,27.55,1.7,0.08,-0.01,0.79,-0.09,0.27,0.38,0,0,0,27,3.5,0,915,3653,,27.55,,0.011362637,-3.87931E-05,0.011323844,36
120,43,29.86,1.79,0.1,-0.01,0.88,-0.11,0.29,0.44,0,0,0,29,3.5,0,915,3657,,29.86,,0.012338462,-4.74138E-05,0.012291048,43
121,49,32.54,1.91,0.12,0,0.98,-0.12,0.31,0.5,0,0,0,31,3.5,0,915,3702,,32.54,,0.013463736,-5.17241E-05,0.013412012,49
122,57,35.33,1.99,0.2,-0.01,1.1,-0.13,0.32,0.57,0,0,0,34,4.5,0,915,3708,,35.33,,0.014654945,-9.05172E-05,0.014564428,57
123,60,37.83,2.13,0.2,-0.01,1.18,-0.13,0.34,0.62,0,0,0,36,4.5,0,915,3713,,37.83,,0.015692308,-9.05172E-05,0.01560179,60
124,67,40.53,2.2,0.2,-0.01,1.28,-0.16,0.34,0.68,0,0,0,39.5,4.5,0,915,3719,,40.53,,0.016848352,-9.05172E-05,0.016757834,67
125,70,42.17,2.32,0.2,0,1.34,-0.16,0.35,0.73,0,0,0,40.5,5,0,915,3722,,42.17,,0.017516484,-8.62069E-05,0.017430277,70
126,76,44.27,2.43,0.2,-0.01,1.43,-0.16,0.36,0.77,0,0,0,42.5,5.5,0,915,3726,,44.27,,0.018391209,-9.05172E-05,0.018300692,76
127,80,46.51,2.43,0.31,-0.01,1.52,-0.16,0.38,0.82,0,0,0,45,5,0,915,3731,,46.51,,0.019375824,-0.000137931,0.019237893,80
128,86,49.09,2.54,0.3,0,1.61,-0.16,0.4,0.89,0,0,0,47,6,0,915,3736,,49.09,,0.020461538,-0.00012931,0.020332228,86
129,90,51.31,2.65,0.31,-0.02,1.7,-0.15,0.4,0.94,0,0,0,49,6,0,915,3741,,51.31,,0.021389011,-0.000142241,0.02124677,90
130,94,53.01,2.75,0.32,-0.01,1.76,-0.15,0.4,0.97,0,0,0,50.5,6.5,0,915,3744,,53.01,,0.022092308,-0.000142241,0.021950066,94
131,98,54.84,2.75,0.31,-0.02,1.82,-0.16,0.42,1.02,0,0,0,52,6,0,915,3748,,54.84,,0.022896703,-0.000142241,0.022754462,98
132,106,57.74,2.86,0.35,0,1.94,-0.17,0.44,1.08,0,0,0,55,7.5,0,915,3754,,57.74,,0.024123077,-0.000150862,0.023972215,106
133,111,60.03,2.96,0.41,-0.01,2.02,-0.16,0.44,1.13,0,0,0,57.5,7,0,915,3758,,60.03,,0.025085714,-0.000181034,0.02490468,111
134,119,63.31,3.05,0.43,0.01,2.14,-0.16,0.45,1.19,0,0,0,60.5,8,0,915,3805,,63.31,,0.026487912,-0.000181034,0.026306878,119
135,123,66.1,3.16,0.41,-0.01,2.24,-0.16,0.47,1.27,0,0,0,63.5,8,0,915,3811,,66.1,,0.027665934,-0.000181034,0.0274849,123
136,132,68.6,3.27,0.41,-0.01,2.33,-0.16,0.47,1.33,0,0,0,65,8,0,915,3816,,68.6,,0.028716484,-0.000181034,0.028535449,132
137,136,71,3.38,0.41,0,2.41,-0.16,0.48,1.37,0,0,0,68,9.5,0,915,3821,,71,,0.029723077,-0.000176724,0.029546353,136
138,140,72.44,3.38,0.5,0,2.47,-0.16,0.49,1.41,0,0,0,69,9,0,915,3824,,72.44,,0.030356044,-0.000215517,0.030140527,140
139,153,77.75,3.58,0.52,-0.01,2.66,-0.16,0.5,1.52,0,0,0,74,11,0,915,3835,,77.75,,0.032602198,-0.000228448,0.03237375,153
140,156,80.47,3.7,0.51,-0.01,2.78,-0.16,0.51,1.6,0,0,0,76.5,11,0,915,3841,,80.47,,0.033745055,-0.000224138,0.033520917,156
141,160,83.36,3.81,0.51,-0.01,2.89,-0.15,0.53,1.66,0,0,0,79,11,0,915,3847,,83.36,,0.034967033,-0.000224138,0.034742895,160
142,165,85.88,3.91,0.51,-0.01,3,-0.15,0.54,1.71,0,0,0,82.5,11.5,0,915,3852,,85.88,,0.036030769,-0.000224138,0.035806631,165
143,170,89.16,4.02,0.61,-0.01,3.1,-0.16,0.55,1.78,0,0,0,85,12,0,915,3859,,89.16,,0.037424176,-0.000267241,0.037156934,170
144,176,93.33,4.23,0.62,-0.01,3.32,-0.17,0.56,1.87,0,0,0,88.5,13,0,915,3908,,93.33,,0.039164835,-0.000271552,0.038893283,176
145,183,96.8,4.33,0.62,0,3.5,-0.18,0.58,1.95,0,0,0,91.5,13.5,0,915,3915,,96.8,,0.040646154,-0.000267241,0.040378912,183
146,186,100.8,4.54,0.62,-0.01,3.7,-0.18,0.59,2.03,0,0,0,95.5,14,0,915,3924,,100.8,,0.042312088,-0.000271552,0.042040536,186
147,192,103.7,4.65,0.62,0,3.91,-0.2,0.61,2.11,0,0,0,98.5,14,0,915,3930,,103.7,,0.043538462,-0.000267241,0.04327122,192
148,196,107.72,4.79,0.72,0,4.19,-0.21,0.62,2.2,0,0,0,101.5,15,0,915,3939,,107.72,,0.045243956,-0.000310345,0.044933611,196
149,201,110.63,4.96,0.72,-0.01,4.48,-0.23,0.64,2.27,0,0,0,104,14.5,0,915,3945,,110.63,,0.046448352,-0.000314655,0.046133696,201
150,208,117.49,5.18,0.72,-0.02,4.83,-0.29,0.66,2.39,0,0,0,110.5,16.5,0,915,3959,,117.49,,0.049367033,-0.000318966,0.049048067,208
151,210,118.66,5.28,0.72,0.01,4.89,-0.29,0.67,2.43,0,0,0,112,16,0,915,4002,,118.66,,0.049837363,-0.000306034,0.049531328,210
152,215,121.61,5.39,0.72,-0.01,5.02,-0.3,0.67,2.5,0,0,0,114.5,16.5,0,915,4008,,121.61,,0.051085714,-0.000314655,0.050771059,215
153,217,125.48,5.62,0.72,-0.01,5.19,-0.33,0.69,2.59,0,0,0,118.5,17,0,915,4017,,125.48,,0.052685714,-0.000314655,0.052371059,217
154,220,127.22,5.72,0.79,-0.01,5.29,-0.33,0.69,2.61,0,0,0,119.5,17.5,0,915,4020,,127.22,,0.053406593,-0.000344828,0.053061766,220
155,224,131.75,5.9,0.82,0,5.48,-0.35,0.71,2.71,0,0,0,123.5,17.5,0,915,4030,,131.75,,0.055318681,-0.000353448,0.054965233,224
156,231,135.62,6.13,0.82,-0.01,5.64,-0.38,0.71,2.79,0,0,0,128,18,0,915,4039,,135.62,,0.056918681,-0.000357759,0.056560923,231
