ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,γ3-4,γreal,,,
57,458,13.95,0.87,0,-0.14,0.21,-0.43,-0.18,-0.51,-1.02,-1.24,8.76,-13.5,-2.5,728,914,1125,,13.95,,0.005749451,-6.03448E-05,0.005689106,458
58,485,14.84,0.87,0.02,-0.14,0.21,-0.47,-0.2,-0.56,-1.04,-1.22,9.06,-14.5,-2.5,770,914,1127,,14.84,,0.006140659,-6.89655E-05,0.006071694,485
59,509,15.81,0.87,0.01,-0.15,0.21,-0.51,-0.2,-0.61,-1.02,-1.22,9.34,-15,-2.5,805,914,1129,,15.81,,0.006567033,-6.89655E-05,0.006498067,509
60,530,16.68,0.97,0.11,-0.15,0.21,-0.54,-0.22,-0.68,-1.02,-1.22,9.62,-15.5,-2.5,838,914,1131,,16.68,,0.006905495,-0.000112069,0.006793426,530
61,550,17.54,0.98,0.12,-0.15,0.21,-0.58,-0.22,-0.77,-1.04,-1.22,9.86,-15.5,-2.5,870,914,1132,,17.54,,0.007279121,-0.000116379,0.007162742,550
62,570,18.41,1.08,0.21,-0.13,0.21,-0.61,-0.22,-0.82,-1.02,-1.24,10.08,-16.5,-3,903,914,1134,,18.41,,0.007617582,-0.000146552,0.007471031,570
63,588,19.28,1.14,0.31,-0.14,0.22,-0.64,-0.24,-0.88,-1.02,-1.22,10.22,-17.5,-3,918,914,1136,,19.28,,0.007973626,-0.000193966,0.007779661,588
64,588,19.76,1.17,0.32,-0.13,0.27,-0.64,-0.23,-0.93,-1,-1.22,10.28,-17.5,-3,900,914,1137,,19.76,,0.008171429,-0.000193966,0.007977463,588
65,565,19.79,1.24,0.42,-0.15,0.28,-0.64,-0.23,-0.94,-0.94,-1.22,10.34,-18,-3,928,914,1143,,19.79,,0.008153846,-0.00024569,0.007908156,565
66,597,20.53,1.29,0.42,-0.15,0.29,-0.67,-0.23,-1,-0.96,-1.22,10.44,-17.5,-3,933,914,1145,,20.53,,0.008457143,-0.00024569,0.008211453,597
67,570,20.63,1.3,0.51,-0.15,0.27,-0.66,-0.23,-1,-0.88,-1.16,10.44,-17.5,-2.5,843,914,1200,,20.63,,0.008496703,-0.000284483,0.008212221,570
68,505,19.96,1.41,0.52,-0.14,0.26,-0.66,-0.25,-0.91,-0.64,-0.96,10.4,-18,-3,745,914,1202,,19.96,,0.008153846,-0.000284483,0.007869363,505
69,434,19.01,1.4,0.53,-0.15,0.26,-0.65,-0.27,-0.81,-0.5,-0.72,10.22,-17.5,-3,620,914,1204,,19.01,,0.007740659,-0.000293103,0.007447556,434
70,375,18.18,1.35,0.54,-0.15,0.26,-0.63,-0.27,-0.75,-0.32,-0.54,9.9,-17,-2.5,523,914,1205,,18.18,,0.007397802,-0.000297414,0.007100388,375
71,303,17.26,1.29,0.53,-0.14,0.25,-0.59,-0.27,-0.72,-0.1,-0.28,9.34,-15.5,-2.5,410,914,1207,,17.26,,0.00701978,-0.000288793,0.006730987,303
72,243,16.25,1.29,0.53,-0.15,0.25,-0.56,-0.23,-0.67,0.08,-0.02,8.64,-14.5,-2,315,914,1209,,16.25,,0.006575824,-0.000293103,0.006282721,243
73,191,15.42,1.3,0.52,-0.15,0.25,-0.51,-0.2,-0.65,0.26,0.2,7.76,-14,-2,248,914,1210,,15.42,,0.006206593,-0.000288793,0.0059178,191
74,153,14.55,1.3,0.53,-0.15,0.25,-0.46,-0.18,-0.61,0.46,0.46,6.68,-13,-2,190,914,1212,,14.55,,0.005824176,-0.000293103,0.005531072,153
75,120,13.58,1.19,0.54,-0.15,0.24,-0.41,-0.15,-0.58,0.64,0.76,5.34,-12.5,-1.5,145,914,1214,,13.58,,0.005446154,-0.000297414,0.00514874,120
76,89,12.51,1.18,0.43,-0.15,0.23,-0.35,-0.12,-0.53,0.74,0.9,4.74,-11.5,-2,80,914,1215,,12.51,,0.00498022,-0.00025,0.00473022,89
77,48,11.55,1.07,0.43,-0.14,0.22,-0.27,-0.08,-0.47,0.62,0.92,4.52,-11,-1.5,20,914,1217,,11.55,,0.004606593,-0.00024569,0.004360904,48
78,26,10.68,1.08,0.43,-0.15,0.21,-0.23,-0.06,-0.43,0.62,0.92,3.42,-9.5,-1.5,8,914,1219,,10.68,,0.00421978,-0.00025,0.00396978,26
79,18,9.9,0.98,0.32,-0.15,0.2,-0.23,-0.05,-0.41,0.68,0.94,3,-9,-1.5,5,914,1220,,9.9,,0.003920879,-0.000202586,0.003718293,18
80,12,8.92,0.98,0.32,-0.14,0.18,-0.2,-0.05,-0.39,0.74,0.96,2.42,-8,-1,3,914,1222,,8.92,,0.00349011,-0.000198276,0.003291834,12
81,10,8.34,0.88,0.33,-0.14,0.15,-0.19,-0.04,-0.36,0.74,0.96,2.02,-7,-1,0,914,1224,,8.34,,0.003279121,-0.000202586,0.003076535,10
82,5,7.31,0.87,0.33,-0.15,0.13,-0.18,-0.05,-0.34,0.74,0.98,1.48,-7,-1,0,914,1225,,7.31,,0.002830769,-0.000206897,0.002623873,5
83,3,6.7,0.85,0.33,-0.13,0.12,-0.17,-0.05,-0.32,0.72,0.96,1.28,-6.5,-1,0,914,1227,,6.7,,0.002571429,-0.000198276,0.002373153,3
84,5,6.69,0.76,0.33,-0.15,0.11,-0.17,-0.04,-0.32,0.72,0.96,1.36,-7,-2,3,914,1252,,6.69,,0.002606593,-0.000206897,0.002399697,5
85,16,7.38,0.77,0.33,-0.14,0.11,-0.17,-0.03,-0.32,0.74,0.98,1.9,-7.5,-1.5,3,914,1254,,7.38,,0.002905495,-0.000202586,0.002702908,16
86,24,8.25,0.85,0.33,-0.15,0.12,-0.16,-0.02,-0.34,0.72,0.96,2.3,-8.5,-1.5,8,914,1255,,8.25,,0.003252747,-0.000206897,0.003045851,24
87,34,8.83,0.88,0.33,-0.15,0.13,-0.17,-0.01,-0.35,0.74,0.98,2.78,-8.5,-2,23,914,1257,,8.83,,0.003494505,-0.000206897,0.003287609,34
88,50,9.6,0.88,0.32,-0.14,0.15,-0.17,0,-0.38,0.66,0.96,2.98,-10,-2.5,58,914,1259,,9.6,,0.003832967,-0.000198276,0.003634691,50
89,86,10.47,0.98,0.33,-0.14,0.15,-0.2,-0.02,-0.41,0.58,0.9,2.98,-11,-2.5,150,914,1300,,10.47,,0.004171429,-0.000202586,0.003968842,86
90,135,11.35,0.98,0.33,-0.15,0.17,-0.22,-0.07,-0.45,0.38,0.72,3.3,-12,-2,213,914,1302,,11.35,,0.004558242,-0.000206897,0.004351345,135
91,174,12.22,1.08,0.32,-0.15,0.19,-0.25,-0.1,-0.49,0.18,0.5,4.26,-12,-2.5,278,914,1304,,12.22,,0.004896703,-0.000202586,0.004694117,174
92,215,13.1,1.08,0.33,-0.14,0.2,-0.29,-0.12,-0.52,0.02,0.26,5.14,-13.5,-2.5,345,914,1305,,13.1,,0.005283516,-0.000202586,0.00508093,215
93,257,13.96,1.19,0.33,-0.14,0.22,-0.32,-0.14,-0.54,-0.12,0.04,5.88,-14,-2.5,418,914,1307,,13.96,,0.005613187,-0.000202586,0.005410601,257
94,301,14.83,1.19,0.37,-0.15,0.24,-0.37,-0.16,-0.58,-0.24,-0.18,6.82,-15,-3,488,914,1308,,14.83,,0.005995604,-0.000224138,0.005771466,301
95,351,15.8,1.19,0.42,-0.15,0.26,-0.43,-0.18,-0.62,-0.34,-0.36,7.56,-15.5,-2.5,573,914,1310,,15.8,,0.006421978,-0.00024569,0.006176288,351
96,403,16.67,1.27,0.42,-0.14,0.28,-0.48,-0.19,-0.66,-0.42,-0.54,8.08,-16,-2.5,653,914,1312,,16.67,,0.006769231,-0.000241379,0.006527851,403
97,451,17.55,1.29,0.42,-0.16,0.29,-0.54,-0.22,-0.71,-0.5,-0.68,8.44,-17,-2.5,725,914,1313,,17.55,,0.007147253,-0.00025,0.006897253,451
98,492,18.41,1.29,0.43,-0.14,0.3,-0.59,-0.24,-0.77,-0.58,-0.84,8.8,-17.5,-2.5,795,914,1315,,18.41,,0.007525275,-0.00024569,0.007279585,492
99,531,19.28,1.29,0.42,-0.15,0.3,-0.62,-0.23,-0.86,-0.68,-0.94,9.18,-17.5,-2.5,858,914,1317,,19.28,,0.007907692,-0.00024569,0.007662003,531
100,571,20.15,1.39,0.42,-0.14,0.3,-0.65,-0.24,-0.94,-0.74,-1.02,9.34,-17.5,-3,905,914,1319,,20.15,,0.008246154,-0.000241379,0.008004775,571
101,594,20.83,1.4,0.53,-0.14,0.29,-0.66,-0.24,-1.01,-0.8,-1.1,9.46,-17.5,-3,933,914,1320,,20.83,,0.008540659,-0.000288793,0.008251866,594
102,617,21.49,1.4,0.52,-0.15,0.31,-0.68,-0.25,-1.07,-0.84,-1.12,9.56,-18.5,-3,983,914,1322,,21.49,,0.008830769,-0.000288793,0.008541976,617
103,639,22.27,1.5,0.52,-0.15,0.3,-0.69,-0.25,-1.12,-0.86,-1.14,9.68,-19,-3.5,1015,914,1324,,22.27,,0.00912967,-0.000288793,0.008840877,639
104,655,22.95,1.5,0.63,-0.14,0.3,-0.71,-0.25,-1.21,-0.84,-1.14,9.74,-18.5,-3.5,1040,914,1326,,22.95,,0.009428571,-0.000331897,0.009096675,655
105,673,23.72,1.51,0.64,-0.16,0.31,-0.73,-0.25,-1.26,-0.86,-1.14,9.82,-19.5,-3.5,1068,914,1327,,23.72,,0.009762637,-0.000344828,0.00941781,673
106,688,24.39,1.61,0.73,-0.15,0.31,-0.74,-0.26,-1.33,-0.84,-1.14,9.88,-19.5,-3,1088,914,1329,,24.39,,0.010013187,-0.00037931,0.009633876,688
107,700,25.27,1.62,0.84,-0.15,0.3,-0.76,-0.24,-1.41,-0.84,-1.14,9.94,-20.5,-3,1113,914,1331,,25.27,,0.010395604,-0.000426724,0.00996888,700
108,716,25.94,1.71,0.94,-0.14,0.29,-0.76,-0.25,-1.47,-0.86,-1.14,10.04,-20,-3.5,1128,914,1332,,25.94,,0.010650549,-0.000465517,0.010185032,716
109,731,26.71,1.82,0.95,-0.15,0.3,-0.78,-0.24,-1.53,-0.84,-1.14,10.16,-20.5,-3.5,1153,914,1334,,26.71,,0.010940659,-0.000474138,0.010466521,731
110,744,27.4,1.87,1.06,-0.14,0.3,-0.79,-0.24,-1.58,-0.84,-1.12,10.26,-21.5,-4.5,1173,914,1336,,27.4,,0.011221978,-0.000517241,0.010704737,744
111,759,28.17,1.94,1.15,-0.15,0.3,-0.8,-0.25,-1.65,-0.8,-1.12,10.34,-21,-4,1198,914,1337,,28.17,,0.01152967,-0.000560345,0.010969326,759
112,777,28.93,2.02,1.26,-0.15,0.32,-0.81,-0.24,-1.66,-0.74,-1.08,10.46,-21,-4.5,1218,914,1339,,28.93,,0.011828571,-0.000607759,0.011220813,777
113,792,29.7,2.05,1.37,-0.15,0.32,-0.83,-0.25,-1.68,-0.7,-1,10.72,-22,-4,1240,914,1341,,29.7,,0.012153846,-0.000655172,0.011498674,792
114,810,30.47,2.13,1.47,-0.15,0.35,-0.85,-0.25,-1.73,-0.64,-0.94,10.82,-22.5,-4,1263,914,1343,,30.47,,0.012457143,-0.000698276,0.011758867,810
115,824,31.34,2.13,1.57,-0.15,0.36,-0.88,-0.26,-1.74,-0.58,-0.88,10.94,-23.5,-4.5,1285,914,1344,,31.34,,0.01283956,-0.000741379,0.012098181,824
116,840,32.2,2.13,1.68,-0.18,0.37,-0.9,-0.26,-1.75,-0.5,-0.8,11.02,-24,-5,1308,914,1346,,32.2,,0.013217582,-0.000801724,0.012415858,840
117,865,33.1,2.24,1.78,-0.26,0.38,-0.91,-0.26,-1.77,-0.44,-0.72,11.18,-25,-4.5,1335,914,1348,,33.1,,0.013564835,-0.00087931,0.012685525,865
118,883,33.84,2.24,1.88,-0.24,0.39,-0.94,-0.26,-1.81,-0.38,-0.66,11.32,-25,-4.5,1355,914,1350,,33.84,,0.01389011,-0.000913793,0.012976317,883
119,902,34.59,2.35,1.99,-0.25,0.4,-0.95,-0.25,-1.82,-0.3,-0.58,11.44,-26,-4.5,1375,914,1352,,34.59,,0.014171429,-0.000965517,0.013205911,902
120,919,35.47,2.35,2.1,-0.25,0.42,-0.97,-0.27,-1.84,-0.22,-0.5,11.66,-26.5,-4.5,1400,914,1353,,35.47,,0.014558242,-0.001012931,0.013545311,919
121,938,36.51,2.45,2.2,-0.24,0.43,-0.99,-0.27,-1.85,-0.14,-0.42,11.86,-27.5,-5,1425,914,1356,,36.51,,0.014971429,-0.001051724,0.013919704,938
122,954,37.21,2.56,2.3,-0.26,0.45,-1,-0.28,-1.86,-0.08,-0.34,12.02,-27.5,-5,1443,914,1357,,37.21,,0.015230769,-0.001103448,0.014127321,954
123,971,37.98,2.56,2.41,-0.25,0.46,-1.01,-0.28,-1.91,-0.02,-0.28,12.14,-28,-5,1465,914,1359,,37.98,,0.015569231,-0.001146552,0.014422679,971
124,990,38.74,2.67,2.52,-0.25,0.48,-1.03,-0.28,-1.92,0.06,-0.18,12.3,-29,-5,1483,914,1401,,38.74,,0.015854945,-0.001193966,0.01466098,990
125,1008,39.51,2.66,2.63,-0.24,0.48,-1.03,-0.27,-1.94,0.14,-0.1,12.42,-29.5,-5.5,1503,914,1402,,39.51,,0.016197802,-0.001237069,0.014960733,1008
126,1024,40.29,2.77,2.73,-0.25,0.48,-1.05,-0.27,-1.94,0.24,0,12.56,-30,-5.5,1523,914,1404,,40.29,,0.016492308,-0.001284483,0.015207825,1024
127,1038,41.13,2.76,2.93,-0.25,0.51,-1.07,-0.27,-1.95,0.3,0.06,12.66,-30.5,-6.5,1540,914,1406,,41.13,,0.016865934,-0.00137069,0.015495244,1038
128,1056,41.81,2.79,3.05,-0.25,0.51,-1.07,-0.27,-2,0.36,0.12,12.74,-30.5,-6.5,1558,914,1408,,41.81,,0.017151648,-0.001422414,0.015729235,1056
