#CTIME	DISP1	GAMMA1	VEL1	FORCE1	FORCETRI1	FORCESLIP1	ENERGY1	DISP2	GAMMA2	VEL2	FORCE2	FORCETRI2	FORCESLIP2	ENERGY2
1.46	-0.10138	-0.00036864	0.79935	-0.77606	-1.2535	-0.47007	0.21471	-0.11163	-0.00044652	0.71895	-0.58302	-0.94377	-0.35392	0.10326
1.48	-0.091141	-0.00033142	0.10045	-0.69675	-1.1254	-0.42204	0.21471	-0.092469	-0.00036988	1.1582	-0.48355	-0.78274	-0.29353	0.10326
1.5	-0.097615	-0.00035496	-0.64144	-0.74508	-1.2035	-0.45132	0.21471	-0.06754	-0.00027016	1.2679	-0.35363	-0.57243	-0.21467	0.10326
1.52	-0.11094	-0.00040342	-0.51133	-0.84712	-1.3683	-0.51312	0.21471	-0.044393	-0.00017757	0.98989	-0.2326	-0.37652	-0.1412	0.10326
1.54	-0.11331	-0.00041203	0.3307	-0.86651	-1.3996	-0.52486	0.21471	-0.029455	-0.00011782	0.48796	-0.15416	-0.24954	-0.09358	0.10326
1.56	-0.098631	-0.00035866	1.0382	-0.75544	-1.2202	-0.45758	0.21471	-0.024636	-9.8544e-05	0.017808	-0.12852	-0.20805	-0.078021	0.10326
1.58	-0.076046	-0.00027653	1.11	-0.58294	-0.94157	-0.35309	0.21471	-0.027382	-0.00010953	-0.25346	-0.14256	-0.23078	-0.086544	0.10326
1.6	-0.055875	-0.00020318	0.93522	-0.42849	-0.69211	-0.25954	0.21471	-0.033264	-0.00013306	-0.29901	-0.17319	-0.28037	-0.10514	0.10326
1.62	-0.03691	-0.00013422	1.0184	-0.28367	-0.45818	-0.17182	0.21471	-0.038008	-0.00015203	-0.14415	-0.1981	-0.32069	-0.12026	0.10326
1.64	-0.013781	-5.0113e-05	1.3054	-0.10734	-0.17335	-0.065007	0.21471	-0.03786	-0.00015144	0.18518	-0.19768	-0.31999	-0.12	0.10326
1.66	0.015219	5.5342e-05	1.5803	0.11388	0.18399	0.068995	0.21471	-0.029736	-0.00011895	0.64294	-0.15578	-0.25217	-0.094564	0.10326
1.68	0.047703	0.00017346	1.5981	0.36212	0.58496	0.21936	0.21471	-0.011832	-4.7327e-05	1.1452	-0.062922	-0.10183	-0.038188	0.10326
1.7	0.077349	0.00028127	1.3469	0.5891	0.95158	0.35684	0.21471	0.015493	6.1971e-05	1.5614	0.079166	0.12818	0.048069	0.10326
1.72	0.10093	0.00036701	0.99776	0.76985	1.2435	0.46633	0.21471	0.049198	0.00019679	1.7654	0.25476	0.41243	0.15466	0.10326
1.74	0.11604	0.00042198	0.46672	0.8862	1.4314	0.5368	0.21471	0.084139	0.00033656	1.6749	0.43711	0.70761	0.26536	0.10326
1.76	0.11887	0.00043225	-0.17477	0.90879	1.4679	0.55047	0.21471	0.11396	0.00045584	1.2523	0.5931	0.96013	0.36006	0.10326
1.78	0.10919	0.00039707	-0.79608	0.83579	1.35	0.50625	0.21471	0.13223	0.00052894	0.53216	0.68918	1.1156	0.41837	0.10326
1.8	0.08721	0.00031713	-1.3907	0.66869	1.0801	0.40503	0.21471	0.13392	0.00053567	-0.38602	0.69892	1.1314	0.42428	0.10326
