CH_000	Def_Angle_1_14
40	0.0123150183150183
20	0.011018315018315
15	0.0103369963369963
5	0.00902564102564103
0	0.00836630036630037
-10	0.00704761904761905
-15	0.00571428571428571
-15	0.00502564102564103
-25	0.00367765567765568
-30	0.00234432234432234
-35	0.00165567765567766
-45	0.000344322344322344
-50	-0.00032967032967033
-55	-0.00164102564102564
-65	-0.00293772893772894
-75	-0.00361172161172161
-95	-0.0049010989010989
-110	-0.00620512820512821
-120	-0.00688644688644689
-150	-0.0082051282051282
-160	-0.00889377289377289
-200	-0.0102490842490843
-245	-0.0115970695970696
-275	-0.0122930402930403
-341	-0.0136190476190476
-406	-0.014959706959707
-436	-0.0156410256410256
-431	-0.016021978021978
-280	-0.0158901098901099
-120	-0.0146227106227106
-60	-0.0133113553113553
-40	-0.0126520146520147
-20	-0.0113699633699634
-10	-0.0100805860805861
-5	-0.00941391941391941
5	-0.00808791208791209
5	-0.00742124542124542
15	-0.00608791208791209
20	-0.00473992673992674
20	-0.00405860805860806
25	-0.00273992673992674
30	-0.00142857142857143
35	-0.000754578754578755
35	-9.52380952380952e-05
40	-2.1978021978022e-05
40	0.000600732600732601
45	0.00123809523809524
45	0.00156776556776557
50	0.00221245421245421
55	0.00285714285714286
55	0.00317948717948718
65	0.00381684981684982
65	0.00444688644688645
70	0.00477655677655678
75	0.00540659340659341
80	0.00571428571428571
85	0.00634432234432235
95	0.00697435897435897
100	0.0073040293040293
110	0.00793406593406593
105	0.0081025641025641
75	0.0080952380952381
45	0.00756043956043956
35	0.00725274725274725
25	0.00664468864468864
15	0.00602930402930403
10	0.00570695970695971
10	0.00508424908424908
5	0.00443956043956044
5	0.00410989010989011
0	0.00347985347985348
-5	0.00315018315018315
-5	0.00251282051282051
-10	0.00187545787545788
-10	0.00154578754578755
-10	0.000908424908424908
-15	0.000271062271062271
-15	-5.86080586080586e-05
-20	-0.000695970695970696
-20	-0.00101831501831502
-20	-0.00164835164835165
-25	-0.00228571428571429
-25	-0.00260805860805861
-30	-0.00323809523809524
-35	-0.00386813186813187
-40	-0.00419047619047619
-45	-0.00480586080586081
-50	-0.00512087912087912
-50	-0.00574358974358974
-60	-0.00636630036630037
-65	-0.00668131868131868
-70	-0.0073040293040293
-75	-0.00778021978021978
-70	-0.00778021978021978
-35	-0.00756776556776557
-25	-0.00725274725274725
-15	-0.00662271062271062
-10	-0.00599267399267399
-10	-0.00566300366300366
-5	-0.00503296703296703
0	-0.00441025641025641
0	-0.0040952380952381
5	-0.00347252747252747
5	-0.00315750915750916
5	-0.00253479853479853
10	-0.00190476190476191
15	-0.00158974358974359
15	-0.000952380952380952
20	-0.000322344322344322
20	-4.3956043956044e-05
20	0.000424908424908425
25	0.00178754578754579
45	0.0043956043956044
90	0.00698901098901099
120	0.00833699633699634
180	0.010959706959707
280	0.0135824175824176
356	0.0149084249084249
471	0.0174945054945055
531	0.0201538461538462
551	0.0216117216117216
571	0.0241904761904762
576	0.0255604395604396
601	0.0281538461538461
621	0.0307252747252747
631	0.0320879120879121
546	0.0324688644688645
240	0.0319413919413919
95	0.0294139194139194
45	0.0268131868131868
30	0.0254285714285714
