#GAMMA2	FORCE2
-0.054177	-8.2327
-0.056348	-8.2151
-0.058452	-8.1981
-0.060489	-8.1816
-0.062456	-8.1657
-0.06435	-8.1503
-0.066166	-8.1356
-0.067901	-8.1216
-0.069552	-8.1082
-0.071115	-8.0956
-0.072589	-8.0836
-0.073969	-8.0724
-0.075252	-8.0621
-0.076435	-8.0525
-0.077513	-8.0438
-0.078481	-8.0359
-0.079336	-8.029
-0.080076	-8.023
-0.080699	-8.018
-0.081204	-8.0139
-0.081593	-8.0107
-0.081865	-8.0085
-0.082021	-8.0073
-0.082062	-8.0082
-0.081987	-7.8586
-0.081808	-7.4966
-0.08155	-6.974
-0.081248	-6.3617
-0.08094	-5.7367
-0.080661	-5.1687
-0.080424	-4.6871
-0.080201	-4.2347
-0.079929	-3.7561
-0.079537	-3.5528
-0.078995	-3.2713
-0.078289	-2.9045
-0.07741	-2.4475
-0.076355	-1.899
-0.075146	-1.2697
-0.073829	-0.5841
-0.072446	-0.40816
-0.071007	-0.27823
-0.069511	-0.14312
-0.067956	-0.002767
-0.066343	0.1429
-0.06467	0.30039
-0.062939	0.47265
-0.06115	0.65065
-0.059305	0.83432
-0.057403	1.0236
-0.055444	1.2185
-0.05343	1.4189
-0.051361	1.6248
-0.049239	1.836
-0.047066	2.0523
-0.044845	2.2734
-0.042581	2.4987
-0.040279	2.7278
-0.037943	2.9603
-0.03558	3.1955
-0.033195	3.4329
-0.030794	3.6719
-0.028386	3.9116
-0.025992	4.15
-0.023634	4.3848
-0.021332	4.614
-0.019104	4.8358
-0.01697	5.0485
-0.014942	5.2041
-0.013031	5.1887
-0.011234	5.1741
-0.0095469	5.1605
-0.0079668	5.1477
-0.0064915	5.1357
-0.0051191	5.1246
-0.0038484	5.1143
-0.0026783	5.1049
-0.0016078	5.0962
-0.00063519	5.0883
0.00024154	5.0812
0.0010248	5.0749
0.0017171	5.0693
0.0023208	5.0644
0.0028379	5.0602
0.0032703	5.0567
0.0036195	5.0539
0.0038873	5.0517
0.0040751	5.0502
0.0041848	5.0493
0.0042186	5.0588
0.0041789	4.9912
0.0040741	4.8245
0.0039199	4.5785
0.0037373	4.2867
0.0035488	3.9852
0.0033755	3.7077
0.003231	3.4761
0.0031164	3.2924
0.0030206	3.139
0.0029227	2.9827
0.0027957	2.7802
0.0026114	2.4865
0.0023497	2.0692
0.0020291	1.7082
0.0016741	1.6761
0.0012861	1.6411
0.00086536	1.6032
0.00041326	1.5624
-6.8498e-05	1.5189
-0.00057827	1.4729
-0.001115	1.4244
-0.0016782	1.3736
-0.0022682	1.3203
-0.0028853	1.2646
-0.0035301	1.2064
-0.0042029	1.1456
-0.0049034	1.0824
-0.0056304	1.0168
-0.0063817	0.94892
-0.0071553	0.87907
-0.0079498	0.80733
-0.0087649	0.73373
-0.0096012	0.65821
-0.010459	0.58076
-0.011337	0.50147
-0.012233	0.4206
-0.01314	0.33233
-0.014053	0.24149
-0.014961	0.15108
-0.015854	0.062124
-0.016723	-0.024402
-0.017558	-0.10758
-0.018352	-0.18658
-0.019095	-0.26068
-0.019784	-0.32925
-0.02041	-0.3917
-0.020966	-0.4471
-0.021435	-0.4939
-0.021796	-0.52995
-0.022022	-0.55266
-0.022087	-0.55857
-0.021963	-0.36405
-0.021643	0.14532
-0.021156	0.92213
-0.020572	1.8544
-0.01997	2.7752
-0.01941	2.8259
-0.018897	2.8722
-0.01843	2.9145
-0.018007	2.9527
-0.01763	2.9868
-0.017302	3.0165
-0.017025	3.0415
-0.016805	3.0615
-0.01665	3.0755
-0.016579	3.0821
-0.016622	3.0218
-0.016814	2.7171
-0.01718	2.1359
-0.017713	1.2857
-0.018349	0.26877
-0.019011	-0.28079
-0.019662	-0.33965
-0.020307	-0.39788
-0.020949	-0.45583
-0.02159	-0.51379
-0.022234	-0.57323
-0.022882	-0.63767
-0.023532	-0.70244
-0.024185	-0.76745
-0.024839	-0.83248
-0.025489	-0.89722
-0.026133	-0.96135
-0.026767	-1.0245
-0.027389	-1.0864
-0.027994	-1.1467
-0.028581	-1.2051
-0.029147	-1.2615
-0.029691	-1.3157
-0.030211	-1.3675
-0.030705	-1.4167
-0.031174	-1.4633
-0.031616	-1.5074
-0.032032	-1.5488
-0.032424	-1.5879
-0.032794	-1.6247
