CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
1282,16.79999924,16,16.79999924,-0.039999999,0.100000001,1.889999986,2.339999914,-0.730000019,-0.519999981,2.829999924,2.630000114,-0.230000004,-0.670000017,0,11,-12,7,3,1,-8,-5,-18,-18,1,-9,-12,6,-29,-9,-12,-7,-7,-7,5,-7,-19,-3,-5,-2,1,1,1,-8,,,,,,,,,,,,,0.006153846,-6.03448E-05,0.008181817,0.003818183,0.00363636,0.012181818,0.804999948,-0.625,2.730000019,-0.45000001,1282,704.3956044
1367,18.38999939,17.5,18.63999939,-0.039999999,0.100000001,2.180000067,2.720000029,-0.730000019,-0.519999981,3.190000057,2.980000019,-0.200000003,-0.709999979,0,0,-10,16,7,9,8,-8,-16,-16,3,-14,26,11,-12,-2,2,-14,-1,-2,7,-2,1,-1,-12,-6,10,2,13,-1,,,,,,,,,,,,,0.006736264,-6.03448E-05,0.009818181,0.003818183,0.003818183,0.012909091,0.995000005,-0.625,3.085000038,-0.454999991,1367,751.0989011
1407,19.46999931,18.5,19.60000038,-0.039999999,0.100000001,2.359999895,2.940000057,-0.730000019,-0.49000001,3.380000114,3.140000105,-0.159999996,-0.74000001,0,4,-23,0,4,-4,-3,-4,-22,-29,-6,-10,-8,3,-25,-9,-14,-15,-10,-8,-6,-8,-20,-6,-13,-4,-5,-4,-5,-13,,,,,,,,,,,,,0.007131868,-6.03448E-05,0.010545457,0.004363637,0.004363637,0.013454546,1.105000019,-0.610000014,3.26000011,-0.450000003,1407,773.0769231
1457,21.20000076,20,21.37999916,-0.039999999,0.100000001,2.670000076,3.309999943,-0.629999995,-0.419999987,3.690000057,3.440000057,-0.140000001,-0.790000021,0,15,-21,-13,-9,-11,-20,-16,-26,-40,-8,-11,-20,-8,-25,-13,-20,-15,-16,-13,-11,-1,-23,-8,-22,-6,-9,-5,-12,-16,,,,,,,,,,,,,0.007765568,-6.03448E-05,0.011636361,0.003818182,0.004545455,0.014363637,1.339999974,-0.524999991,3.565000057,-0.465000011,1457,800.5494505
1617,27.29000092,26.5,27.47999954,-0.039999999,1.059999943,3.960000038,4.940000057,0.079999998,0.340000004,4.420000076,4.079999924,0.090000004,-0.720000029,0.100000001,24,-14,7,-5,16,-8,0,-3,-25,3,-35,-12,12,-25,-13,-5,-12,6,-7,-6,-31,-10,5,-3,3,-3,-11,4,-4,,,,,,,,,,,,,0.009959707,-0.000474138,0.017818182,0.004727273,0.006181821,0.014909091,2.510000028,0.210000001,4.25,-0.315000013,1617,888.4615385
1678,29.38999939,28.5,29.55999947,-0.039999999,1.059999943,4.289999962,5.349999905,0.189999998,0.409999996,4.75,4.400000095,0.109999999,-0.779999971,0.100000001,17,-25,7,-15,7,-28,-22,-13,-31,4,-17,-19,3,-26,-6,-21,-17,-5,-5,-6,-14,-8,-7,-18,-5,-1,-2,-4,-9,,,,,,,,,,,,,0.010728938,-0.000474138,0.019272726,0.004,0.006363635,0.016,2.769999951,0.299999997,4.575000048,-0.334999986,1678,921.978022
1733,31.80999947,30.5,31.63999939,-0.039999999,1.059999943,4.670000076,5.789999962,0.289999992,0.50999999,5.110000134,4.75,0.140000001,-0.810000002,0.100000001,26,-15,24,-4,9,-15,-8,-17,-23,0,-26,-22,2,-34,-15,-10,-17,4,-3,-4,-14,-21,3,-14,2,-1,-8,1,-15,,,,,,,,,,,,,0.011615384,-0.000474138,0.020363634,0.004,0.006545457,0.016545455,3.039999977,0.399999991,4.930000067,-0.335000001,1733,952.1978022
1828,35.56999969,34.5,35.72000122,-0.039999999,1.059999943,5.460000038,6.820000172,0.449999988,0.720000029,5.820000172,5.420000076,0.140000001,-0.899999976,0.100000001,23,-3,22,-6,15,-6,-14,0,-16,11,-17,3,9,-25,4,-6,-14,7,5,1,-12,-7,1,-8,9,6,-6,4,-4,,,,,,,,,,,,,0.012992674,-0.000474138,0.024727275,0.004909092,0.007272729,0.018181818,3.63500008,0.585000008,5.620000124,-0.379999988,1828,1004.395604
1858,37.66999817,37,37.81999969,-0.050000001,1.059999943,5.889999866,7.300000191,0.550000012,0.819999993,6.139999866,5.730000019,0.140000001,-0.939999998,0.100000001,13,-17,23,-1,14,-7,-3,-1,-11,17,-18,-6,9,-22,2,-4,-10,9,-1,6,-11,-9,6,-2,4,8,0,10,1,,,,,,,,,,,,,0.013761904,-0.000478448,0.02563637,0.004909091,0.007454543,0.018909091,3.925000101,0.685000002,5.934999943,-0.399999999,1858,1020.879121
1863,41.66999817,40,41.91999817,-0.140000001,0.959999979,6.909999847,8.590000153,0.889999986,1.159999967,6.519999981,6.090000153,0.219999999,-0.959999979,0.100000001,17,-11,14,-7,21,-13,-5,-2,-19,5,-5,-2,7,-27,-3,-15,-15,11,3,-8,-7,-7,-7,-12,14,7,-8,-3,-7,,,,,,,,,,,,,0.015227106,-0.000474138,0.03054546,0.004909091,0.007818179,0.019272727,4.740000069,1.024999976,6.305000067,-0.36999999,1863,1023.626374
