CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
646,20.86000061,21,20.42000008,0.01,0.01,0.289999992,0.670000017,-0.209999993,0.100000001,0.310000002,-0.029999999,-0.189999998,-0.550000012,-0.01,38,-0.0069,-0.0056,0.0062,0.0065,0,0.479999989,-0.055,0.140000001,-0.370000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.007644689,0,0.006909091,0.005636364,0.006181818,0.009818182,0.230000012,-0.054999996,0.140000002,-0.370000005,646,354.9450549
656,25.51000023,25,24.86000061,0.01,0,0.289999992,0.769999981,-0.209999993,0.100000001,0.310000002,0.02,-0.100000001,-0.560000002,-0.02,92,-0.0087,-0.0056,0.0053,0.0084,0,0.529999971,-0.055,0.165000007,-0.330000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.009351648,4.31034E-06,0.008727273,0.005636364,0.005272727,0.009818182,0.279999994,-0.054999996,0.165000001,-0.330000002,656,360.4395604
701,27.02000046,27,26.81999969,0.01,0,0.289999992,0.860000014,-0.209999993,0.100000001,0.319999993,0.02,-0.100000001,-0.620000005,-0.02,39,-0.0104,-0.0056,0.0055,0.0095,0,0.574999988,-0.055,0.170000002,-0.360000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.009904762,4.31034E-06,0.010363637,0.005636364,0.005454545,0.010909091,0.32500001,-0.054999996,0.169999996,-0.360000003,701,385.1648352
761,30.79999924,30.5,30.36000061,0.01,0,0.360000014,0.949999988,-0.209999993,0.100000001,0.409999996,-0.02,-0.100000001,-0.699999988,-0.02,77,-0.0107,-0.0056,0.0078,0.011,0,0.654999971,-0.055,0.194999993,-0.402500004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.011289377,4.31034E-06,0.010727272,0.005636364,0.007818182,0.012363636,0.369999997,-0.054999996,0.194999998,-0.399999995,761,418.1318681
781,32.68000031,32,32.13999939,0.01,0,0.389999986,1,-0.209999993,0.100000001,0.409999996,-0.02,-0.090000004,-0.75,-0.02,60,-0.0111,-0.0056,0.0078,0.0119,0,0.694999993,-0.055,0.194999993,-0.417499989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.011978022,4.31034E-06,0.011090909,0.005636364,0.007818182,0.013272727,0.395000003,-0.054999996,0.194999998,-0.420000002,781,429.1208791
831,35.93999863,36,35.74000168,0.01,0,0.389999986,1.100000024,-0.209999993,0.109999999,0.409999996,-0.02,-0.100000001,-0.829999983,-0.01,91,-0.0129,-0.0058,0.0078,0.0133,0,0.745000005,-0.050000001,0.194999993,-0.465000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.013168498,4.31034E-06,0.012909092,0.005818182,0.007818182,0.014909091,0.445000015,-0.049999997,0.194999998,-0.464999992,831,456.5934066
871,39.34000015,39.5,39.38000107,0.01,0,0.389999986,1.210000038,-0.209999993,0.200000003,0.409999996,-0.029999999,-0.100000001,-0.920000017,-0.02,74,-0.0149,-0.0075,0.008,0.0149,0,0.800000012,-0.005,0.189999998,-0.50999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.014417582,4.31034E-06,0.014909092,0.007454545,0.008,0.016363637,0.500000022,-0.004999995,0.189999999,-0.510000009,871,478.5714286
886,41.25,41,41.13999939,0.01,0,0.379999995,1.230000019,-0.209999993,0.200000003,0.409999996,-0.039999999,-0.100000001,-0.939999998,-0.01,32,-0.0155,-0.0075,0.0082,0.0153,0,0.805000007,-0.005,0.185000002,-0.519999981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.015113553,4.31034E-06,0.015454546,0.007454545,0.008181818,0.016909091,0.510000013,-0.004999995,0.184999999,-0.52,886,486.8131868
901,61.70999908,60,60.34000015,0.01,0,0.579999983,1.870000005,-0.289999992,0.280000001,0.50999999,-0.119999997,0.289999992,-0.959999979,-0.029999999,133,-0.023499999,-0.0104,0.0115,0.022600001,0,1.225000024,-0.005,0.194999993,-0.332500011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.022615384,4.31034E-06,0.023454546,0.010363636,0.011454545,0.016909091,0.790000007,-0.004999995,0.194999997,-0.334999993,901,495.0549451
926,68.04000092,66.5,67.30000305,0.01,0,0.75,2.25,-0.319999993,0.300000012,0.50999999,-0.219999999,0.469999999,-0.959999979,-0.029999999,130,-0.0273,-0.0113,0.0133,0.025900001,0,1.5,-0.01,0.144999996,-0.242500007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.024934066,4.31034E-06,0.027272727,0.011272727,0.013272727,0.016909091,0.965000004,-0.00999999,0.144999996,-0.24499999,926,508.7912088
931,75.63999939,74.5,74.31999969,0.01,-0.01,0.959999979,2.619999886,-0.319999993,0.409999996,0.50999999,-0.280000001,0.620000005,-0.930000007,-0.029999999,117,-0.030200001,-0.0133,0.0144,0.028100001,0,1.789999962,0.045000002,0.115000002,-0.152500004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.027717948,8.62069E-06,0.030181816,0.013272727,0.014363636,0.016363637,1.149999946,0.045000002,0.114999995,-0.155000001,931,511.5384615
936,78.54000092,78,77.77999878,0.01,0,1.080000043,2.809999943,-0.319999993,0.409999996,0.519999981,-0.310000002,0.689999998,-0.920000017,-0.029999999,106,-0.031500001,-0.0133,0.0151,0.029300001,0,1.945000052,0.045000002,0.104999997,-0.115000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.02878022,4.31034E-06,0.031454544,0.013272727,0.015090909,0.016181818,1.244999975,0.045000002,0.104999989,-0.11500001,936,514.2857143
946,86.33999634,85,84.51999664,0.01,-0.01,1.269999981,3.180000067,-0.379999995,0.409999996,0.519999981,-0.400000006,0.899999976,-0.889999986,-0.029999999,140,-0.034699999,-0.0144,0.0167,0.032499999,0,2.224999905,0.015,0.059999999,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.031637361,8.62069E-06,0.034727274,0.014363636,0.016727272,0.015636363,1.400000036,0.015000001,0.059999987,0.004999995,946,519.7802198
981,179.5299988,177.5,179.5299988,0.01,0,4.440000057,8.449999809,-1.059999943,0.819999993,0.930000007,-0.939999998,3.809999943,-0.159999996,0,154,-0.072899997,-0.034200002,0.034000002,0.072099999,0,6.445000172,-0.119999997,-0.005,1.827499986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.065761904,4.31034E-06,0.072909086,0.034181817,0.034,0.002909091,3.694999933,-0.119999975,-0.004999995,1.824999973,981,539.010989
