CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
-310,-21.44000053,-21,-20.54000092,0,-0.02,-0.100000001,-0.330000013,0.629999995,0.200000003,-0.610000014,-0.059999999,-0.189999998,0.239999995,-0.02,16,0.0042,0.0078,-0.01,-0.0078,0,-0.215000004,0.414999992,-0.335000008,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.007846154,8.62069E-06,-0.004181818,-0.007818182,-0.01,-0.004727273,0.149999991,0.414999999,-0.335000006,0.024999999,-310,-170.3296703
-315,-26.01000023,-26,-25.55999947,-0.01,-0.090000004,-0.090000004,-0.280000001,0.839999974,0.310000002,-0.800000012,-0.059999999,-0.25,0.230000004,-0.02,59,0.0035,0.0096,-0.0135,-0.0087,0,-0.185000002,0.574999988,-0.430000007,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.009520147,3.44828E-05,-0.003454545,-0.009636363,-0.013454546,-0.004545455,0.279999986,0.574999988,-0.430000005,-0.009999998,-315,-173.0769231
-351,-29.54000092,-30,-29.15999985,0,-0.050000001,-0.100000001,-0.319999993,0.939999998,0.310000002,-0.899999976,-0.100000001,-0.289999992,0.280000001,-0.029999999,49,0.004,0.0115,-0.0145,-0.0103,0,-0.209999993,0.625,-0.5,-0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.010809524,2.15517E-05,-0.004,-0.011454545,-0.014545454,-0.005636364,0.310000002,0.625,-0.499999989,-0.004999995,-351,-192.8571429
-366,-31.5,-31.5,-30.94000053,-0.01,-0.029999999,-0.100000001,-0.379999995,0.949999988,0.300000012,-0.920000017,-0.100000001,-0.289999992,0.289999992,-0.029999999,27,0.0051,0.0118,-0.0149,-0.0105,0,-0.239999995,0.625,-0.50999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.011527473,8.62069E-06,-0.005090909,-0.011818181,-0.014909091,-0.005818182,0.284999996,0.625,-0.510000009,0,-366,-201.0989011
-386,-35.27000046,-35.5,-34.54000092,-0.01,-0.02,-0.100000001,-0.379999995,1.090000033,0.409999996,-1.019999981,-0.059999999,-0.289999992,0.310000002,-0.029999999,32,0.0051,0.0124,-0.0175,-0.0109,0,-0.239999995,0.75,-0.540000021,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.012908425,4.31034E-06,-0.005090909,-0.012363637,-0.017454545,-0.006181818,0.355000019,0.750000015,-0.53999999,0.010000005,-386,-212.0879121
-411,-38.59999847,-38.5,-38.13999939,0,0,-0.100000001,-0.379999995,1.230000019,0.409999996,-1.019999981,-0.029999999,-0.370000005,0.330000013,-0.039999999,51,0.0051,0.0149,-0.017999999,-0.0126,0,-0.239999995,0.819999993,-0.524999976,-0.022500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.014124542,0,-0.005090909,-0.014909091,-0.018,-0.006727273,0.425000012,0.820000008,-0.52499999,-0.019999996,-411,-225.8241758
-416,-40.20999908,-40,-39.91999817,0,0.01,-0.100000001,-0.430000007,1.25999999,0.409999996,-1.029999971,0.02,-0.379999995,0.319999993,-0.050000001,64,0.006,0.0155,-0.019099999,-0.0127,0,-0.264999986,0.834999979,-0.504999995,-0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.014710622,-4.31034E-06,-0.006,-0.015454545,-0.019090909,-0.006727273,0.414999992,0.834999993,-0.504999986,-0.030000001,-416,-228.5714286
-426,-44.02999878,-43.5,-43.34000015,0,0.01,-0.100000001,-0.469999999,1.429999948,0.50999999,-1.019999981,0.07,-0.379999995,0.300000012,-0.050000001,65,0.0067,0.0167,-0.0198,-0.0124,0,-0.284999996,0.970000029,-0.474999994,-0.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.01610989,-4.31034E-06,-0.006727273,-0.016727272,-0.019818181,-0.006363637,0.479999974,0.969999969,-0.47499999,-0.039999992,-426,-234.0659341
-441,-85.73999786,-85,-84.54000092,-0.100000001,0.01,-0.090000004,-0.939999998,2.859999895,0.709999979,-0.819999993,1.24000001,-0.959999979,0.079999998,-0.039999999,83,0.0155,0.039099999,-0.037500001,-0.0189,0,-0.514999986,1.784999967,0.209999993,-0.439999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.031391941,-4.74138E-05,-0.015454545,-0.039090908,-0.037454545,-0.002181818,0.959999949,1.784999937,0.210000008,-0.43999999,-441,-242.3076923
-451,-89.08000183,-88.5,-88.01999664,-0.090000004,0.01,-0.100000001,-0.939999998,2.940000057,0.709999979,-0.819999993,1.350000024,-1.049999952,0.07,-0.039999999,80,0.0153,0.0405,-0.039500002,-0.020500001,0,-0.519999981,1.825000048,0.264999986,-0.487500012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.032615385,-4.31034E-05,-0.015272727,-0.040545456,-0.039454546,-0.002,1.00000003,1.825000018,0.265000015,-0.489999976,-451,-247.8021978
-471,-151.7400055,-150,-151.7400055,-0.100000001,0.079999998,-0.189999998,-1.820000052,5.329999924,1.230000019,0,3.75,-1.049999952,0.49000001,-0.050000001,90,0.0296,0.074500002,-0.0682,-0.028000001,-1E-04,-1.004999995,3.279999971,1.875,-0.280000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.055564105,-7.75862E-05,-0.029636365,-0.074545453,-0.068181818,-0.009818182,1.754999936,3.279999971,1.875,-0.279999971,-471,-258.7912088
-501,-165.8800049,-164.5,-165.8800049,-0.090000004,0.109999999,-0.189999998,-1.99000001,5.71999979,1.120000005,0.209999993,4.329999924,-1.049999952,0.569999993,-0.050000001,79,0.032699998,0.0836,-0.074900001,-0.0295,-1E-04,-1.090000033,3.420000076,2.269999981,-0.239999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.060743592,-8.62069E-05,-0.032727273,-0.08363636,-0.07490909,-0.011272727,1.86499989,3.419999897,2.269999959,-0.23999998,-501,-275.2747253
-516,-178.9499969,-178.5,-178.9499969,-0.090000004,0.109999999,-0.189999998,0.029999999,6.070000172,1.129999995,0.389999986,4.840000153,-1.149999976,0.610000014,-0.059999999,73,-0.004,0.0898,-0.080899999,-0.032099999,-1E-04,-0.079999998,3.599999905,2.61500001,-0.267500013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.065527471,-8.62069E-05,0.004,-0.089818185,-0.080909094,-0.012181818,3.050000085,3.600000083,2.615000069,-0.269999981,-516,-283.5164835
